# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381581985228e-10       4.442038792478e-15       3.618363321486e-13       0.000000000000e+00       8.261784093893e-09       4.538745783773e-10      -1.902945070046e-12 
    3       1.307014281082e-10       5.969157195711e-15       4.142201022196e-13       0.000000000000e+00       5.096450941786e-09       3.223111589476e-10      -1.481888021499e-12 
    4       1.236061586813e-10       5.430810418095e-15       3.937437265808e-13       0.000000000000e+00       3.544588231699e-09       2.443510234647e-10      -1.008174523231e-12 
    5       1.182531992488e-10       3.818986090461e-15       3.404550110960e-13       0.000000000000e+00       2.646387805871e-09       1.932125038712e-10      -5.957403654365e-13 
    6       1.145519680689e-10       2.229233880577e-15       2.779260809413e-13       0.000000000000e+00       2.068155999147e-09       1.573257545474e-10      -2.788008553438e-13 
    7       1.121143179323e-10       1.206915684233e-15       2.202721446811e-13       0.000000000000e+00       1.669340982078e-09       1.309322133716e-10      -6.391776131523e-14 
    8       1.106727005942e-10       7.400654979638e-16       1.741770965552e-13       0.000000000000e+00       1.380458361061e-09       1.108941503726e-10       5.840225714936e-14 
    9       1.099833782958e-10       5.762196949189e-16       1.417488804957e-13       0.000000000000e+00       1.163128005565e-09       9.533973261479e-11       1.067876686488e-13 
   10       1.098085479690e-10       4.992748957762e-16       1.223568382747e-13       0.000000000000e+00       9.946287768278e-10       8.301096580727e-11       1.039865800402e-13 
   11       1.100919496740e-10       4.257639994119e-16       1.137376827317e-13       0.000000000000e+00       8.383839368623e-10       7.334087550188e-11       7.287595392605e-14 
   12       1.106751181930e-10       3.624786705339e-16       1.129677238744e-13       0.000000000000e+00       7.327811063740e-10       6.483761080430e-11       3.208612795612e-14 
