# Matter power spectrum P(k) at redshift z=0
# for k=1.04398e-05 to 1.75868 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043979894785e-05       4.789897414879e+01 
       2.330602609341e-05       1.041580001054e+02 
       3.621740148607e-05       1.595412417238e+02 
       4.920858474001e-05       2.146008141578e+02 
       6.231480748496e-05       2.696574979062e+02 
       7.557218680167e-05       3.249556752273e+02 
       8.901804865837e-05       3.807069182782e+02 
       1.026912656408e-04       4.371079189399e+02 
       1.166326133018e-04       4.943497610280e+02 
       1.308851494884e-04       5.526235895401e+02 
       1.454946210142e-04       6.121246011051e+02 
       1.605099019816e-04       6.730551965241e+02 
       1.759834678888e-04       7.356276993885e+02 
       1.919719092859e-04       8.000668752416e+02 
       2.085364881021e-04       8.666123547952e+02 
       2.257437386969e-04       9.355210589673e+02 
       2.436661140518e-04       1.007069628911e+03 
       2.623826750731e-04       1.081556895751e+03 
       2.819798174773e-04       1.159306359443e+03 
       3.025520258302e-04       1.240668626858e+03 
       3.242026376526e-04       1.326023759378e+03 
       3.470445916776e-04       1.415783386753e+03 
       3.712011229821e-04       1.510392443836e+03 
       3.968063535495e-04       1.610330309828e+03 
       4.240057098871e-04       1.716111083148e+03 
       4.529560801047e-04       1.828282621600e+03 
       4.838256027082e-04       1.947423974347e+03 
       5.167929607446e-04       2.074140682438e+03 
       5.520460418928e-04       2.209057523249e+03 
       5.897798233822e-04       2.352808191010e+03 
       6.301933575265e-04       2.506021558807e+03 
       6.734857770453e-04       2.669304386180e+03 
       7.198513156601e-04       2.843220633797e+03 
       7.694734506426e-04       3.028268034354e+03 
       8.225184137425e-04       3.224853071836e+03 
       8.791284676303e-04       3.433266095427e+03 
       9.394154774431e-04       3.653658776528e+03 
       1.003455384865e-03       3.886026150892e+03 
       1.071284181839e-03       4.130195676020e+03 
       1.142895864695e-03       4.385824693449e+03 
       1.218242635993e-03       4.652407822985e+03 
       1.297237348476e-03       4.929291959803e+03 
       1.379757910716e-03       5.215700369637e+03 
       1.465653156225e-03       5.510760481444e+03 
       1.554749558197e-03       5.813534455605e+03 
       1.646858162654e-03       6.123048933798e+03 
       1.741781196726e-03       6.438322448510e+03 
       1.839317951195e-03       6.758388527477e+03 
       1.939269697874e-03       7.082314678521e+03 
       2.041443550960e-03       7.409202609954e+03 
       2.145655297769e-03       7.738232467468e+03 
       2.251731301738e-03       8.068646192101e+03 
       2.359509621879e-03       8.399745777553e+03 
       2.468840505869e-03       8.730898851492e+03 
       2.579586407504e-03       9.061537127213e+03 
       2.691621661797e-03       9.391152311096e+03 
       2.804831928614e-03       9.719292866412e+03 
       2.919113492845e-03       1.004555920121e+04 
       3.034372488012e-03       1.036960001441e+04 
       3.150524092217e-03       1.069110649578e+04 
       3.267491730686e-03       1.100980922841e+04 
       3.385206307752e-03       1.132547419763e+04 
       3.503605482488e-03       1.163789695733e+04 
       3.622632995912e-03       1.194690139210e+04 
       3.742238053198e-03       1.225233793850e+04 
       3.862374761291e-03       1.255407612710e+04 
       3.983001620286e-03       1.285200856310e+04 
       4.104081065710e-03       1.314604049185e+04 
       4.225579058124e-03       1.343610104139e+04 
       4.347464716167e-03       1.372212314743e+04 
       4.469709989063e-03       1.400405822483e+04 
       4.592289364752e-03       1.428186799488e+04 
       4.715179609961e-03       1.455551704373e+04 
       4.838359538825e-03       1.482494856096e+04 
       4.961809806942e-03       1.509023327039e+04 
       5.085512728006e-03       1.535129676806e+04 
       5.209452110506e-03       1.560815663162e+04 
       5.333613112179e-03       1.586086934983e+04 
       5.457982110208e-03       1.610941136707e+04 
       5.582546585354e-03       1.635375507578e+04 
       5.707295018425e-03       1.659319055083e+04 
       5.832216797685e-03       1.682923494661e+04 
       5.957302135933e-03       1.706113039356e+04 
       6.082541996187e-03       1.728886982595e+04 
       6.207928024974e-03       1.751264542411e+04 
       6.333452492393e-03       1.773227779101e+04 
       6.459108238194e-03       1.794815739795e+04 
       6.584888623203e-03       1.816014052858e+04 
       6.710787485521e-03       1.836781147954e+04 
       6.836799100966e-03       1.857137028604e+04 
       6.962918147317e-03       1.877137342354e+04 
       7.089139671938e-03       1.896749355707e+04 
       7.215459062446e-03       1.915976162695e+04 
       7.341872020094e-03       1.934813120859e+04 
       7.468374535584e-03       1.953264055897e+04 
       7.594962867085e-03       1.971368150287e+04 
       7.721633520197e-03       1.989088435716e+04 
       7.848383229710e-03       2.006517942946e+04 
       7.975208942937e-03       2.023521124166e+04 
       8.102107804506e-03       2.040168905416e+04 
       8.229077142440e-03       2.056462429957e+04 
       8.356114455421e-03       2.072408899794e+04 
       8.483217401115e-03       2.088010023806e+04 
       8.610383785466e-03       2.103267410457e+04 
       8.737611552866e-03       2.118186245430e+04 
       8.864898777119e-03       2.132772324639e+04 
       8.992243653134e-03       2.147019592299e+04 
       9.119644489270e-03       2.160941381789e+04 
       9.247099700293e-03       2.174541627859e+04 
       9.374607800869e-03       2.187822133651e+04 
       9.502167399572e-03       2.200784436349e+04 
       9.629777193335e-03       2.213434217643e+04 
       9.757435962337e-03       2.225773154493e+04 
       9.885142565261e-03       2.237804718230e+04 
       1.001289593491e-02       2.249532312853e+04 
       1.014069507415e-02       2.260962299085e+04 
       1.026853905215e-02       2.272093009209e+04 
       1.039642700089e-02       2.282932673895e+04 
       1.052435811191e-02       2.293482065115e+04 
       1.065233163334e-02       2.303751419444e+04 
       1.078034686708e-02       2.313721846002e+04 
       1.090840316622e-02       2.323427744237e+04 
       1.103649993266e-02       2.332840974367e+04 
       1.116463661480e-02       2.341990201558e+04 
       1.129281270554e-02       2.350867021892e+04 
       1.142102774031e-02       2.359476967855e+04 
       1.154928129525e-02       2.367820359410e+04 
       1.167757298557e-02       2.375902204558e+04 
       1.180590246398e-02       2.383729309139e+04 
       1.193426941923e-02       2.391300800726e+04 
       1.206267357477e-02       2.398616644052e+04 
       1.219111468753e-02       2.405680249442e+04 
       1.231959254668e-02       2.412503288138e+04 
       1.244810697264e-02       2.419074428824e+04 
       1.257665781597e-02       2.425425034382e+04 
       1.270524495655e-02       2.431522936102e+04 
       1.283386830263e-02       2.437386730814e+04 
       1.296252779006e-02       2.443000804542e+04 
       1.309122338155e-02       2.448417579166e+04 
       1.321995506597e-02       2.453580676582e+04 
       1.334872285774e-02       2.458533885527e+04 
       1.347752679620e-02       2.463273499471e+04 
       1.360636694516e-02       2.467775475609e+04 
       1.373524339229e-02       2.472080367142e+04 
       1.386415624879e-02       2.476149553727e+04 
       1.399310564888e-02       2.480017716918e+04 
       1.412209174949e-02       2.483683014966e+04 
       1.425111472990e-02       2.487139880618e+04 
       1.438017479144e-02       2.490388956554e+04 
       1.450927215722e-02       2.493442025288e+04 
       1.463840707190e-02       2.496296931212e+04 
       1.476757980145e-02       2.498877415154e+04 
       1.489679063302e-02       2.501420003270e+04 
       1.502603987472e-02       2.503698044649e+04 
       1.515532785556e-02       2.505696830060e+04 
       1.528465492530e-02       2.507605331214e+04 
       1.541402145438e-02       2.509407711755e+04 
       1.554342783388e-02       2.510936270633e+04 
       1.567287447548e-02       2.512295773283e+04 
       1.580236181143e-02       2.513476146997e+04 
       1.593189029458e-02       2.514484963901e+04 
       1.606146039841e-02       2.515320238309e+04 
       1.619107261706e-02       2.515990518591e+04 
       1.632072746542e-02       2.516478731470e+04 
       1.645042547923e-02       2.516817566090e+04 
       1.658016721514e-02       2.516908218978e+04 
       1.670995325087e-02       2.517001145322e+04 
       1.683978418536e-02       2.516846238843e+04 
       1.696966063890e-02       2.516463402205e+04 
       1.709958325334e-02       2.516003674683e+04 
       1.722955269226e-02       2.515474586260e+04 
       1.735956964119e-02       2.514717559447e+04 
       1.748963480787e-02       2.513808613209e+04 
       1.761974892243e-02       2.512656240776e+04 
       1.774991273770e-02       2.511496005613e+04 
       1.788012702951e-02       2.510225270026e+04 
       1.801039259691e-02       2.508677521334e+04 
       1.814071026257e-02       2.507135412284e+04 
       1.827108087303e-02       2.505312602748e+04 
       1.840150529911e-02       2.503505777383e+04 
       1.853198443623e-02       2.501420806332e+04 
       1.866251920481e-02       2.499350558467e+04 
       1.879311055067e-02       2.497003387805e+04 
       1.892375944541e-02       2.494672545292e+04 
       1.905446688689e-02       2.492176496605e+04 
       1.918523389965e-02       2.489419898941e+04 
       1.931606153537e-02       2.486667003453e+04 
       1.944695087336e-02       2.483887120174e+04 
       1.957790302109e-02       2.480839855681e+04 
       1.970891911466e-02       2.477804534077e+04 
       1.984000031939e-02       2.474582028298e+04 
       1.997114783035e-02       2.471239973981e+04 
       2.010236287293e-02       2.467719125727e+04 
       2.023364670347e-02       2.464272220987e+04 
       2.036500060987e-02       2.460527152367e+04 
       2.049642591220e-02       2.456772774160e+04 
       2.062792396341e-02       2.452942525370e+04 
       2.075949614996e-02       2.449067759034e+04 
       2.089114389259e-02       2.444928077156e+04 
       2.102286864697e-02       2.440782109785e+04 
       2.115467190454e-02       2.436542981288e+04 
       2.128655519319e-02       2.432300493640e+04 
       2.141852007815e-02       2.427864963629e+04 
       2.155056816275e-02       2.423264609798e+04 
       2.168270108933e-02       2.418693747539e+04 
       2.181492054005e-02       2.414023424401e+04 
       2.194722823787e-02       2.409291057699e+04 
       2.207962594743e-02       2.404370845428e+04 
       2.221211547604e-02       2.399439447247e+04 
       2.234469867467e-02       2.394432673706e+04 
       2.247737743897e-02       2.389334113687e+04 
       2.261015371035e-02       2.384186135735e+04 
       2.274302947703e-02       2.378980849589e+04 
       2.287600677521e-02       2.373594627320e+04 
       2.300908769019e-02       2.368274485597e+04 
       2.314227435761e-02       2.362780407903e+04 
       2.327556896464e-02       2.357231754638e+04 
       2.340897375130e-02       2.351646972245e+04 
       2.354249101171e-02       2.346030065669e+04 
       2.367612309551e-02       2.340293009985e+04 
       2.380987240923e-02       2.334450001847e+04 
       2.394374141773e-02       2.328611231832e+04 
       2.407773264568e-02       2.322704449612e+04 
       2.421184867912e-02       2.316718184717e+04 
       2.434609216705e-02       2.310743989755e+04 
       2.448046582301e-02       2.304591599642e+04 
       2.461497242686e-02       2.298501639145e+04 
       2.474961482645e-02       2.292271668135e+04 
       2.488439593945e-02       2.286009425170e+04 
       2.501931875523e-02       2.279774078766e+04 
       2.515438633674e-02       2.273416001011e+04 
       2.528960182255e-02       2.266972127838e+04 
       2.542496842886e-02       2.260531995106e+04 
       2.556048945166e-02       2.254098862693e+04 
       2.569616826887e-02       2.247514540100e+04 
       2.583200834269e-02       2.240926914006e+04 
       2.596801322186e-02       2.234350669490e+04 
       2.610418654416e-02       2.227693915530e+04 
       2.624053203887e-02       2.220948302427e+04 
       2.637705352939e-02       2.214256061965e+04 
       2.651375493595e-02       2.207464839724e+04 
       2.665064027835e-02       2.200613988769e+04 
       2.678771367887e-02       2.193764355357e+04 
       2.692497936525e-02       2.186875367052e+04 
       2.706244167381e-02       2.180005548164e+04 
       2.720010505259e-02       2.173052865176e+04 
       2.733797406475e-02       2.166049314225e+04 
       2.747605339194e-02       2.159031009705e+04 
       2.761434783795e-02       2.151966272628e+04 
       2.775286233232e-02       2.144923587361e+04 
       2.789160193428e-02       2.137796999453e+04 
       2.803057183666e-02       2.130670397835e+04 
       2.816977737006e-02       2.123522085821e+04 
       2.830922400715e-02       2.116348518274e+04 
       2.844891736714e-02       2.109186039047e+04 
       2.858886322037e-02       2.101930887650e+04 
       2.872906749321e-02       2.094681644650e+04 
       2.886953627298e-02       2.087417279977e+04 
       2.901027581320e-02       2.080139668078e+04 
