# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.558503619464e-22       4.634894139599e-07       2.157545950291e+18       1.414878659806e+04       1.414878659806e-08       1.414878659806e+16       2.675958160297e-07       2.751560535470e+36       2.467857824327e+27       1.340743317545e+28       3.511603274982e-08       1.903443976270e+36       4.655004527615e+36       6.954039642342e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693036814e-22       4.667344910558e-07       2.127654531799e+18       1.414878659806e+04       1.424782810425e-08       1.405043356312e+16       2.694689867413e-07       2.675846458098e+36       2.416749983481e+27       1.312977335480e+28       3.511603274982e-08       1.851067333040e+36       4.526913806684e+36       9.701738891249e-08       1.433565615445e+02 
       9.861456399039e+11       7.772374309287e-22       4.700013960246e-07       2.098177239783e+18       1.414878659806e+04       1.434756290097e-08       1.395276421362e+16       2.713552696478e-07       2.602215788101e+36       2.366700555064e+27       1.285786370087e+28       3.511603274982e-08       1.800131926216e+36       4.402347729542e+36       1.940347778169e-07       7.167828077441e+01 
       9.792906056642e+11       7.881568395955e-22       4.732919478556e-07       2.069108336784e+18       1.414878659805e+04       1.444799584128e-08       1.385577379703e+16       2.732547565347e-07       2.530611196823e+36       2.317687619997e+27       1.259158513118e+28       3.511603274982e-08       1.750598097618e+36       4.281209309350e+36       2.910521667202e-07       4.778552051657e+01 
       9.724832231024e+11       7.992296550346e-22       4.766043275595e-07       2.040442164836e+18       1.414878659805e+04       1.454913181216e-08       1.375945759387e+16       2.751675398297e-07       2.460976933108e+36       2.269689713130e+27       1.233082102940e+28       3.511603274982e-08       1.702427280330e+36       4.163404228039e+36       3.880695556224e-07       3.583914038744e+01 
       9.657231609756e+11       8.104580324577e-22       4.799403541256e-07       2.012173144355e+18       1.414878659805e+04       1.465097573485e-08       1.366381091745e+16       2.770937126078e-07       2.393258779892e+36       2.222685813843e+27       1.207545719423e+28       3.511603274982e-08       1.655581968675e+36       4.048840762865e+36       4.850869445235e-07       2.867131230990e+01 
       9.590100903431e+11       8.218441573550e-22       4.833000275539e-07       1.984295773064e+18       1.414878659804e+04       1.475353256499e-08       1.356882911365e+16       2.790333685953e-07       2.327404011990e+36       2.176655336841e+27       1.182538178942e+28       3.511603274982e-08       1.610025689009e+36       3.937429715001e+36       5.821043334235e-07       2.389276025818e+01 
       9.523436845512e+11       8.333902459209e-22       4.866833478445e-07       1.956804624913e+18       1.414878659804e+04       1.485680729294e-08       1.347450756072e+16       2.809866021746e-07       2.263361355044e+36       2.131578123140e+27       1.158048529479e+28       3.511603274982e-08       1.565722971327e+36       3.829084340083e+36       6.791217223225e-07       2.047950879265e+01 
       9.457236192166e+11       8.450985454849e-22       4.900903149974e-07       1.929694349028e+18       1.414878659804e+04       1.496080494399e-08       1.338084166903e+16       2.829535083890e-07       2.201080945601e+36       2.087434431232e+27       1.134066045823e+28       3.511603274982e-08       1.522639321643e+36       3.723720280672e+36       7.761391112204e-07       1.791957019350e+01 
       9.391495722111e+11       8.569713349493e-22       4.935209290124e-07       1.902959668667e+18       1.414878659803e+04       1.506553057859e-08       1.328782688086e+16       2.849341829469e-07       2.140514292289e+36       2.044204928448e+27       1.110580224878e+28       3.511603274982e-08       1.480741195135e+36       3.621255500575e+36       8.731565001174e-07       1.592850683861e+01 
