# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.452033780863e-10       5.409163126307e-15       4.196207229855e-13       0.000000000000e+00       8.559672435962e-09       4.765995762230e-10      -2.117166979798e-12 
    3       1.372793427568e-10       8.166722196540e-15       5.205645457118e-13       0.000000000000e+00       5.312439758326e-09       3.388381669404e-10      -1.721387202843e-12 
    4       1.295718313680e-10       8.783115905756e-15       5.465961879840e-13       0.000000000000e+00       3.699835350417e-09       2.570415715681e-10      -1.251931141425e-12 
    5       1.235457200255e-10       7.969760746763e-15       5.364492923429e-13       0.000000000000e+00       2.761486402276e-09       2.033579680576e-10      -8.327036407050e-13 
    6       1.191239099607e-10       6.778438641965e-15       5.129164634027e-13       0.000000000000e+00       2.155822945122e-09       1.656940193366e-10      -5.014247446976e-13 
    7       1.159497765266e-10       5.893349091786e-15       4.896240168552e-13       0.000000000000e+00       1.738843751162e-09       1.380418640956e-10      -2.678952976660e-13 
    8       1.137226971209e-10       5.496561689677e-15       4.729677213933e-13       0.000000000000e+00       1.437471403987e-09       1.170540694647e-10      -1.255214528403e-13 
    9       1.121964690646e-10       5.494866863977e-15       4.650042258593e-13       0.000000000000e+00       1.210880086934e-09       1.007172697068e-10      -5.818799773603e-14 
   10       1.111743341458e-10       5.767604227301e-15       4.653002199069e-13       0.000000000000e+00       1.035292263460e-09       8.773527299385e-11      -4.501677062824e-14 
   11       1.105517507063e-10       6.276034846155e-15       4.719405955355e-13       0.000000000000e+00       8.719532097622e-10       7.746337346426e-11      -6.577710847050e-14 
   12       1.102214085313e-10       7.043094917609e-15       4.823390781660e-13       0.000000000000e+00       7.619133158930e-10       6.860385295618e-11      -9.996506230331e-14 
   13       1.101106140033e-10       8.090277837697e-15       4.939999522409e-13       0.000000000000e+00       6.715733430244e-10       6.138092996609e-11      -1.320344348320e-13 
   14       1.101571423061e-10       9.402109573829e-15       5.050102639451e-13       0.000000000000e+00       5.964037069587e-10       5.507541024775e-11      -1.563155706293e-13 
   15       1.103579750862e-10       1.093283332419e-14       5.140530721792e-13       0.000000000000e+00       5.331266143748e-10       4.977750339726e-11      -1.667472161094e-13 
   16       1.106746647453e-10       1.263176353049e-14       5.202304040210e-13       0.000000000000e+00       4.793236115695e-10       4.523709140698e-11      -1.644835435054e-13 
   17       1.110804442356e-10       1.446080229077e-14       5.232546174145e-13       0.000000000000e+00       4.331678237756e-10       4.128843804591e-11      -1.531448527329e-13 
