# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.452036877276e-10       5.409381753596e-15       4.196207065479e-13       2.186301335161e-19       8.559672435962e-09       4.765995762230e-10      -2.117166979798e-12 
    3       1.372799601945e-10       8.167159100670e-15       5.205644728849e-13       4.369323892146e-19       5.312439758326e-09       3.388381669404e-10      -1.721387202843e-12 
    4       1.295728563866e-10       8.783843278401e-15       5.465959803570e-13       7.275127403293e-19       3.699835350417e-09       2.570415715681e-10      -1.251931141425e-12 
    5       1.235472501018e-10       7.970850252147e-15       5.364488239729e-13       1.089990505009e-18       2.761486402276e-09       2.033579680576e-10      -8.327036407050e-13 
    6       1.191260398128e-10       6.779961236599e-15       5.129155532824e-13       1.523935672625e-18       2.155822945122e-09       1.656940193366e-10      -5.014247446976e-13 
    7       1.159525977406e-10       5.895374816656e-15       4.896224239883e-13       2.028895594261e-18       1.738843751162e-09       1.380418640956e-10      -2.678952976660e-13 
    8       1.137262978632e-10       5.499159433763e-15       4.729651427532e-13       2.604423392509e-18       1.437471403987e-09       1.170540694647e-10      -1.255214528403e-13 
    9       1.122009338863e-10       5.498104100060e-15       4.650002973778e-13       3.250106423038e-18       1.210880086934e-09       1.007172697068e-10      -5.818799773603e-14 
   10       1.111797438813e-10       5.771546723104e-15       4.652945205109e-13       3.965593077202e-18       1.035292263460e-09       8.773527299385e-11      -4.501677062824e-14 
   11       1.105581824652e-10       6.280746355954e-15       4.719326541195e-13       4.750616259230e-18       8.719532097622e-10       7.746337346426e-11      -6.577710847050e-14 
   12       1.102289357793e-10       7.048636861360e-15       4.823283832654e-13       5.605012002169e-18       7.619133158930e-10       6.860385295618e-11      -9.996506230331e-14 
   13       1.101193067251e-10       8.096708976428e-15       4.939859640557e-13       6.528731898885e-18       6.715733430244e-10       6.138092996609e-11      -1.320344348320e-13 
   14       1.101670672392e-10       9.409485691383e-15       5.049924282629e-13       7.521848308823e-18       5.964037069587e-10       5.507541024775e-11      -1.563155706293e-13 
   15       1.103691960140e-10       1.094120692635e-14       5.140308356668e-13       8.584551645674e-18       5.331266143748e-10       4.977750339726e-11      -1.667472161094e-13 
   16       1.106872428347e-10       1.264118357300e-14       5.202032302937e-13       9.717139439916e-18       4.793236115695e-10       4.523709140698e-11      -1.644835435054e-13 
   17       1.110944384030e-10       1.447131394768e-14       5.232220032581e-13       1.091999728570e-17       4.331678237756e-10       4.128843804591e-11      -1.531448527329e-13 
   18       1.115667066581e-10       1.640703714165e-14       5.233622838364e-13       1.219357661803e-17       3.931053305987e-10       3.780388810967e-11      -1.376488917413e-13 
