# Matter power spectrum P(k) at redshift z=3
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.012935334872e+00 
       2.327372521721e-05       1.089405099688e+01 
       3.616033485638e-05       1.668368326393e+01 
       4.912632858169e-05       2.243948561306e+01 
       6.220673434885e-05       2.819495915704e+01 
       7.543745742670e-05       3.397562654578e+01 
       8.885560071072e-05       3.980358285463e+01 
       1.024997991457e-04       4.569936948236e+01 
       1.164105725265e-04       5.168294223918e+01 
       1.306307009787e-04       5.777426409687e+01 
       1.452056274288e-04       6.399372245997e+01 
       1.601838913165e-04       7.036245874949e+01 
       1.756175976332e-04       7.690265344208e+01 
       1.915629250129e-04       8.363778961071e+01 
       2.080806759719e-04       9.059290795533e+01 
       2.252368713561e-04       9.779486068448e+01 
       2.431033894502e-04       1.052725679811e+02 
       2.617586478239e-04       1.130572779912e+02 
       2.812883225660e-04       1.211828286719e+02 
       3.017860947799e-04       1.296859070315e+02 
       3.233544077055e-04       1.386062979928e+02 
       3.461052092118e-04       1.479871111000e+02 
       3.701606432943e-04       1.578749683961e+02 
       3.956536403564e-04       1.683201309469e+02 
       4.227283394580e-04       1.793765347483e+02 
       4.515402568509e-04       1.911016994202e+02 
       4.822560952554e-04       2.035564658271e+02 
       5.150530698485e-04       2.168045127257e+02 
       5.501176137238e-04       2.309115995048e+02 
       5.876433232205e-04       2.459444844957e+02 
       6.278280191063e-04       2.619694791541e+02 
       6.708698408671e-04       2.790506206535e+02 
       7.169623647730e-04       2.972474812354e+02 
       7.662888441905e-04       3.166126819843e+02 
       8.190158071201e-04       3.371892377778e+02 
       8.752863945378e-04       3.590079204179e+02 
       9.352139556907e-04       3.820848751904e+02 
       9.988764975497e-04       4.064197468345e+02 
       1.066312581642e-03       4.319945509741e+02 
       1.137519153655e-03       4.587734612633e+02 
       1.212451586285e-03       4.867035779640e+02 
       1.291025949180e-03       5.157166200309e+02 
       1.373123247122e-03       5.457313671650e+02 
       1.458595147227e-03       5.766565964871e+02 
       1.477104874446e-03       5.833104639467e+02 
       1.547270590249e-03       6.083942262152e+02 
       1.638962663815e-03       6.408423971029e+02 
       1.733475192245e-03       6.738982792011e+02 
       1.830608634785e-03       7.074604672070e+02 
       1.930165042987e-03       7.414309027249e+02 
       2.031951976366e-03       7.757152704356e+02 
       2.135785393060e-03       8.102261486360e+02 
       2.241491611929e-03       8.448834375666e+02 
       2.348908486039e-03       8.796128740538e+02 
       2.457885942459e-03       9.143470276268e+02 
       2.568286038321e-03       9.490251691346e+02 
       2.679982666623e-03       9.835929881539e+02 
       2.792861023445e-03       1.018002202792e+03 
       2.906816925612e-03       1.052210101783e+03 
       3.021756046801e-03       1.086179054711e+03 
       3.137593122032e-03       1.119876020756e+03 
       3.254251155704e-03       1.153272079269e+03 
       3.371660656763e-03       1.186341997257e+03 
       3.489758915860e-03       1.219063840627e+03 
       3.608489332869e-03       1.251418629079e+03 
       3.727800798598e-03       1.283390029835e+03 
       3.847647131351e-03       1.314964083318e+03 
       3.967986566919e-03       1.346128954211e+03 
       4.088781299291e-03       1.376874703169e+03 
       4.209997068598e-03       1.407193076850e+03 
       4.331602792492e-03       1.437077315927e+03 
       4.453570237032e-03       1.466521981710e+03 
       4.575873723267e-03       1.495522801959e+03 
       4.698489865848e-03       1.524076535510e+03 
       4.821397340297e-03       1.552180854229e+03 
       4.944576675808e-03       1.579834239795e+03 
       5.068010070740e-03       1.607035892498e+03 
       5.191681228264e-03       1.633785649562e+03 
       5.315575209873e-03       1.660083767780e+03 
       5.439678304717e-03       1.685931181920e+03 
       5.563977912957e-03       1.711329331314e+03 
       5.688462441535e-03       1.736279932392e+03 
       5.813121210944e-03       1.760785040774e+03 
       5.937944371742e-03       1.784847012562e+03 
       6.062922829719e-03       1.808468471561e+03 
       6.188048178725e-03       1.831652280957e+03 
       6.313312640316e-03       1.854401517310e+03 
       6.438709009458e-03       1.876719450823e+03 
       6.564230605612e-03       1.898609511791e+03 
       6.689871228629e-03       1.920075273077e+03 
       6.815625118917e-03       1.941120428116e+03 
       6.941486921433e-03       1.961748769190e+03 
       7.067451653088e-03       1.981964170232e+03 
       7.193514673207e-03       2.001770571734e+03 
       7.319671656730e-03       2.021171968492e+03 
       7.445918569861e-03       2.040172400738e+03 
       7.572251647927e-03       2.058775945693e+03 
       7.698667375219e-03       2.076986711483e+03 
       7.825162466610e-03       2.094808830997e+03 
       7.951733850790e-03       2.112246455701e+03 
       8.078378654943e-03       2.129303750654e+03 
       8.205094190741e-03       2.145984888277e+03 
       8.331877941520e-03       2.162294044095e+03 
       8.458727550527e-03       2.178235390171e+03 
       8.585640810143e-03       2.193813085244e+03 
       8.712615651986e-03       2.209031473449e+03 
       8.839650137819e-03       2.223895108569e+03 
       8.966742451184e-03       2.238407439608e+03 
       9.093890889703e-03       2.252572601642e+03 
       9.221093857979e-03       2.266394674094e+03 
       9.348349861058e-03       2.279877707622e+03 
       9.475657498389e-03       2.293025723403e+03 
       9.603015458246e-03       2.305842711786e+03 
       9.730422512576e-03       2.318332631387e+03 
       9.857877512231e-03       2.330499409333e+03 
       9.985379382555e-03       2.342346941002e+03 
       1.011292711930e-02       2.353879091109e+03 
       1.024051978483e-02       2.365099693645e+03 
       1.036815650464e-02       2.376012552626e+03 
       1.049583646405e-02       2.386621441596e+03 
       1.062355890523e-02       2.396930103899e+03 
       1.075132312437e-02       2.406942250968e+03 
       1.087912846906e-02       2.416661561262e+03 
       1.100697433590e-02       2.426091678432e+03 
       1.113486016823e-02       2.435236209173e+03 
       1.126278545402e-02       2.444098721759e+03 
       1.139074972397e-02       2.452682744482e+03 
       1.151875254963e-02       2.460991765215e+03 
       1.164679354177e-02       2.469029231517e+03 
       1.177487234881e-02       2.476798552102e+03 
       1.190298865531e-02       2.484303098680e+03 
       1.203114218069e-02       2.491546209517e+03 
       1.215933267789e-02       2.498531191801e+03 
       1.228755993227e-02       2.505261325316e+03 
       1.241582376045e-02       2.511739865310e+03 
       1.254412400938e-02       2.517970044732e+03 
       1.267246055530e-02       2.523955076226e+03 
       1.280083330297e-02       2.529698153265e+03 
       1.292924218478e-02       2.535202450190e+03 
       1.305768716005e-02       2.540471121367e+03 
       1.318616821433e-02       2.545507291476e+03 
       1.331468535874e-02       2.550314026873e+03 
       1.344323862943e-02       2.554894296327e+03 
       1.357182808697e-02       2.559250972131e+03 
       1.370045381591e-02       2.563386906063e+03 
       1.382911592430e-02       2.567304922167e+03 
       1.395781454330e-02       2.571007993828e+03 
       1.408654982676e-02       2.574498961842e+03 
       1.421532195092e-02       2.577780681617e+03 
       1.434413111408e-02       2.580855970819e+03 
       1.447297753634e-02       2.583727612326e+03 
       1.460186145937e-02       2.586398357415e+03 
