# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.449337494248e-10       4.874168319815e-15       3.908389595607e-13       2.324186506066e-19       8.479404942183e-09       4.760270976419e-10      -2.031795887393e-12 
    3       1.370502635423e-10       6.829227340308e-15       4.614824353624e-13       4.648541003491e-19       5.314305234871e-09       3.388596359737e-10      -1.606772973781e-12 
    4       1.295073834590e-10       6.596748203912e-15       4.560551588176e-13       7.747963084353e-19       3.710221571263e-09       2.568640331334e-10      -1.120060416670e-12 
    5       1.237452456629e-10       5.109202822013e-15       4.159243134964e-13       1.162273465366e-18       2.773673513855e-09       2.030527843661e-10      -6.915441518654e-13 
    6       1.196698994548e-10       3.495506986843e-15       3.651814380595e-13       1.627325370144e-18       2.167960020661e-09       1.653123965563e-10      -3.578371116393e-13 
    7       1.169026014000e-10       2.378683898138e-15       3.182553990136e-13       2.170005899519e-18       1.748495971930e-09       1.375883135295e-10      -1.274607462919e-13 
    8       1.151369158745e-10       1.812442549874e-15       2.819675549271e-13       2.790385441141e-18       1.444294852049e-09       1.165502822885e-10       7.707748552891e-15 
    9       1.141149880744e-10       1.579362447526e-15       2.584723745220e-13       3.488553051724e-18       1.216202817301e-09       1.001983861894e-10       6.544783611571e-14 
   10       1.136243061446e-10       1.476701383367e-15       2.471346129355e-13       4.264618099899e-18       1.040297625112e-09       8.723046713632e-11       6.823792446242e-14 
   11       1.135667415072e-10       1.429350350916e-15       2.456640431035e-13       5.118711165948e-18       8.751784352072e-10       7.698840386955e-11       3.873408211420e-14 
   12       1.138225339040e-10       1.455477028801e-15       2.510123021765e-13       6.050983997036e-18       7.648607216690e-10       6.814175318999e-11      -3.102596560462e-15 
   13       1.143191980962e-10       1.588498128347e-15       2.602443261106e-13       7.061608355718e-18       6.742818441380e-10       6.093344332213e-11      -4.192685852613e-14 
   14       1.149872449208e-10       1.833153427973e-15       2.710134009356e-13       8.150773649838e-18       5.989045288306e-10       5.464001673111e-11      -7.048709954023e-14 
   15       1.158291989403e-10       2.169142798291e-15       2.816059748601e-13       9.318683291210e-18       5.354449293130e-10       4.935322995096e-11      -8.446857285312e-14 
   16       1.167984225907e-10       2.573908053807e-15       2.909864748642e-13       1.056554979596e-17       4.814804721359e-10       4.481983474584e-11      -8.523825119291e-14 
   17       1.178710489509e-10       3.036386430985e-15       2.987542381994e-13       1.189158870797e-17       4.351805684342e-10       4.087341923652e-11      -7.673983774378e-14 
   18       1.190159423549e-10       3.555425185117e-15       3.050417375937e-13       1.329701218523e-17       3.949878071215e-10       3.738946851142e-11      -6.412877128448e-14 
   19       1.202454664804e-10       4.129319360544e-15       3.101497594368e-13       1.478201763380e-17       3.602687050273e-10       3.433679176668e-11      -5.124779339809e-14 
   20       1.215312720832e-10       4.753787891941e-15       3.144038043152e-13       1.634678658924e-17       3.296851630594e-10       3.164051814873e-11      -4.170882748848e-14 
   21       1.228832078134e-10       5.422572797259e-15       3.180719970890e-13       1.799146695178e-17       3.027581746855e-10       2.925733543492e-11      -3.663957357394e-14 
   22       1.242899372034e-10       6.128452904829e-15       3.213162540364e-13       1.971617272985e-17       2.788454563170e-10       2.711580439999e-11      -3.596214915439e-14 
   23       1.257486706513e-10       6.868810860048e-15       3.239452094351e-13       2.152096865900e-17       2.576192049819e-10       2.519062095019e-11      -3.853138171140e-14 
   24       1.272396682585e-10       7.642573215621e-15       3.255864696547e-13       2.340586983799e-17       2.385895031024e-10       2.345015984025e-11      -4.251576422765e-14 
   25       1.287765636918e-10       8.448346387428e-15       3.260000857956e-13       2.537083073233e-17       2.215331853599e-10       2.188914918316e-11      -4.630076007441e-14 
   26       1.303644496514e-10       9.284849194364e-15       3.249443060068e-13       2.741574378656e-17       2.061422289921e-10       2.049209007259e-11      -4.833254789213e-14 
   27       1.319904937029e-10       1.015124858478e-14       3.222127717905e-13       2.954043426938e-17       1.922324145715e-10       1.922943180725e-11      -4.820404074212e-14 
   28       1.336282438042e-10       1.104723557672e-14       3.176257129700e-13       3.174466050854e-17       1.795643039904e-10       1.806058500767e-11      -4.600930476400e-14 
   29       1.352883099879e-10       1.197333730327e-14       3.112267776544e-13       3.402812714472e-17       1.680734808189e-10       1.698349609626e-11      -4.236961043763e-14 
   30       1.369821276129e-10       1.293084070908e-14       3.031483127947e-13       3.639046915691e-17       1.576368530405e-10       1.599990289173e-11      -3.826506854699e-14 
   31       1.387100615095e-10       1.392119979062e-14       2.935436750473e-13       3.883125793275e-17       1.480418838750e-10       1.510273677638e-11      -3.474774572441e-14 
   32       1.404748051273e-10       1.494397643097e-14       2.825447921203e-13       4.135005128093e-17       1.392392044461e-10       1.428403044024e-11      -3.215211165583e-14 
   33       1.422701515540e-10       1.599816584153e-14       2.702886086105e-13       4.394635639000e-17       1.311667174396e-10       1.352814184133e-11      -3.059368591237e-14 
   34       1.440830657973e-10       1.708279210193e-14       2.568892117483e-13       4.661963601931e-17       1.237116358404e-10       1.281564273408e-11      -3.008956659315e-14 
   35       1.459184244217e-10       1.819710144070e-14       2.423042686744e-13       4.936938546352e-17       1.168359250127e-10       1.214747673478e-11      -3.027802324052e-14 
   36       1.477811709562e-10       1.934045675964e-14       2.264164532342e-13       5.219508019153e-17       1.104845485717e-10       1.152841232725e-11      -3.058630646686e-14 
   37       1.496712496220e-10       2.051226744432e-14       2.090980346049e-13       5.509618904429e-17       1.045749878865e-10       1.096014598152e-11      -3.043964045073e-14 
   38       1.515915050067e-10       2.171187790667e-14       1.903259704181e-13       5.807229188168e-17       9.909205321684e-11       1.044056151647e-11      -2.976107316922e-14 
   39       1.535411667768e-10       2.293866145172e-14       1.701010231797e-13       6.112300264415e-17       9.401841734506e-11       9.963666376167e-12      -2.863269473115e-14 
