# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448025441361e-10       4.694628198013e-15       3.803210184013e-13       0.000000000000e+00       8.662710158543e-09       4.758906483925e-10      -2.000854222505e-12 
    3       1.369627969266e-10       6.379899379752e-15       4.374123653344e-13       0.000000000000e+00       5.327987263151e-09       3.379827782295e-10      -1.568404531612e-12 
    4       1.294924304976e-10       5.877972477169e-15       4.177250645274e-13       0.000000000000e+00       3.705927659986e-09       2.563038283242e-10      -1.076406676843e-12 
    5       1.238410095343e-10       4.192038849260e-15       3.628997066516e-13       0.000000000000e+00       2.767955786405e-09       2.026687753871e-10      -6.447312300571e-13 
    6       1.199185519102e-10       2.481985748450e-15       2.977188429670e-13       0.000000000000e+00       2.163536910750e-09       1.650195963175e-10      -3.099719108912e-13 
    7       1.173430435930e-10       1.355059922279e-15       2.371076741548e-13       0.000000000000e+00       1.746577812419e-09       1.373586891595e-10      -8.006867750755e-14 
    8       1.158067832109e-10       8.266494419948e-16       1.882364749787e-13       0.000000000000e+00       1.444311581012e-09       1.163531829339e-10       5.365629348742e-14 
    9       1.150481307885e-10       6.381927417030e-16       1.535137016519e-13       0.000000000000e+00       1.216681470943e-09       1.000026123938e-10       1.095460005820e-13 
   10       1.148468653594e-10       5.536199124793e-16       1.324635160311e-13       0.000000000000e+00       1.040135675694e-09       8.702416153896e-11       1.105505054069e-13 
   11       1.151103233895e-10       4.743504498884e-16       1.228332314094e-13       0.000000000000e+00       8.770841366858e-10       7.685956063143e-11       8.009698481424e-14 
   12       1.157120942320e-10       4.035035891659e-16       1.216286279292e-13       0.000000000000e+00       7.666025903933e-10       6.800850988976e-11       3.784990072994e-14 
   13       1.165784461866e-10       3.667908735865e-16       1.258789678942e-13       0.000000000000e+00       6.758824261302e-10       6.079890463460e-11      -1.272139703500e-15 
   14       1.176342895569e-10       3.684415983149e-16       1.331211081623e-13       0.000000000000e+00       6.003819008853e-10       5.450315989253e-11      -2.928549527610e-14 
   15       1.188860805482e-10       3.938209029385e-16       1.416637941696e-13       0.000000000000e+00       5.368140395875e-10       4.921535301215e-11      -4.287739899053e-14 
   16       1.202816012366e-10       4.299190247698e-16       1.504513663410e-13       0.000000000000e+00       4.827535759934e-10       4.468226102541e-11      -4.354871329767e-14 
   17       1.217967127270e-10       4.763858308474e-16       1.589662631518e-13       0.000000000000e+00       4.363680031523e-10       4.073606858681e-11      -3.537133862689e-14 
   18       1.233960609445e-10       5.417256035918e-16       1.672977622533e-13       0.000000000000e+00       3.960988090577e-10       3.725071755536e-11      -2.350887885864e-14 
   19       1.250911335280e-10       6.306641097954e-16       1.757067814720e-13       0.000000000000e+00       3.613098366308e-10       3.419622607885e-11      -1.175898160353e-14 
   20       1.268549087234e-10       7.451506540256e-16       1.844741365395e-13       0.000000000000e+00       3.306629738832e-10       3.149988537653e-11      -3.677425121645e-15 
   21       1.286963239959e-10       8.833159427826e-16       1.937495942275e-13       0.000000000000e+00       3.036787765012e-10       2.911687162223e-11      -2.459064367164e-16 
   22       1.306025007739e-10       1.041623023099e-15       2.035717034095e-13       0.000000000000e+00       2.797135071328e-10       2.697333764403e-11      -1.199194136510e-15 
   23       1.325690735103e-10       1.220185279854e-15       2.137183405604e-13       0.000000000000e+00       2.584390094915e-10       2.504523278569e-11      -5.242409179584e-15 
   24       1.345750682156e-10       1.419955034344e-15       2.238149816282e-13       0.000000000000e+00       2.393648080553e-10       2.330349257925e-11      -1.043381439388e-14 
   25       1.366342025448e-10       1.640712718972e-15       2.335014232616e-13       0.000000000000e+00       2.222674865617e-10       2.174387342631e-11      -1.519802883853e-14 
   26       1.387518515853e-10       1.881867954853e-15       2.423919429123e-13       0.000000000000e+00       2.068384999877e-10       2.035080092895e-11      -1.808945758196e-14 
   27       1.409129206271e-10       2.144084721022e-15       2.502095342223e-13       0.000000000000e+00       1.928933867276e-10       1.909151907742e-11      -1.877523804825e-14 
   28       1.430882234372e-10       2.428600503515e-15       2.567390556530e-13       0.000000000000e+00       1.801923346094e-10       1.792176118737e-11      -1.741919367516e-14 
   29       1.452880789709e-10       2.737391637363e-15       2.619832472236e-13       0.000000000000e+00       1.686708941572e-10       1.684068749173e-11      -1.465776056053e-14 
   30       1.475247661727e-10       3.072906349528e-15       2.660505496128e-13       0.000000000000e+00       1.582057775521e-10       1.585338451725e-11      -1.147560464996e-14 
   31       1.497996365391e-10       3.437569886259e-15       2.690755594268e-13       0.000000000000e+00       1.485840340855e-10       1.495601162051e-11      -8.932778105341e-15 
   32       1.521148803665e-10       3.832402925306e-15       2.710976185178e-13       0.000000000000e+00       1.397562522918e-10       1.413970980143e-11      -7.359228346963e-15 
   33       1.544633322398e-10       4.257871176218e-15       2.721396716214e-13       0.000000000000e+00       1.316602487875e-10       1.338628834772e-11      -6.864306357666e-15 
   34       1.568312111952e-10       4.714369002301e-15       2.722123755763e-13       0.000000000000e+00       1.241830185028e-10       1.267391362515e-11      -7.455261918047e-15 
   35       1.592237266757e-10       5.202722440924e-15       2.712164352463e-13       0.000000000000e+00       1.172864787280e-10       1.200410555880e-11      -8.734038642759e-15 
   36       1.616466960951e-10       5.723850050326e-15       2.690040503389e-13       0.000000000000e+00       1.109154908911e-10       1.138336360521e-11      -1.007977862190e-14 
   37       1.641008496620e-10       6.278625205198e-15       2.654220460827e-13       0.000000000000e+00       1.049873586115e-10       1.081507107272e-11      -1.087513399961e-14 
   38       1.665882822842e-10       6.867870120031e-15       2.603781410944e-13       0.000000000000e+00       9.948688650384e-11       1.029709902035e-11      -1.104576962046e-14 
   39       1.691069037872e-10       7.492353779522e-15       2.537951785108e-13       0.000000000000e+00       9.439673092196e-11       9.822858265273e-12      -1.069571032289e-14 
   40       1.716478569989e-10       8.152788902808e-15       2.455930623943e-13       0.000000000000e+00       8.966848093130e-11       9.381498716573e-12      -9.966274466741e-15 
   41       1.742002147983e-10       8.849822870783e-15       2.357086922302e-13       0.000000000000e+00       8.523955007539e-11       8.961238802834e-12      -9.025364703986e-15 
   42       1.767685152872e-10       9.584015708298e-15       2.241641506103e-13       0.000000000000e+00       8.109698163695e-11       8.561486793990e-12      -8.024785019703e-15 
   43       1.793598111001e-10       1.035584880630e-14       2.110203071832e-13       0.000000000000e+00       7.722985144556e-11       8.184084578503e-12      -7.133483728994e-15 
   44       1.819785039311e-10       1.116572579386e-14       1.963596840107e-13       0.000000000000e+00       7.361011968501e-11       7.829882968200e-12      -6.551407156746e-15 
   45       1.846267375706e-10       1.201402448388e-14       1.802565000433e-13       0.000000000000e+00       7.020266367512e-11       7.498807325734e-12      -6.450480840392e-15 
   46       1.873064227539e-10       1.290128068278e-14       1.626734359985e-13       0.000000000000e+00       6.700216480996e-11       7.190295647312e-12      -6.772480948287e-15 
   47       1.900173083144e-10       1.382805250860e-14       1.435359474655e-13       0.000000000000e+00       6.400493089299e-11       6.902834228140e-12      -7.373644621951e-15 
   48       1.927560884512e-10       1.479486843566e-14       1.227600493739e-13       0.000000000000e+00       6.119776942960e-11       6.633729817105e-12      -8.078413236187e-15 
