# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448030618274e-10       4.694885878776e-15       3.803210138479e-13       2.576806314733e-19       8.662710158543e-09       4.758906483925e-10      -2.000854222505e-12 
    3       1.369638298148e-10       6.380414801684e-15       4.374123450456e-13       5.154206352837e-19       5.327987263151e-09       3.379827782295e-10      -1.568404531612e-12 
    4       1.294941465025e-10       5.878831650779e-15       4.177250062433e-13       8.591672317461e-19       3.705927659986e-09       2.563038283242e-10      -1.076406676843e-12 
    5       1.238435734355e-10       4.193327873117e-15       3.628995739130e-13       1.289001999954e-18       2.767955786405e-09       2.026687753871e-10      -6.447312300571e-13 
    6       1.199221247166e-10       2.483790836884e-15       2.977185820501e-13       1.805028766474e-18       2.163536910750e-09       1.650195963175e-10      -3.099719108912e-13 
    7       1.173477820068e-10       1.357467435811e-15       2.371072113003e-13       2.407374539129e-18       1.746577812419e-09       1.373586891595e-10      -8.006867750755e-14 
    8       1.158128391979e-10       8.297459201149e-16       1.882357139539e-13       3.096190348232e-18       1.444311581012e-09       1.163531829339e-10       5.365629348742e-14 
    9       1.150556512622e-10       6.420649371713e-16       1.535125216736e-13       3.871651869668e-18       1.216681470943e-09       1.000026123938e-10       1.095460005820e-13 
   10       1.148559919822e-10       5.583548259431e-16       1.324617700634e-13       4.733959703700e-18       1.040135675694e-09       8.702416153896e-11       1.105505054069e-13 
   11       1.151211924905e-10       4.800353632520e-16       1.228307448438e-13       5.683339190379e-18       8.770841366858e-10       7.685956063143e-11       8.009698481424e-14 
   12       1.157248368387e-10       4.102260958644e-16       1.216251976384e-13       6.720039656768e-18       7.666025903933e-10       6.800850988976e-11       3.784990072994e-14 
   13       1.165931881598e-10       3.746389037247e-16       1.258743616458e-13       7.844333012404e-18       6.758824261302e-10       6.079890463460e-11      -1.272139703500e-15 
   14       1.176511518198e-10       3.775034365508e-16       1.331150643696e-13       9.056511636548e-18       6.003819008853e-10       5.450315989253e-11      -2.928549527610e-14 
   15       1.189051793940e-10       4.041851970396e-16       1.416560219468e-13       1.035688553271e-17       5.368140395875e-10       4.921535301215e-11      -4.287739899053e-14 
   16       1.203030486987e-10       4.416747829440e-16       1.504415458310e-13       1.174577876124e-17       4.827535759934e-10       4.468226102541e-11      -4.354871329767e-14 
   17       1.218206169934e-10       4.896224062587e-16       1.589540460873e-13       1.322352519759e-17       4.363680031523e-10       4.073606858681e-11      -3.537133862689e-14 
   18       1.234225268054e-10       5.565326659393e-16       1.672827727309e-13       1.479046410292e-17       3.960988090577e-10       3.725071755536e-11      -2.350887885864e-14 
   19       1.251202627870e-10       6.471315970567e-16       1.756886168053e-13       1.644693281271e-17       3.613098366308e-10       3.419622607885e-11      -1.175898160353e-14 
   20       1.268868006889e-10       7.633687204649e-16       1.844523684213e-13       1.819326539158e-17       3.306629738832e-10       3.149988537653e-11      -3.677425121645e-15 
   21       1.287310758145e-10       9.033748801809e-16       1.937237697542e-13       2.002978156949e-17       3.036787765012e-10       2.911687162223e-11      -2.459064367164e-16 
   22       1.306402078563e-10       1.063613179520e-15       2.035413464436e-13       2.195678587263e-17       2.797135071328e-10       2.697333764403e-11      -1.199194136510e-15 
   23       1.326098297510e-10       1.244196960165e-15       2.136829529085e-13       2.397455786134e-17       2.584390094915e-10       2.504523278569e-11      -5.242409179584e-15 
   24       1.346189663066e-10       1.446078397754e-15       2.237740445661e-13       2.608335116682e-17       2.393648080553e-10       2.330349257925e-11      -1.043381439388e-14 
   25       1.366813340288e-10       1.669037671118e-15       2.334543988631e-13       2.828338604497e-17       2.222674865617e-10       2.174387342631e-11      -1.519802883853e-14 
   26       1.388023070243e-10       1.912484033215e-15       2.423382757420e-13       3.057484787676e-17       2.068384999877e-10       2.035080092895e-11      -1.808945758196e-14 
   27       1.409667895319e-10       2.177080986006e-15       2.501486529292e-13       3.295788296316e-17       1.928933867276e-10       1.909151907742e-11      -1.877523804825e-14 
   28       1.431455942698e-10       2.464065427736e-15       2.566703749055e-13       3.543259781703e-17       1.801923346094e-10       1.792176118737e-11      -1.741919367516e-14 
   29       1.453490388173e-10       2.775413041467e-15       2.619061696861e-13       3.799906482156e-17       1.686708941572e-10       1.684068749173e-11      -1.465776056053e-14 
   30       1.475894006349e-10       3.113571296155e-15       2.659644682203e-13       4.065731295239e-17       1.582057775521e-10       1.585338451725e-11      -1.147560464996e-14 
   31       1.498680296178e-10       3.480964585436e-15       2.689798599751e-13       4.340733013026e-17       1.485840340855e-10       1.495601162051e-11      -8.932778105341e-15 
   32       1.521871140039e-10       3.878612748523e-15       2.709916827582e-13       4.624908901008e-17       1.397562522918e-10       1.413970980143e-11      -7.359228346963e-15 
