# Matter power spectrum P(k) at redshift z=3
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.012919119841e+00 
       2.328524907329e-05       1.089923274086e+01 
       3.618347856060e-05       1.669395501754e+01 
       4.916128120428e-05       2.245484816275e+01 
       6.225378036272e-05       2.821547742038e+01 
       7.549698043429e-05       3.400141822585e+01 
       8.892808863178e-05       3.983481497797e+01 
       1.025858509514e-04       4.573625810036e+01 
       1.165109066315e-04       5.172575388863e+01 
       1.307461654296e-04       5.782331850247e+01 
       1.453372120546e-04       6.404939627307e+01 
       1.603327420303e-04       7.042519024858e+01 
       1.757850330994e-04       7.697294818294e+01 
       1.917504559117e-04       8.371622704469e+01 
       2.082900271049e-04       9.068014904769e+01 
       2.254700068350e-04       9.789165656378e+01 
       2.433625411929e-04       1.053797696379e+02 
       2.620463475354e-04       1.131758470154e+02 
       2.816074372982e-04       1.213138489712e+02 
       3.021398660246e-04       1.298305974000e+02 
       3.237464937667e-04       1.387660252959e+02 
       3.465397302979e-04       1.481634036989e+02 
       3.706422283479e-04       1.580695292433e+02 
       3.961874740740e-04       1.685348495421e+02 
       4.233202072259e-04       1.796134968448e+02 
       4.521965844369e-04       1.913631930233e+02 
       4.829839790692e-04       2.038449816543e+02 
       5.158602924974e-04       2.171227369406e+02 
       5.510126385727e-04       2.312623962699e+02 
       5.886352609510e-04       2.463308658257e+02 
       6.289265591569e-04       2.623945598198e+02 
       6.720851415033e-04       2.795175566535e+02 
       7.183048977472e-04       2.977593917361e+02 
       7.677691937370e-04       3.171725566773e+02 
       8.206444283334e-04       3.377998341953e+02 
       8.770733424836e-04       3.596716585401e+02 
       9.371686028771e-04       3.828037391048e+02 
       1.001007262203e-03       4.071952045642e+02 
       1.068626691123e-03       4.328275032321e+02 
       1.140022465322e-03       4.596642275099e+02 
       1.215148482052e-03       4.876519239502e+02 
       1.293919311048e-03       5.167218258079e+02 
       1.376214510902e-03       5.467923294764e+02 
       1.461884422793e-03       5.777719557005e+02 
       1.477104874446e-03       5.832414897797e+02 
       1.550756830555e-03       6.095625062391e+02 
       1.642643862442e-03       6.420621472005e+02 
       1.737348590148e-03       6.751682087696e+02 
       1.834670920219e-03       7.087795675839e+02 
       1.934412533166e-03       7.427985530199e+02 
       2.036380774056e-03       7.771312397813e+02 
       2.140391515371e-03       8.116909238107e+02 
       2.246271091594e-03       8.463980301388e+02 
       2.353857447488e-03       8.811789448543e+02 
       2.463000656045e-03       9.159669144177e+02 
       2.573562956469e-03       9.507018997501e+02 
       2.685418445561e-03       9.853302795470e+02 
       2.798452533853e-03       1.019804447072e+03 
       2.912561255028e-03       1.054082341142e+03 
       3.027650496122e-03       1.088126947859e+03 
       3.143635197965e-03       1.121905803850e+03 
       3.260438560605e-03       1.155390524256e+03 
       3.377991276942e-03       1.188556369999e+03 
       3.496230809140e-03       1.221381860365e+03 
       3.615100715965e-03       1.253848429875e+03 
       3.734550034712e-03       1.285940123862e+03 
       3.854532718232e-03       1.317643325414e+03 
       3.975007125562e-03       1.348946506969e+03 
       4.095935563352e-03       1.379840002029e+03 
       4.217283874576e-03       1.410315794994e+03 
       4.339021070677e-03       1.440367329109e+03 
       4.461119003209e-03       1.469989333409e+03 
       4.583552071131e-03       1.499177669294e+03 
       4.706296960100e-03       1.527929196274e+03 
       4.829332410373e-03       1.556241655205e+03 
       4.952639010177e-03       1.584113566354e+03 
       5.076199011749e-03       1.611544139399e+03 
       5.199996167461e-03       1.638533192870e+03 
       5.324015583773e-03       1.665080922117e+03 
       5.448243590969e-03       1.691188222303e+03 
       5.572667626877e-03       1.716856421828e+03 
       5.697276132960e-03       1.742087120107e+03 
       5.822058461386e-03       1.766882236045e+03 
       5.947004791809e-03       1.791243971318e+03 
       6.072106056768e-03       1.815174779678e+03 
       6.197353874742e-03       1.838677339962e+03 
       6.322740489981e-03       1.861754531647e+03 
       6.448258718390e-03       1.884409414438e+03 
       6.573901898772e-03       1.906645195302e+03 
       6.699663848864e-03       1.928465211678e+03 
       6.825538825635e-03       1.949872908783e+03 
       6.951521489388e-03       1.970871818657e+03 
       7.077606871280e-03       1.991465543779e+03 
       7.203790343866e-03       2.011657743055e+03 
       7.330067594394e-03       2.031452121128e+03 
       7.456434600529e-03       2.050852420916e+03 
       7.582887608280e-03       2.069862416586e+03 
       7.709423111908e-03       2.088485908887e+03 
       7.836037835603e-03       2.106726719745e+03 
       7.962728716767e-03       2.124588687184e+03 
       8.089492890745e-03       2.142075660721e+03 
       8.216327676860e-03       2.159191495689e+03 
       8.343230565626e-03       2.175940049020e+03 
       8.470199207039e-03       2.192325173062e+03 
       8.597231399825e-03       2.208350717994e+03 
       8.724325081580e-03       2.224020776041e+03 
       8.851478319702e-03       2.239339368737e+03 
       8.978689303050e-03       2.254309781606e+03 
       9.105956334272e-03       2.268935801588e+03 
       9.233277822728e-03       2.283221184258e+03 
       9.360652277965e-03       2.297169659169e+03 
       9.488078303702e-03       2.310784928728e+03 
       9.615554592268e-03       2.324070666627e+03 
       9.743079919460e-03       2.337030518226e+03 
       9.870653139797e-03       2.349668101058e+03 
       9.998273182115e-03       2.361987005246e+03 
       1.012593904549e-02       2.373990794708e+03 
       1.025364979549e-02       2.385683007308e+03 
       1.038140456061e-02       2.397067155545e+03 
       1.050920252912e-02       2.408146726233e+03 
       1.063704294595e-02       2.418925180173e+03 
       1.076492510998e-02       2.429405950780e+03 
       1.089284837138e-02       2.439592442548e+03 
       1.102081212921e-02       2.449488029464e+03 
       1.114881582920e-02       2.459096052870e+03 
       1.127685896162e-02       2.468419820123e+03 
       1.140494105937e-02       2.477462603433e+03 
       1.153306169617e-02       2.486227639689e+03 
       1.166122048486e-02       2.494718131049e+03 
       1.178941707586e-02       2.502937246687e+03 
       1.191765115571e-02       2.510888125101e+03 
       1.204592244571e-02       2.518573877812e+03 
       1.217423070066e-02       2.525997591864e+03 
       1.230257570771e-02       2.533162333615e+03 
       1.243095728526e-02       2.540071151450e+03 
       1.255937528194e-02       2.546727077967e+03 
       1.268782957571e-02       2.553133131976e+03 
       1.281632007296e-02       2.559292319327e+03 
       1.294484670769e-02       2.565207632877e+03 
       1.307340944081e-02       2.570882051284e+03 
       1.320200825944e-02       2.576318526705e+03 
       1.333064317622e-02       2.581519952154e+03 
       1.345931422882e-02       2.586489121616e+03 
       1.358802147930e-02       2.591228741295e+03 
       1.371676501370e-02       2.595741519699e+03 
       1.384554494153e-02       2.600030124013e+03 
       1.397436139537e-02       2.604097413398e+03 
       1.410321453053e-02       2.607946092313e+03 
       1.423210452466e-02       2.611578889943e+03 
       1.436103157750e-02       2.614998502678e+03 
       1.448999591054e-02       2.618207597793e+03 
       1.461899776685e-02       2.621208816711e+03 
       1.474803741082e-02       2.624004777223e+03 
       1.477104874446e-02       2.624481925066e+03 
       1.487711512800e-02       2.626598074918e+03 
       1.500623122493e-02       2.628991284041e+03 
       1.513538602902e-02       2.631186958113e+03 
       1.526457988844e-02       2.633187630419e+03 
       1.539381317206e-02       2.634995814212e+03 
       1.552308626936e-02       2.636614003151e+03 
       1.565239959041e-02       2.638044671492e+03 
       1.578175356585e-02       2.639290274355e+03 
       1.591114864693e-02       2.640353247962e+03 
       1.604058530550e-02       2.641236009828e+03 
       1.617006403406e-02       2.641940958977e+03 
       1.629958534586e-02       2.642470476154e+03 
       1.642914977497e-02       2.642826924018e+03 
       1.655875787636e-02       2.643012647284e+03 
       1.668841022607e-02       2.643029972982e+03 
       1.681810742133e-02       2.642881210543e+03 
       1.694785008070e-02       2.642568652039e+03 
       1.707763884429e-02       2.642094572342e+03 
       1.720747437391e-02       2.641461229219e+03 
       1.733735735331e-02       2.640670863569e+03 
       1.746728848840e-02       2.639725699528e+03 
       1.759726850750e-02       2.638627944625e+03 
       1.772729816157e-02       2.637379789754e+03 
       1.785737822455e-02       2.635983409572e+03 
       1.798750949358e-02       2.634440962399e+03 
       1.811769278939e-02       2.632754590430e+03 
       1.824792895656e-02       2.630926419766e+03 
       1.837821886390e-02       2.628958560561e+03 
       1.850856340479e-02       2.626853107101e+03 
       1.863896349760e-02       2.624612137870e+03 
       1.876942008603e-02       2.622237715649e+03 
       1.889993413956e-02       2.619731887572e+03 
       1.903050665386e-02       2.617096685239e+03 
       1.916113865127e-02       2.614334124688e+03 
       1.929183118121e-02       2.611446206587e+03 
