# Matter power spectrum P(k) at redshift z=3
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.012919031300e+00 
       2.328528449531e-05       1.089924858237e+01 
       3.618354969989e-05       1.669398645394e+01 
       4.916138864246e-05       2.245489519061e+01 
       6.225392497493e-05       2.821554023088e+01 
       7.549716340066e-05       3.400149716982e+01 
       8.892831145342e-05       3.983491055502e+01 
       1.025861154711e-04       4.573637095766e+01 
       1.165112150596e-04       5.172588482501e+01 
       1.307465203755e-04       5.782346847627e+01 
       1.453376165637e-04       6.404956641303e+01 
       1.603331996287e-04       7.042538186752e+01 
       1.757855478448e-04       7.697316279428e+01 
       1.917510324528e-04       8.371646638174e+01 
       2.082906707497e-04       9.068041508569e+01 
       2.254707236280e-04       9.789195154500e+01 
       2.433633380032e-04       1.053800960995e+02 
       2.620472321550e-04       1.131762078203e+02 
       2.816084185516e-04       1.213142473411e+02 
       3.021409538893e-04       1.298310369509e+02 
       3.237476995035e-04       1.387665100748e+02 
       3.465410665898e-04       1.481639382200e+02 
       3.706437094443e-04       1.580701185229e+02 
       3.961891159353e-04       1.685354991291e+02 
       4.233220276619e-04       1.796142128423e+02 
       4.521986032284e-04       1.913639820989e+02 
       4.829862180612e-04       2.038458510320e+02 
       5.158627756459e-04       2.171236943672e+02 
       5.510153919276e-04       2.312634499518e+02 
       5.886383125517e-04       2.463320243253e+02 
       6.289299388198e-04       2.623958319090e+02 
       6.720888804819e-04       2.795189511198e+02 
       7.183090282524e-04       2.977609171451e+02 
       7.677737483162e-04       3.171742210995e+02 
       8.206494391256e-04       3.378016449166e+02 
       8.770788403848e-04       3.596736217818e+02 
       9.371746166704e-04       3.828058597885e+02 
       1.001013817723e-03       4.071974861581e+02 
       1.068633810532e-03       4.328299477146e+02 
       1.140030166559e-03       4.596668354742e+02 
       1.215156778515e-03       4.876546948598e+02 
       1.293928211520e-03       5.167247583920e+02 
       1.376224019721e-03       5.467954222395e+02 
       1.461894540229e-03       5.777752075041e+02 
       1.477104874446e-03       5.832410989880e+02 
       1.550767553326e-03       6.095659169119e+02 
       1.642655184329e-03       6.420657181368e+02 
       1.737360502628e-03       6.751719434829e+02 
       1.834683413079e-03       7.087834721978e+02 
       1.934425595065e-03       7.428026366865e+02 
       2.036394392999e-03       7.771355147612e+02 
       2.140405679108e-03       8.116954065333e+02 
       2.246285787930e-03       8.464027406426e+02 
       2.353872664512e-03       8.811839071825e+02 
       2.463016382300e-03       9.159721566912e+02 
       2.573579181060e-03       9.507074541688e+02 
       2.685435158221e-03       9.853361823189e+02 
       2.798469724975e-03       1.019810738273e+03 
       2.912578915671e-03       1.054089064517e+03 
       3.027668618001e-03       1.088134150576e+03 
       3.143653773431e-03       1.121913536225e+03 
       3.260457582606e-03       1.155398839462e+03 
       3.378010738993e-03       1.188565323777e+03 
       3.496250705281e-03       1.221391510742e+03 
       3.615121040725e-03       1.253858836895e+03 
       3.734570783069e-03       1.285951349328e+03 
       3.854553885579e-03       1.317655432636e+03 
       3.975028707668e-03       1.348959560520e+03 
       4.095957556333e-03       1.379854067504e+03 
       4.217306274862e-03       1.410330938759e+03 
       4.339043874986e-03       1.440383618064e+03 
       4.461142208523e-03       1.470006834748e+03 
       4.583575674669e-03       1.499196450268e+03 
       4.706320959301e-03       1.527949323973e+03 
       4.829356802872e-03       1.556263196340e+03 
       4.952663793793e-03       1.584136587056e+03 
       5.076224184464e-03       1.611568705028e+03 
       5.200021727408e-03       1.638559367834e+03 
       5.324041529224e-03       1.665108769652e+03 
       5.448269920323e-03       1.691217804455e+03 
       5.572694338645e-03       1.716887799166e+03 
       5.697303225763e-03       1.742120351638e+03 
       5.822085933940e-03       1.766917379107e+03 
       5.947032642919e-03       1.791281081453e+03 
       6.072134285322e-03       1.815213910625e+03 
       6.197382479703e-03       1.838718543496e+03 
       6.322769470382e-03       1.861797857516e+03 
       6.448288073327e-03       1.884454910401e+03 
       6.573931627403e-03       1.906692906998e+03 
       6.699693950400e-03       1.928515182549e+03 
       6.825569299336e-03       1.949925180096e+03 
       6.951552334565e-03       1.970926429378e+03 
       7.077638087285e-03       1.991522530577e+03 
       7.203821930093e-03       2.011717140261e+03 
       7.330099550274e-03       2.031513960698e+03 
       7.456466925527e-03       2.050916732424e+03 
       7.582920301897e-03       2.069929227235e+03 
       7.709456173672e-03       2.088555243469e+03 
       7.836071265073e-03       2.106798600706e+03 
       7.962762513527e-03       2.124663134604e+03 
       8.089527054406e-03       2.142152692351e+03 
       8.216362207055e-03       2.159271126927e+03 
       8.343265462011e-03       2.176022293198e+03 
       8.470234469290e-03       2.192410042615e+03 
       8.597267027637e-03       2.208438212894e+03 
       8.724361074668e-03       2.224110905569e+03 
       8.851514677796e-03       2.239432147081e+03 
       8.978726025898e-03       2.254405209149e+03 
       9.105993421638e-03       2.269033874989e+03 
       9.233315274388e-03       2.283321901142e+03 
       9.360690093711e-03       2.297273015533e+03 
       9.488116483339e-03       2.310890918509e+03 
       9.615593135612e-03       2.324179281952e+03 
       9.743118826341e-03       2.337141749249e+03 
       9.870692410054e-03       2.349781936085e+03 
       9.998312815599e-03       2.362103430777e+03 
       1.012597904207e-02       2.374109795514e+03 
       1.025369015502e-02       2.385804566506e+03 
       1.038144528298e-02       2.397191254569e+03 
       1.050924361422e-02       2.408273345019e+03 
       1.063708439368e-02       2.419054297069e+03 
       1.076496692024e-02       2.429537542688e+03 
       1.089289054408e-02       2.439726484975e+03 
       1.102085466428e-02       2.449624496501e+03 
       1.114885872656e-02       2.459234917290e+03 
       1.127690222121e-02       2.468561053423e+03 
       1.140498468113e-02       2.477606175879e+03 
       1.153310568005e-02       2.486373520364e+03 
       1.166126483082e-02       2.494866287905e+03 
       1.178946178386e-02       2.503087646590e+03 
       1.191769622571e-02       2.511040733895e+03 
       1.204596787769e-02       2.518728660360e+03 
       1.217427649460e-02       2.526154512136e+03 
       1.230262186359e-02       2.533321354655e+03 
       1.243100380307e-02       2.540232235593e+03 
       1.255942216168e-02       2.546890186719e+03 
       1.268787681738e-02       2.553298225973e+03 
       1.281636767656e-02       2.559459358798e+03 
       1.294489467324e-02       2.565376577250e+03 
       1.307345776832e-02       2.571052859454e+03 
       1.320205694892e-02       2.576491157006e+03 
       1.333069222772e-02       2.581694362378e+03 
       1.345936364235e-02       2.586665269031e+03 
       1.358807125490e-02       2.591406582684e+03 
       1.371681515140e-02       2.595921011475e+03 
       1.384559544138e-02       2.600211222162e+03 
       1.397441225742e-02       2.604280073685e+03 
       1.410326575482e-02       2.608130270208e+03 
       1.423215611127e-02       2.611764540670e+03 
