# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448377819375e-10       4.780128481289e-15       3.846254544201e-13       0.000000000000e+00       8.628485348347e-09       4.761594655420e-10      -2.016489840706e-12 
    3       1.369693462882e-10       6.587553550836e-15       4.464525409254e-13       0.000000000000e+00       5.332093112916e-09       3.382290255968e-10      -1.588683909702e-12 
    4       1.294548483285e-10       6.194798936994e-15       4.310944242910e-13       0.000000000000e+00       3.709658576628e-09       2.564654674553e-10      -1.099705813225e-12 
    5       1.237446019939e-10       4.565806265410e-15       3.800603993625e-13       0.000000000000e+00       2.768934278774e-09       2.027968637508e-10      -6.696104791972e-13 
    6       1.197517381743e-10       2.848824455429e-15       3.179587971627e-13       0.000000000000e+00       2.163637247965e-09       1.651410660449e-10      -3.350252480084e-13 
    7       1.170989359135e-10       1.667096180465e-15       2.596237237493e-13       0.000000000000e+00       1.746373499205e-09       1.374845727714e-10      -1.041888386365e-13 
    8       1.154806044926e-10       1.063740987234e-15       2.122308693626e-13       0.000000000000e+00       1.444039786050e-09       1.164911016757e-10       3.130362529445e-14 
    9       1.146371867413e-10       8.048570375562e-16       1.782599116723e-13       0.000000000000e+00       1.216708371409e-09       1.001565241167e-10       8.948126183753e-14 
   10       1.143504809605e-10       6.686479012958e-16       1.573149580371e-13       0.000000000000e+00       1.040571792432e-09       8.718193324615e-11       9.297900616946e-14 
   11       1.145274318268e-10       5.605793170138e-16       1.472912104217e-13       0.000000000000e+00       8.769687588540e-10       7.698067195576e-11       6.478401177530e-14 
   12       1.150430141949e-10       4.816187668715e-16       1.453184546692e-13       0.000000000000e+00       7.664979426064e-10       6.811880629129e-11       2.460465757129e-14 
   13       1.158233954902e-10       4.532099664526e-16       1.485561457877e-13       0.000000000000e+00       6.757872095001e-10       6.089736166465e-11      -1.272912234430e-14 
   14       1.167941798031e-10       4.753080162179e-16       1.546554200368e-13       0.000000000000e+00       6.002947136763e-10       5.459225582745e-11      -3.943622980804e-14 
