# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448382886714e-10       4.780381852403e-15       3.846254492771e-13       2.533710326173e-19       8.628485348347e-09       4.761594655420e-10      -2.016489840706e-12 
    3       1.369703573349e-10       6.588060349950e-15       4.464525180364e-13       5.067983121247e-19       5.332093112916e-09       3.382290255968e-10      -1.588683909702e-12 
    4       1.294565280915e-10       6.195643730785e-15       4.310943586398e-13       8.447898624462e-19       3.709658576628e-09       2.564654674553e-10      -1.099705813225e-12 
    5       1.237471118283e-10       4.567073702202e-15       3.800602501349e-13       1.267423407169e-18       2.768934278774e-09       2.027968637508e-10      -6.696104791972e-13 
    6       1.197552357746e-10       2.850599289906e-15       3.179585045109e-13       1.774798203383e-18       2.163637247965e-09       1.651410660449e-10      -3.350252480084e-13 
    7       1.171035747929e-10       1.669463300337e-15       2.596232059856e-13       2.367036116898e-18       1.746373499205e-09       1.374845727714e-10      -1.041888386365e-13 
    8       1.154865335652e-10       1.066785441433e-15       2.122300206331e-13       3.044282609873e-18       1.444039786050e-09       1.164911016757e-10       3.130362529445e-14 
    9       1.146445500149e-10       8.086640651760e-16       1.782586001432e-13       3.806707504751e-18       1.216708371409e-09       1.001565241167e-10       8.948126183753e-14 
   10       1.143594173423e-10       6.733029601544e-16       1.573130246041e-13       4.654505387851e-18       1.040571792432e-09       8.718193324615e-11       9.297900616946e-14 
   11       1.145380750430e-10       5.661681104236e-16       1.472884679376e-13       5.587895523498e-18       8.769687588540e-10       7.698067195576e-11       6.478401177530e-14 
   12       1.150554928197e-10       4.882272669692e-16       1.453146876653e-13       6.607121165139e-18       7.664979426064e-10       6.811880629129e-11       2.460465757129e-14 
   13       1.158378330756e-10       4.609244322936e-16       1.485511106491e-13       7.712448172774e-18       6.757872095001e-10       6.089736166465e-11      -1.272912234430e-14 
   14       1.168106950995e-10       4.842150047948e-16       1.546488455768e-13       8.904162875432e-18       6.002947136763e-10       5.459225582745e-11      -3.943622980804e-14 
   15       1.179803462471e-10       5.397395232628e-16       1.619470038545e-13       1.018256915194e-17       5.367339089347e-10       4.929804487108e-11      -5.201063029703e-14 
   16       1.192946767955e-10       6.112009835361e-16       1.694530853626e-13       1.154798474133e-17       4.826796168969e-10       4.476104467981e-11      -5.190149780478e-14 
   17       1.207293647262e-10       6.953229820522e-16       1.766867115188e-13       1.300073683417e-17       4.362995384112e-10       4.081226765065e-11      -4.310589344120e-14 
   18       1.222495796170e-10       7.984019420230e-16       1.836930828284e-13       1.454115746381e-17       3.960350842781e-10       3.732498783720e-11      -3.072236013759e-14 
   19       1.238667536872e-10       9.240714895343e-16       1.907542788934e-13       1.616957583111e-17       3.612507088703e-10       3.426921548820e-11      -1.850281211521e-14 
   20       1.255534674056e-10       1.073612668609e-15       1.981780442160e-13       1.788631698244e-17       3.306079185295e-10       3.157210305690e-11      -9.942960921720e-15 
   21       1.273186789658e-10       1.245016071761e-15       2.060880118662e-13       1.969169015278e-17       3.036272834776e-10       2.918813932102e-11      -6.004795087062e-15 
   22       1.291496594873e-10       1.434944301382e-15       2.144758448698e-13       2.158598795491e-17       2.796652672784e-10       2.704254415440e-11      -6.418893131408e-15 
   23       1.310421272836e-10       1.643710274907e-15       2.231527073746e-13       2.356947613828e-17       2.583937536696e-10       2.511093980183e-11      -9.924466418254e-15 
   24       1.329751353585e-10       1.872563322559e-15       2.317974284537e-13       2.564239268251e-17       2.393222907718e-10       2.336435703545e-11      -1.462420673039e-14 
