# Matter power spectrum P(k) at redshift z=0
# for k=1.0432e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.043203858107e-05       5.025461938175e+01 
       2.328524686929e-05       1.092647453819e+02 
       3.618347413424e-05       1.673560357869e+02 
       4.916127451936e-05       2.251072101512e+02 
       6.225377136480e-05       2.828543969807e+02 
       7.549696904993e-05       3.408536013052e+02 
       8.892807476759e-05       3.993263967130e+02 
       1.025858344927e-04       4.584787324339e+02 
       1.165108874407e-04       5.185106444291e+02 
       1.307461433445e-04       5.796221969952e+02 
       1.453371868856e-04       6.420176612050e+02 
       1.603327135580e-04       7.059088111897e+02 
       1.757850010714e-04       7.715177709373e+02 
       1.917504200387e-04       8.390796424575e+02 
       2.082899870567e-04       9.088450451351e+02 
       2.254699622354e-04       9.810826395360e+02 
       2.433624916146e-04       1.056081672483e+03 
       2.620462924935e-04       1.134154552149e+03 
       2.816073762437e-04       1.215639435890e+03 
       3.021397983366e-04       1.300902785530e+03 
       3.237464187446e-04       1.390341812110e+03 
       3.465396471526e-04       1.484386692423e+03 
       3.706421361927e-04       1.583502391612e+03 
       3.961873719159e-04       1.688189868926e+03 
       4.233200939567e-04       1.798986378261e+03 
       4.521964588258e-04       1.916464504471e+03 
       4.829838397571e-04       2.041229507122e+03 
       5.158601379936e-04       2.173914486749e+03 
       5.510124672565e-04       2.315172861764e+03 
       5.886350710777e-04       2.465667670187e+03 
       6.289263488713e-04       2.626057316796e+03 
       6.720849088608e-04       2.796977600701e+03 
       7.183046407435e-04       2.979020199766e+03 
       7.677689103471e-04       3.172708255654e+03 
       8.206441165575e-04       3.378470261946e+03 
       8.770730003995e-04       3.596614031179e+03 
       9.371682286937e-04       3.827302987373e+03 
       1.001006854312e-03       4.070537260057e+03 
       1.068626248147e-03       4.326141920219e+03 
       1.140021986144e-03       4.593764134864e+03 
       1.215147965839e-03       4.872880061768e+03 
       1.293918757253e-03       5.162811110135e+03 
       1.376213919254e-03       5.462747997833e+03 
       1.461883793277e-03       5.771780112527e+03 
       1.477104874446e-03       5.826345501325e+03 
       1.550756163374e-03       6.088927246354e+03 
       1.642643157983e-03       6.413170895993e+03 
       1.737347848942e-03       6.743482900410e+03 
       1.834670142901e-03       7.078849989921e+03 
       1.934411720442e-03       7.418293582106e+03 
       2.036379926672e-03       7.760873350229e+03 
       2.140390634090e-03       8.105722314146e+03 
       2.246270177174e-03       8.452045913553e+03 
       2.353856500670e-03       8.799109963194e+03 
       2.462999677542e-03       9.146249048652e+03 
       2.573561946959e-03       9.492864528714e+03 
       2.685417405683e-03       9.838421268360e+03 
       2.798451464205e-03       1.018244358828e+04 
       2.912560156165e-03       1.052451075102e+04 
       3.027649368560e-03       1.086425222266e+04 
       3.143634042181e-03       1.120134293059e+04 
       3.260437377037e-03       1.153549872388e+04 
       3.377990065994e-03       1.186647214646e+04 
       3.496229571182e-03       1.219404859684e+04 
       3.615099451338e-03       1.251804279698e+04 
       3.734548743727e-03       1.283829559300e+04 
       3.854531401177e-03       1.315467108241e+04 
       3.975005782701e-03       1.346705406830e+04 
       4.095934194926e-03       1.377534780003e+04 
       4.217282480807e-03       1.407947195204e+04 
       4.339019651769e-03       1.437936078890e+04 
       4.461117559350e-03       1.467496150138e+04 
       4.583550602494e-03       1.496623270341e+04 
       4.706295466845e-03       1.525314310546e+04 
       4.829330892646e-03       1.553567062047e+04 
       4.952637468115e-03       1.581380058607e+04 
       5.076197445477e-03       1.608752518724e+04 
       5.199994577095e-03       1.635684261260e+04 
