# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448116040445e-10       4.688566881672e-15       3.797186989243e-13       0.000000000000e+00       8.585823438711e-09       4.760845091035e-10      -2.001133975960e-12 
    3       1.369614546019e-10       6.370166584328e-15       4.369024220231e-13       0.000000000000e+00       5.330254553705e-09       3.382856338852e-10      -1.567552678490e-12 
    4       1.294920981150e-10       5.862505745080e-15       4.169122364110e-13       0.000000000000e+00       3.713795208880e-09       2.564505637484e-10      -1.075330863055e-12 
    5       1.238438371112e-10       4.173366888817e-15       3.618184057673e-13       0.000000000000e+00       2.772755601924e-09       2.027243883970e-10      -6.436286049829e-13 
    6       1.199249732203e-10       2.462630589817e-15       2.963833415809e-13       0.000000000000e+00       2.165273771336e-09       1.650244487872e-10      -3.088315471879e-13 
    7       1.173543843690e-10       1.337179534766e-15       2.355126323666e-13       0.000000000000e+00       1.747113534935e-09       1.373524940139e-10      -7.895501330874e-14 
    8       1.158233696694e-10       8.115143778308e-16       1.864097979161e-13       0.000000000000e+00       1.444835144984e-09       1.163613119041e-10       5.470800291943e-14 
    9       1.150710511664e-10       6.260876248868e-16       1.515049948123e-13       0.000000000000e+00       1.217467950531e-09       1.000314668817e-10       1.105311202723e-13 
   10       1.148763668026e-10       5.441140773552e-16       1.302938857684e-13       0.000000000000e+00       1.041240520439e-09       8.706222951772e-11       1.114846394552e-13 
   11       1.151466890548e-10       4.665922251707e-16       1.205355586990e-13       0.000000000000e+00       8.771126094202e-10       7.687518494887e-11       8.100363401449e-14 
   12       1.157558498435e-10       3.964150098211e-16       1.192358875533e-13       0.000000000000e+00       7.666284532343e-10       6.802342675189e-11       3.872457738086e-14 
   13       1.166295392334e-10       3.592140848425e-16       1.234247035373e-13       0.000000000000e+00       6.759062047655e-10       6.080719882160e-11      -4.510948345514e-16 
   14       1.176931387284e-10       3.592415032496e-16       1.306289570443e-13       0.000000000000e+00       6.004037933220e-10       5.450246325067e-11      -2.851213196659e-14 
   15       1.189527076047e-10       3.819887811584e-16       1.391512269856e-13       0.000000000000e+00       5.368343580559e-10       4.920700444359e-11      -4.213660251405e-14 
   16       1.203565980431e-10       4.146285657365e-16       1.479449189421e-13       0.000000000000e+00       4.827723993504e-10       4.466941613706e-11      -4.280877883622e-14 
   17       1.218809079567e-10       4.570217566648e-16       1.564902651226e-13       0.000000000000e+00       4.363855717800e-10       4.072207949296e-11      -3.460711337533e-14 
   18       1.234895160234e-10       5.177267680795e-16       1.648748373082e-13       0.000000000000e+00       3.961148884103e-10       3.723799881526e-11      -2.271936425299e-14 
   19       1.251938176178e-10       6.016564299033e-16       1.733607166835e-13       0.000000000000e+00       3.613251811535e-10       3.418623161916e-11      -1.096224031734e-14 
   20       1.269670101180e-10       7.109932876554e-16       1.822310275178e-13       0.000000000000e+00       3.306774880851e-10       3.149288774970e-11      -2.907526652591e-15 
   21       1.288180465988e-10       8.437707255876e-16       1.916365033031e-13       0.000000000000e+00       3.036923450952e-10       2.911241122859e-11       4.682053350098e-16 
   22       1.307340013009e-10       9.962656533991e-16       2.016124829240e-13       0.000000000000e+00       2.797262526005e-10       2.697036415221e-11      -5.551388201341e-16 
