# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504512828e-22       4.634894139599e-07       2.157545695283e+18       1.146085799085e+04       1.146085799085e-08       1.146085799085e+16       2.675958476577e-07       2.751560535470e+36       2.451390603497e+27       1.339408137477e+28       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.270295769850e+36       4.655003427235e+36       1.106258316912e+28       7.308046738036e+02       3.739961734463e-18       2.000000000000e+12 
       9.930486593832e+11       7.664693942729e-22       4.667344910558e-07       2.127654280342e+18       1.146085799084e+04       1.154108399678e-08       1.138118966320e+16       2.694690185907e-07       2.675846458098e+36       2.400623788821e+27       1.311669806183e+28       1.967513892084e+23       6.157249276515e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.235341324558e+36       4.526912736658e+36       1.083348377190e+28       7.246651594990e+02       5.217705690099e-08       1.433565615433e+02 
       9.861456399038e+11       7.772375227928e-22       4.700013960246e-07       2.098176991827e+18       1.146085799084e+04       1.162187158475e-08       1.130207513723e+16       2.713553017202e-07       2.602215788100e+36       2.350908324128e+27       1.284505918930e+28       1.926767871033e+23       5.987821621876e+35       1.995940540625e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.201348712939e+36       4.402346689032e+36       1.060912888445e+28       7.185974754810e+02       1.043541137972e-07       7.167828077353e+01 
       9.792906056641e+11       7.881569327501e-22       4.732919478556e-07       2.069108092281e+18       1.146085799084e+04       1.170322468584e-08       1.122351056329e+16       2.732547888315e-07       2.530611196822e+36       2.302222436599e+27       1.257904579329e+28       1.886865675400e+23       5.823056070209e+35       1.941018690070e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.168291468430e+36       4.281208297543e+36       1.038942025083e+28       7.126003202518e+02       1.565311706924e-07       4.778552051579e+01 
       9.724832231023e+11       7.992297494976e-22       4.766043275595e-07       2.040441923737e+18       1.146085799083e+04       1.178514725864e-08       1.114549211845e+16       2.751675723526e-07       2.460976933107e+36       2.254544804313e+27       1.231854137360e+28       1.847789830072e+23       5.662824335469e+35       1.887608111823e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.136143852743e+36       4.163403244144e+36       1.017426164995e+28       7.066724234343e+02       2.087082275866e-07       3.583914038672e+01 
       9.657231609754e+11       8.104581282474e-22       4.799403541256e-07       2.012172906614e+18       1.146085799083e+04       1.186764328945e-08       1.106801600641e+16       2.770937453582e-07       2.393258779891e+36       2.207854546914e+27       1.206343184266e+28       1.809523221833e+23       5.507001661624e+35       1.835667220541e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.104880835824e+36       4.048839806112e+36       9.963558853373e+27       7.008125449483e+02       2.608852844798e-07       2.867131230922e+01 
       9.590100903429e+11       8.218442544900e-22       4.833000275539e-07       1.984295538634e+18       1.146085799083e+04       1.195071679247e-08       1.099107845720e+16       2.790334015749e-07       2.327404011988e+36       2.162131216468e+27       1.181360547560e+28       1.772049091874e+23       5.355466725532e+35       1.785155575177e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.074478076367e+36       3.937428784642e+36       9.757219584099e+27       6.950194742089e+02       3.130623413720e-07       2.389276025752e+01 
       9.523436845510e+11       8.333903444200e-22       4.866833478445e-07       1.956804393748e+18       1.146085799082e+04       1.203437181002e-08       1.091467572711e+16       2.809866353850e-07       2.263361355042e+36       2.117354788503e+27       1.156895286129e+28       1.735351028449e+23       5.208101542468e+35       1.736033847489e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.044911902860e+36       3.829083435390e+36       9.555153476120e+27       6.892920293477e+02       3.652393982633e-07       2.047950879202e+01 
       9.457236192164e+11       8.450986453671e-22       4.900903149974e-07       1.929694121082e+18       1.146085799082e+04       1.211861241269e-08       1.083880409841e+16       2.829535418318e-07       2.201080945599e+36       2.073505653241e+27       1.132936685444e+28       1.699412959692e+23       5.064791374268e+35       1.688263791423e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       1.016159295152e+36       3.723719400938e+36       9.357272034852e+27       6.836290564540e+02       4.174164551536e-07       1.791957019288e+01 
       9.391495722109e+11       8.569714362340e-22       4.935209290124e-07       1.902959443895e+18       1.146085799082e+04       1.220344269957e-08       1.076345987926e+16       2.849342166236e-07       2.140514292287e+36       2.030564607012e+27       1.109474252869e+28       1.664219146571e+23       4.925424639994e+35       1.641808213331e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       9.881978665357e+35       3.621254645111e+36       9.163488598383e+27       6.780294288374e+02       4.695935120430e-07       1.592850683800e+01 
       9.326212236453e+11       8.690110279396e-22       4.969751898898e-07       1.876595158554e+18       1.146085799081e+04       1.228886679847e-08       1.068863940343e+16       2.869287561390e-07       2.081614238062e+36       1.988512843843e+27       1.086497713062e+28       1.629754176005e+23       4.789892829054e+35       1.596630943018e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       9.610058463124e+35       3.521609389107e+36       8.973718299516e+27       6.724920463104e+02       5.217705689316e-07       1.433565615409e+01 
       9.261382558542e+11       8.812197638687e-22       5.004549166188e-07       1.850596133514e+18       1.146085799081e+04       1.237488886605e-08       1.061433903021e+16       2.889372574309e-07       2.024334923488e+36       1.947331947220e+27       1.063997003478e+28       1.596002954106e+23       4.658090416718e+35       1.552696805573e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       9.345620628430e+35       3.424706049378e+36       8.787878028601e+27       6.670158344902e+02       5.739476258192e-07       1.303241468545e+01 
       9.197003533805e+11       8.936000203287e-22       5.039564712206e-07       1.824957308330e+18       1.146085799080e+04       1.246151308811e-08       1.054055514420e+16       2.909598182317e-07       1.968631751035e+36       1.907003882024e+27       1.041962269962e+28       1.562950699569e+23       4.529914781956e+35       1.509971593985e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       9.088459270636e+35       3.330469177226e+36       8.605886397139e+27       6.615997441199e+02       6.261246827059e-07       1.194638012824e+01 
       9.133072029597e+11       9.061542070113e-22       5.074853106635e-07       1.799673692661e+18       1.146085799080e+04       1.254874367973e-08       1.046728415511e+16       2.929965369582e-07       1.914461350350e+36       1.867510986633e+27       1.020383862431e+28       1.530582937206e+23       4.405266127540e+35       1.468422042513e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       8.838374164552e+35       3.238825400058e+36       8.427663702139e+27       6.562427504078e+02       6.783017395918e-07       1.102742781061e+01 
       9.069584935051e+11       9.188847674624e-22       5.110377969686e-07       1.774740365309e+18       1.146085799080e+04       1.263658488548e-08       1.039452249762e+16       2.950475127157e-07       1.861781544495e+36       1.828835965186e+27       9.992523306512e+27       1.498885491597e+23       4.284047402338e+35       1.428015800779e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       8.595170594536e+35       3.149703364256e+36       8.253131891210e+27       6.509438523849e+02       7.304787964769e-07       1.023975439549e+01 
       9.006539160923e+11       9.317941795570e-22       5.146139301360e-07       1.750152473251e+18       1.146085799079e+04       1.272504097968e-08       1.032226663120e+16       2.971128453034e-07       1.810551317104e+36       1.790961880009e+27       9.785584200956e+27       1.467844480889e+23       4.166164225753e+35       1.388721408584e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       2.168072647344e-08       8.358659202897e+35       3.063033679628e+36       8.082214528376e+27       6.457020722798e+02       7.826558533611e-07       9.557104102395e+00 
