# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.530281394509e-10       2.695695149613e-15       3.736226018448e-13       0.000000000000e+00       1.210849680218e-08       4.853336266933e-10      -1.525415018190e-12 
    3       1.428072064804e-10       4.031225120009e-15       4.297424515840e-13       0.000000000000e+00       7.541504976297e-09       3.528824218442e-10      -1.193410887126e-12 
    4       1.340062244754e-10       4.215086013487e-15       4.202908415850e-13       0.000000000000e+00       5.319830734675e-09       2.711526373554e-10      -8.391967174054e-13 
    5       1.276183579077e-10       3.553821283982e-15       3.818580063221e-13       0.000000000000e+00       4.015670618826e-09       2.165941513662e-10      -5.395898562544e-13 
    6       1.232031931692e-10       2.623373170922e-15       3.342006510083e-13       0.000000000000e+00       3.163694241277e-09       1.779803822763e-10      -3.107874805178e-13 
    7       1.201295413567e-10       1.854964974572e-15       2.900185973955e-13       0.000000000000e+00       2.569861573660e-09       1.493974227585e-10      -1.496956599639e-13 
    8       1.180489932661e-10       1.397544471178e-15       2.566551650377e-13       0.000000000000e+00       2.136655781133e-09       1.274382179272e-10      -4.583035317683e-14 
    9       1.166636067055e-10       1.196404392241e-15       2.362324302469e-13       0.000000000000e+00       1.809450972597e-09       1.100782399864e-10       1.113057904126e-14 
   10       1.158083361805e-10       1.135482659012e-15       2.273822993619e-13       0.000000000000e+00       1.556289946890e-09       9.614455030445e-11       3.124612278327e-14 
   11       1.153912032743e-10       1.136245174723e-15       2.276628782496e-13       0.000000000000e+00       1.280139000922e-09       8.405399134928e-11       2.488190746125e-14 
   12       1.152961076659e-10       1.180436725256e-15       2.346166327668e-13       0.000000000000e+00       1.121590034981e-09       7.458777709627e-11       3.344856275874e-15 
   13       1.153909668539e-10       1.283761525855e-15       2.459260618358e-13       0.000000000000e+00       9.912353590543e-10       6.649305764087e-11      -2.316163549563e-14 
   14       1.157048374111e-10       1.462344611704e-15       2.594526470067e-13       0.000000000000e+00       8.824114611538e-10       5.978596043325e-11      -4.740166867469e-14 
   15       1.161705881981e-10       1.716945973139e-15       2.735383196339e-13       0.000000000000e+00       7.905144206945e-10       5.397634413156e-11      -6.478514790805e-14 
   16       1.167304959855e-10       2.036469847876e-15       2.872219013276e-13       0.000000000000e+00       7.125368396474e-10       4.898140753787e-11      -7.345101792497e-14 
   17       1.174539421174e-10       2.408970295440e-15       2.998713846395e-13       0.000000000000e+00       6.453047119102e-10       4.460736533891e-11      -7.402143862892e-14 
   18       1.182280539080e-10       2.828387496367e-15       3.112185665256e-13       0.000000000000e+00       5.868787941484e-10       4.066483020350e-11      -6.860270588219e-14 
   19       1.190561514785e-10       3.294536258822e-15       3.213817010637e-13       0.000000000000e+00       5.364507737636e-10       3.717493055814e-11      -5.967335685533e-14 
   20       1.199406260516e-10       3.807641186483e-15       3.305928198990e-13       0.000000000000e+00       4.919273258956e-10       3.412964583136e-11      -5.028162752584e-14 
   21       1.208876768748e-10       4.365694433918e-15       3.390357387726e-13       0.000000000000e+00       4.526306173354e-10       3.147001138333e-11      -4.223292377359e-14 
   22       1.218714752830e-10       4.965273865366e-15       3.468578597590e-13       0.000000000000e+00       4.176996459598e-10       2.907725657214e-11      -3.686166594564e-14 
   23       1.228969247290e-10       5.603407018607e-15       3.540996210295e-13       0.000000000000e+00       3.866739975796e-10       2.692179590929e-11      -3.439098535425e-14 
   24       1.239556906159e-10       6.277270683715e-15       3.607151690819e-13       0.000000000000e+00       3.588348890360e-10       2.497801036045e-11      -3.446797510103e-14 
   25       1.250498148808e-10       6.986177092325e-15       3.665491908910e-13       0.000000000000e+00       3.338460948371e-10       2.323579499292e-11      -3.639551602368e-14 
   26       1.261677087907e-10       7.730095871768e-15       3.713649421122e-13       0.000000000000e+00       3.112482568655e-10       2.167069970100e-11      -3.915485621045e-14 
   27       1.273059533607e-10       8.508286432719e-15       3.749333532285e-13       0.000000000000e+00       2.907910320465e-10       2.025436783770e-11      -4.164200425846e-14 
   28       1.284540511667e-10       9.319950118155e-15       3.770258426942e-13       0.000000000000e+00       2.721498798737e-10       1.894901646690e-11      -4.276869718463e-14 
   29       1.296218273365e-10       1.016497606346e-14       3.775824831492e-13       0.000000000000e+00       2.552322239072e-10       1.775040785713e-11      -4.240902656138e-14 
   30       1.308129973842e-10       1.104368485731e-14       3.765939837872e-13       0.000000000000e+00       2.398496266856e-10       1.665475294226e-11      -4.080089894340e-14 
   31       1.320198536788e-10       1.195659979540e-14       3.740646937218e-13       0.000000000000e+00       2.256823973542e-10       1.564950380136e-11      -3.829365829083e-14 
   32       1.332457816966e-10       1.290396937861e-14       3.700561489142e-13       0.000000000000e+00       2.126629303071e-10       1.473106540037e-11      -3.532297455931e-14 
   33       1.344882968123e-10       1.388611594869e-14       3.646598884684e-13       0.000000000000e+00       2.007096440143e-10       1.389189060015e-11      -3.244327182946e-14 
   34       1.357378759869e-10       1.490337954876e-14       3.579697679988e-13       0.000000000000e+00       1.896658133326e-10       1.311887030261e-11      -3.020847346275e-14 
   35       1.369994699737e-10       1.595540372296e-14       3.500237521632e-13       0.000000000000e+00       1.794757960500e-10       1.240695571086e-11      -2.870181906157e-14 
   36       1.382767143994e-10       1.704161782376e-14       3.408402118661e-13       0.000000000000e+00       1.700553222190e-10       1.174919700716e-11      -2.784077306469e-14 
