# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.530287583208e-10       2.696148027351e-15       3.736225878471e-13       4.528784649597e-19       1.210849680218e-08       4.853336266933e-10      -1.525415018190e-12 
    3       1.428084410632e-10       4.032130928031e-15       4.297423894142e-13       9.058152623568e-19       7.541504976297e-09       3.528824218442e-10      -1.193410887126e-12 
    4       1.340082751833e-10       4.216595800150e-15       4.202906637544e-13       1.509822650540e-18       5.319830734675e-09       2.711526373554e-10      -8.391967174054e-13 
    5       1.276214211792e-10       3.556086139785e-15       3.818576034947e-13       2.264980823574e-18       4.015670618826e-09       2.165941513662e-10      -5.395898562544e-13 
    6       1.232074606715e-10       2.626544215729e-15       3.341998642927e-13       3.171391756596e-18       3.163694241277e-09       1.779803822763e-10      -3.107874805178e-13 
    7       1.201351993087e-10       1.859193330415e-15       2.900172122969e-13       4.229179907721e-18       2.569861573660e-09       1.493974227585e-10      -1.496956599639e-13 
    8       1.180562218960e-10       1.402981218809e-15       2.566529072624e-13       5.438492643575e-18       2.136655781133e-09       1.274382179272e-10      -4.583035317683e-14 
    9       1.166725798537e-10       1.203200510161e-15       2.362289634754e-13       6.799500205146e-18       1.809450972597e-09       1.100782399864e-10       1.113057904126e-14 
   10       1.158192210518e-10       1.143788944279e-15       2.273772250285e-13       8.312395033616e-18       1.556289946890e-09       9.614455030445e-11       3.124612278327e-14 
   11       1.154041603392e-10       1.146212145464e-15       2.276557372952e-13       9.977390290894e-18       1.280139000922e-09       8.405399134928e-11       2.488190746125e-14 
   12       1.153112907064e-10       1.192214505443e-15       2.346069092537e-13       1.179471743652e-17       1.121590034981e-09       7.458777709627e-11       3.344856275874e-15 
   13       1.154085231436e-10       1.297499713518e-15       2.459131882508e-13       1.376462276037e-17       9.912353590543e-10       6.649305764087e-11      -2.316163549563e-14 
   14       1.157249080152e-10       1.478192132384e-15       2.594360110135e-13       1.588736281746e-17       8.824114611538e-10       5.978596043325e-11      -4.740166867469e-14 
   15       1.161933083760e-10       1.735050920922e-15       2.735172719921e-13       1.816319876563e-17       7.905144206945e-10       5.397634413156e-11      -6.478514790805e-14 
   16       1.167559956750e-10       2.056979316862e-15       2.871957646553e-13       2.059238966529e-17       7.125368396474e-10       4.898140753787e-11      -7.345101792497e-14 
   17       1.174823464772e-10       2.432030204893e-15       2.998394626756e-13       2.317518486122e-17       6.453047119102e-10       4.460736533891e-11      -7.402143862892e-14 
   18       1.182594839056e-10       2.854142411643e-15       3.111801537067e-13       2.591181620715e-17       5.868787941484e-10       4.066483020350e-11      -6.860270588219e-14 
   19       1.190907244349e-10       3.323129220816e-15       3.213360910685e-13       2.880248629793e-17       5.364507737636e-10       3.717493055814e-11      -5.967335685533e-14 
   20       1.199784562897e-10       3.839213529400e-15       3.305393154976e-13       3.184736550835e-17       4.919273258956e-10       3.412964583136e-11      -5.028162752584e-14 
   21       1.209288761719e-10       4.400385634878e-15       3.389736584215e-13       3.504657564825e-17       4.526306173354e-10       3.147001138333e-11      -4.223292377359e-14 
   22       1.219161534404e-10       5.003221380424e-15       3.467865457263e-13       3.840018770519e-17       4.176996459598e-10       2.907725657214e-11      -3.686166594564e-14 
   23       1.229451898855e-10       5.644746162780e-15       3.540184436254e-13       4.190820897634e-17       3.866739975796e-10       2.692179590929e-11      -3.439098535425e-14 
   24       1.240076496798e-10       6.322134497172e-15       3.606235324318e-13       4.557058067324e-17       3.588348890360e-10       2.497801036045e-11      -3.446797510103e-14 
