# Matter power spectrum P(k) at redshift z=0
# for k=1.28883e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.288825736752e-05       2.525355342015e+01 
       2.786639919851e-05       5.324190578977e+01 
       4.291836882967e-05       8.084894351225e+01 
       5.809898095641e-05       1.083644519237e+02 
       7.346430397019e-05       1.359710955379e+02 
       8.907233500351e-05       1.638164498127e+02 
       1.049837042592e-04       1.920342150952e+02 
       1.212624209001e-04       2.207534254289e+02 
       1.379766728229e-04       2.501035742320e+02 
       1.551996925994e-04       2.802180719594e+02 
       1.730107015777e-04       3.112368187219e+02 
       1.914959433551e-04       3.433089236934e+02 
       2.107498162198e-04       3.765946772120e+02 
       2.308761112456e-04       4.112678679474e+02 
       2.519893578463e-04       4.475180641946e+02 
       2.742162708972e-04       4.855529538775e+02 
       2.976972818601e-04       5.256007340271e+02 
       3.225881193253e-04       5.682032407230e+02 
       3.490613803707e-04       6.130656611335e+02 
       3.773080014979e-04       6.607683421695e+02 
       4.075384953055e-04       7.121800649680e+02 
       4.399837662502e-04       7.668263409094e+02 
       4.748952577799e-04       8.252112435053e+02 
       5.125441196417e-04       8.879528417250e+02 
       5.532190300351e-04       9.557481912733e+02 
       5.972222819956e-04       1.028903911479e+03 
       6.448637745583e-04       1.107712656534e+03 
       6.964526693811e-04       1.192653925657e+03 
       7.522867110104e-04       1.283964137412e+03 
       8.126395721175e-04       1.382819335201e+03 
       8.777470418756e-04       1.488598363631e+03 
       9.477933391292e-04       1.601839095572e+03 
       1.022899165223e-03       1.722606861574e+03 
       1.103113164896e-03       1.850749046125e+03 
       1.188408141134e-03       1.986322320649e+03 
       1.278682692000e-03       2.129134776331e+03 
       1.373768062020e-03       2.278432337593e+03 
       1.473439171294e-03       2.433849026860e+03 
       1.477104874446e-03       2.439506575059e+03 
       1.577428230821e-03       2.594826616543e+03 
       1.685439190890e-03       2.760790211928e+03 
       1.797161475491e-03       2.931204659252e+03 
       1.912281897724e-03       3.105373890360e+03 
       2.030494164837e-03       3.282722526325e+03 
       2.151505835348e-03       3.462727976740e+03 
       2.275042914988e-03       3.644952339099e+03 
       2.400852461171e-03       3.828875944675e+03 
       2.528703631620e-03       4.014009222797e+03 
       2.658387599459e-03       4.200048869080e+03 
       2.789716700372e-03       4.386701094629e+03 
       2.922523104312e-03       4.573590999546e+03 
       3.056657231591e-03       4.760474139119e+03 
       3.191986069696e-03       4.947138592518e+03 
       3.328391496086e-03       5.133420083338e+03 
       3.465768673373e-03       5.319069984519e+03 
       3.604024555187e-03       5.503954058905e+03 
       3.743076521495e-03       5.687965174539e+03 
       3.882851149143e-03       5.870955047265e+03 
