# Matter power spectrum P(k) at redshift z=3
# for k=1.28883e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.288825736752e-05       2.176058573271e+00 
       2.786639919851e-05       4.587800504061e+00 
       4.291836882967e-05       6.966750275433e+00 
       5.809898095641e-05       9.337913753239e+00 
       7.346430397019e-05       1.171706877242e+01 
       8.907233500351e-05       1.411697328629e+01 
       1.049837042592e-04       1.654919470482e+01 
       1.212624209001e-04       1.902490491395e+01 
       1.379766728229e-04       2.155532365108e+01 
       1.551996925994e-04       2.415201837659e+01 
       1.730107015777e-04       2.682714034423e+01 
       1.914959433551e-04       2.959363249592e+01 
       2.107498162198e-04       3.246542693077e+01 
       2.308761112456e-04       3.545764130780e+01 
       2.519893578463e-04       3.858677887687e+01 
       2.742162708972e-04       4.187093357915e+01 
       2.976972818601e-04       4.532999872364e+01 
       3.225881193253e-04       4.898587450623e+01 
       3.490613803707e-04       5.286266566345e+01 
       3.773080014979e-04       5.698685552230e+01 
       4.075384953055e-04       6.138743641411e+01 
       4.399837662502e-04       6.609596885687e+01 
       4.748952577799e-04       7.114653342790e+01 
       5.125441196417e-04       7.657553078911e+01 
       5.532190300351e-04       8.242127870041e+01 
       5.972222819956e-04       8.872335297354e+01 
       6.448637745583e-04       9.552162617848e+01 
       6.964526693811e-04       1.028549780675e+02 
       7.522867110104e-04       1.107596888253e+02 
       8.126395721175e-04       1.192675808587e+02 
       8.777470418756e-04       1.284040412996e+02 
       9.477933391292e-04       1.381861221060e+02 
       1.022899165223e-03       1.486209572091e+02 
       1.103113164896e-03       1.597047352595e+02 
       1.188408141134e-03       1.714224097325e+02 
       1.278682692000e-03       1.837482209234e+02 
       1.373768062020e-03       1.966469721194e+02 
       1.473439171294e-03       2.100758819680e+02 
       1.477104874446e-03       2.105679825569e+02 
       1.577428230821e-03       2.239867599110e+02 
       1.685439190890e-03       2.383282371308e+02 
       1.797161475491e-03       2.530478256499e+02 
       1.912281897724e-03       2.680936515522e+02 
       2.030494164837e-03       2.834157893353e+02 
       2.151505835348e-03       2.989671934358e+02 
       2.275042914988e-03       3.147042700919e+02 
       2.400852461171e-03       3.305860904994e+02 
       2.528703631620e-03       3.465766833026e+02 
       2.658387599459e-03       3.626445312345e+02 
       2.789716700372e-03       3.787607605856e+02 
       2.922523104312e-03       3.948997657449e+02 
       3.056657231591e-03       4.110389373573e+02 
       3.191986069696e-03       4.271583824349e+02 
