# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504523921e-22       4.634894139599e-07       2.157545692117e+18       1.531242112492e+04       1.531242112492e-08       1.531242112492e+16       2.675958480505e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+25       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.270295769850e+36       4.655003413572e+36       1.078266114214e+28       7.123127607947e+02       8.493713776637e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693953977e-22       4.667344910558e-07       2.127654277198e+18       1.531242112492e+04       1.541960807279e-08       1.520597927003e+16       2.694690189862e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+25       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.235341324558e+36       4.526912723278e+36       1.055935876057e+28       7.063285976847e+02       1.184977329956e-07       1.433565615448e+02 
       9.861456399039e+11       7.772375239335e-22       4.700013960246e-07       2.098176988705e+18       1.531242112491e+04       1.552754532930e-08       1.510027732872e+16       2.713553021184e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+25       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.201348712939e+36       4.402346675930e+36       1.034068083607e+28       7.004144473034e+02       2.369954659816e-07       7.167828077461e+01 
       9.792906056642e+11       7.881569339071e-22       4.732919478556e-07       2.069108089181e+18       1.531242112491e+04       1.563623814660e-08       1.499531015761e+16       2.732547892326e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+25       1.886865675401e+23       5.823056070212e+35       1.941018690071e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.168291468430e+36       4.281208284714e+36       1.012653159895e+28       6.945690410855e+02       3.554931989665e-07       4.778552051675e+01 
       9.724832231025e+11       7.992297506712e-22       4.766043275595e-07       2.040441920658e+18       1.531242112491e+04       1.574569181362e-08       1.489107264907e+16       2.751675727565e-07       2.460976933108e+36       2.254544804314e+27       1.023304649743e+25       1.847789830072e+23       5.662824335472e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.136143852743e+36       4.163403231580e+36       9.916817262820e+27       6.887911407989e+02       4.739909319502e-07       3.583914038761e+01 
       9.657231609756e+11       8.104581294379e-22       4.799403541256e-07       2.012172903557e+18       1.531242112490e+04       1.585591165632e-08       1.478755973095e+16       2.770937457651e-07       2.393258779892e+36       2.207854546916e+27       1.002112630227e+25       1.809523221834e+23       5.507001661628e+35       1.835667220543e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.104880835825e+36       4.048839793810e+36       9.711445983578e+27       6.830795377415e+02       5.924886649328e-07       2.867131231006e+01 
       9.590100903431e+11       8.218442556979e-22       4.833000275539e-07       1.984295535598e+18       1.531242112490e+04       1.596690303791e-08       1.468476636638e+16       2.790334019847e-07       2.327404011990e+36       2.162131216470e+27       9.813594845995e+24       1.772049091875e+23       5.355466725536e+35       1.785155575179e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.074478076368e+36       3.937428772595e+36       9.510327819143e+27       6.774330519609e+02       7.109863979143e-07       2.389276025834e+01 
       9.523436845512e+11       8.333903456455e-22       4.866833478445e-07       1.956804390733e+18       1.531242112490e+04       1.607867135917e-08       1.458268755350e+16       2.809866357978e-07       2.263361355044e+36       2.117354788504e+27       9.610361240487e+24       1.735351028450e+23       5.208101542473e+35       1.736033847491e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.044911902861e+36       3.829083423593e+36       9.313374690083e+27       6.718505314938e+02       8.294841308948e-07       2.047950879281e+01 
       9.457236192167e+11       8.450986466107e-22       4.900903149974e-07       1.929694118088e+18       1.531242112489e+04       1.619122205868e-08       1.448131832522e+16       2.829535422476e-07       2.201080945601e+36       2.073505653242e+27       9.411336479858e+24       1.699412959693e+23       5.064791374274e+35       1.688263791425e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       1.016159295153e+36       3.723719389385e+36       9.120500341039e+27       6.663308516275e+02       9.479818638742e-07       1.791957019365e+01 
       9.391495722112e+11       8.569714374960e-22       4.935209290124e-07       1.902959440923e+18       1.531242112489e+04       1.630456061309e-08       1.438065374897e+16       2.849342170425e-07       2.140514292290e+36       2.030564607014e+27       9.216433401480e+24       1.664219146573e+23       4.925424640001e+35       1.641808213334e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       9.881978665370e+35       3.621254633798e+36       8.931620302945e+27       6.608729141810e+02       1.066479596853e-06       1.592850683875e+01 
       9.326212236456e+11       8.690110292203e-22       4.969751898898e-07       1.876595155602e+18       1.531242112489e+04       1.641869253738e-08       1.428068892648e+16       2.869287565610e-07       2.081614238065e+36       1.988512843845e+27       9.025566647808e+24       1.629754176007e+23       4.789892829061e+35       1.596630943020e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       9.610058463138e+35       3.521609378029e+36       8.746651856043e+27       6.554756468053e+02       1.184977329830e-06       1.433565615483e+01 
       9.261382558546e+11       8.812197651687e-22       5.004549166188e-07       1.850596130583e+18       1.531242112488e+04       1.653362338514e-08       1.418141899353e+16       2.889372578560e-07       2.024334923492e+36       1.947331947222e+27       8.838652629004e+24       1.596002954107e+23       4.658090416725e+35       1.552696805575e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       9.345620628445e+35       3.424706038530e+36       8.565513993647e+27       6.501380023032e+02       1.303475062806e-06       1.303241468617e+01 
       9.197003533809e+11       8.936000216482e-22       5.039564712206e-07       1.824957305419e+18       1.531242112488e+04       1.664935874883e-08       1.408283911968e+16       2.909598186601e-07       1.968631751038e+36       1.907003882026e+27       8.655609486321e+24       1.562950699571e+23       4.529914781964e+35       1.509971593988e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       9.088459270653e+35       3.330469166604e+36       8.388127386672e+27       6.448589579677e+02       1.421972795782e-06       1.194638012895e+01 
       9.133072029601e+11       9.061542083509e-22       5.074853106635e-07       1.799673689771e+18       1.531242112488e+04       1.676590426007e-08       1.398494450812e+16       2.929965373898e-07       1.914461350353e+36       1.867510986635e+27       8.476357056261e+24       1.530582937208e+23       4.405266127549e+35       1.468422042516e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       8.838374164569e+35       3.238825389655e+36       8.214414348891e+27       6.396375149379e+02       1.540470528756e-06       1.102742781130e+01 
       9.069584935055e+11       9.188847688225e-22       5.110377969686e-07       1.774740362439e+18       1.531242112487e+04       1.688326558988e-08       1.388773039535e+16       2.950475131506e-07       1.861781544499e+36       1.828835965189e+27       8.300816835461e+24       1.498885491599e+23       4.284047402347e+35       1.428015800782e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       8.595170594554e+35       3.149703354070e+36       8.044298802910e+27       6.344726975730e+02       1.658968261730e-06       1.023975439618e+01 
       9.006539160928e+11       9.317941809379e-22       5.146139301360e-07       1.750152470402e+18       1.531242112487e+04       1.700144844901e-08       1.379119205099e+16       2.971128457416e-07       1.810551317108e+36       1.790961880012e+27       8.128911946314e+24       1.467844480891e+23       4.166164225762e+35       1.388721408587e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       8.358659202916e+35       3.063033669653e+36       7.877706246854e+27       6.293635528425e+02       1.777465994702e-06       9.557104103068e+00 
       8.943931639452e+11       9.448849573841e-22       5.182173481444e-07       1.725905227874e+18       1.531242112486e+04       1.712045858815e-08       1.369532477754e+16       2.991926356608e-07       1.760730780456e+36       1.753872144200e+27       7.960567103305e+24       1.437446310714e+23       4.051524814248e+35       1.350508271416e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       8.128655842475e+35       2.978748855604e+36       7.714563721734e+27       6.243091497340e+02       1.895963727674e-06       8.959785096599e+00 
       8.881759324182e+11       9.581596461484e-22       5.218444130151e-07       1.701993915376e+18       1.531242112486e+04       1.724030179826e-08       1.360012391017e+16       3.012869841094e-07       1.712281144395e+36       1.717550514353e+27       7.795708580034e+24       1.407677668231e+23       3.940039909843e+35       1.313346636614e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       7.904981433188e+35       2.896783287978e+36       7.554799779500e+27       6.193085786764e+02       2.014461460645e-06       8.432738914421e+00 
       8.820019189853e+11       9.716208310149e-22       5.254969437374e-07       1.678413878812e+18       1.531242112486e+04       1.736098391085e-08       1.350558481645e+16       3.033959929971e-07       1.665164686161e+36       1.681981083461e+27       7.634264176931e+24       1.378525516303e+23       3.831622710680e+35       1.277207570227e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       7.687461822720e+35       2.817073148589e+36       7.398344451745e+27       6.143609509787e+02       2.132959193615e-06       7.964253419153e+00 
       8.758708232227e+11       9.852711320676e-22       5.291749403113e-07       1.655160528565e+18       1.531242112485e+04       1.748251079822e-08       1.341170289617e+16       3.055197649470e-07       1.619344720995e+36       1.647148273940e+27       7.476163189635e+24       1.349977087785e+23       3.726188803399e+35       1.242062934466e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       7.475927650843e+35       2.739556375319e+36       7.245129219070e+27       6.094653982847e+02       2.251456926584e-06       7.545082186546e+00 
       8.697823467951e+11       9.991132061995e-22       5.328802217264e-07       1.632229338606e+18       1.531242112485e+04       1.760488837380e-08       1.331847358110e+16       3.076584033005e-07       1.574785573589e+36       1.613036830807e+27       7.321336378029e+24       1.322019879931e+23       3.623656097421e+35       1.207885365807e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       7.270214217580e+35       2.664172613805e+36       7.095086981065e+27       6.046210720418e+02       2.369954659552e-06       7.167828077200e+00 
       8.637361934409e+11       1.013149747631e-21       5.366109689930e-07       1.609615845609e+18       1.531242112485e+04       1.772812259242e-08       1.322589233475e+16       3.098120121224e-07       1.531452550301e+36       1.579631815002e+27       7.169715935919e+24       1.294641648919e+23       3.523944761039e+35       1.174648253680e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       7.070161354965e+35       2.590863170436e+36       6.948152026934e+27       5.998271429846e+02       2.488452392520e-06       6.826502930649e+00 
       8.577320689582e+11       1.027383488433e-21       5.403671821114e-07       1.587315648088e+18       1.531242112484e+04       1.785221945056e-08       1.313395465219e+16       3.119806962061e-07       1.489311912147e+36       1.546918596841e+27       7.021235461334e+24       1.267830404490e+23       3.426977159253e+35       1.142325719751e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       6.875613302338e+35       2.519570966664e+36       6.804260006710e+27       5.950828006323e+02       2.606950125487e-06       6.516207342877e+00 
       8.517696811898e+11       1.041817199059e-21       5.441488610813e-07       1.565324405533e+18       1.531242112484e+04       1.797718498671e-08       1.304265605976e+16       3.141645610783e-07       1.448330848531e+36       1.514882849615e+27       6.875829927447e+24       1.241574404693e+23       3.332677793332e+35       1.110892597777e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       6.686418585070e+35       2.450240494556e+36       6.663347903075e+27       5.903872528002e+02       2.725447858453e-06       6.232893980129e+00 
       8.458487400097e+11       1.056453688885e-21       5.479578248924e-07       1.543637837571e+18       1.531242112484e+04       1.810302528161e-08       1.295199211496e+16       3.163637130046e-07       1.408477451699e+36       1.483510543312e+27       6.733435654101e+24       1.215862150751e+23       3.240973242025e+35       1.080324414008e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.506368134765e-08       6.502429896628e+35       2.382817773580e+36       6.525354003760e+27       5.857397251235e+02       2.843945591418e-06       5.973190064277e+00 
