# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.823306894377e-10       6.072333393178e-15       6.019423350103e-13       0.000000000000e+00       1.119107531890e-08       1.080881559072e-09      -1.929326105275e-12 
    3       2.363253680836e-10       8.091379910742e-15       6.691257027385e-13       0.000000000000e+00       6.780959335414e-09       7.260461656200e-10      -1.427114062227e-12 
    4       2.040704786783e-10       7.305274933996e-15       6.011119240668e-13       0.000000000000e+00       4.650853223090e-09       5.280214150676e-10      -9.489192146684e-13 
    5       1.819007027197e-10       5.078582484156e-15       4.791887742474e-13       0.000000000000e+00       3.427592770279e-09       4.035646708192e-10      -5.691929347943e-13 
    6       1.663562299830e-10       2.899123172704e-15       3.558544231582e-13       0.000000000000e+00       2.645200819507e-09       3.189259244126e-10      -2.799477781529e-13 
    7       1.552522727138e-10       1.494543846889e-15       2.561785704369e-13       0.000000000000e+00       2.109349850112e-09       2.582461159990e-10      -7.560612672261e-14 
    8       1.472245749432e-10       8.475469188001e-16       1.850327848613e-13       0.000000000000e+00       1.723597894138e-09       2.130782265287e-10       4.625881635175e-14 
    9       1.414070159005e-10       6.228866825327e-16       1.393874147040e-13       0.000000000000e+00       1.435201026602e-09       1.785278240370e-10       9.603657287424e-14 
   10       1.372260320712e-10       5.315586101791e-16       1.145847392743e-13       0.000000000000e+00       1.213315508208e-09       1.515335074198e-10       9.270480180658e-14 
   11       1.343031608788e-10       4.551558598191e-16       1.053120211532e-13       0.000000000000e+00       1.023436013096e-09       1.302443105870e-10       5.903340650120e-14 
