# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.823311252155e-10       6.072521249216e-15       6.019423316146e-13       1.878557135453e-19       1.119107531890e-08       1.080881559072e-09      -1.929326105275e-12 
    3       2.363262392748e-10       8.091755575990e-15       6.691256875932e-13       3.756620412149e-19       6.780959335414e-09       7.260461656200e-10      -1.427114062227e-12 
    4       2.040719298262e-10       7.305900950686e-15       6.011118805014e-13       6.260008925099e-19       4.650853223090e-09       5.280214150676e-10      -9.489192146684e-13 
    5       1.819028778076e-10       5.079521364570e-15       4.791886748676e-13       9.388261603401e-19       3.427592770279e-09       4.035646708192e-10      -5.691929347943e-13 
    6       1.663592722336e-10       2.900437417424e-15       3.558542274334e-13       1.314096231712e-18       2.645200819507e-09       3.189259244126e-10      -2.799477781529e-13 
    7       1.552563243552e-10       1.496295977191e-15       2.561782224514e-13       1.751783315457e-18       2.109349850112e-09       2.582461159990e-10      -7.560612672261e-14 
    8       1.472297769373e-10       8.497995232684e-16       1.850322112548e-13       2.251883368635e-18       1.723597894138e-09       2.130782265287e-10       4.625881635175e-14 
    9       1.414135076369e-10       6.257024767470e-16       1.393865228201e-13       2.814426035265e-18       1.435201026602e-09       1.785278240370e-10       9.603657287424e-14 
   10       1.372339510280e-10       5.350005071289e-16       1.145834155301e-13       3.439483993638e-18       1.213315508208e-09       1.515335074198e-10       9.270480180658e-14 
   11       1.343126422558e-10       4.592870476000e-16       1.053101296392e-13       4.127181121125e-18       1.023436013096e-09       1.302443105870e-10       5.903340650120e-14 
   12       1.322872017127e-10       3.964282131380e-16       1.060503568923e-13       4.877698927866e-18       8.858382877879e-10       1.125921491150e-10       1.499476410721e-14 
   13       1.309607400591e-10       3.662120625259e-16       1.120474171489e-13       5.691280781390e-18       7.732360609849e-10       9.803272139490e-11      -2.431997681334e-14 
   14       1.302541755764e-10       3.646844783135e-16       1.198574649551e-13       6.568233540136e-18       6.806292638179e-10       8.591165641798e-11      -5.027687966952e-14 
   15       1.300529607190e-10       3.723232569365e-16       1.274064132454e-13       7.508926330908e-18       6.028331512608e-10       7.594282757677e-11      -6.048117043088e-14 
   16       1.301909493443e-10       3.777292380715e-16       1.338159335613e-13       8.513786338283e-18       5.372354874824e-10       6.718528409333e-11      -5.746714798287e-14 
   17       1.306471126260e-10       3.862724127343e-16       1.392383287377e-13       9.583291617028e-18       4.813288660751e-10       5.976981080453e-11      -4.575534036916e-14 
   18       1.313841386196e-10       4.117142293102e-16       1.443393598809e-13       1.071796269565e-17       4.331762467967e-10       5.344285006708e-11      -3.114632800987e-14 
   19       1.323884932528e-10       4.603399686303e-16       1.498201153560e-13       1.191834199789e-17       3.919217780474e-10       4.801008802321e-11      -1.767328117506e-14 
   20       1.335783496880e-10       5.342974667665e-16       1.563844379584e-13       1.318499657147e-17       3.558161737512e-10       4.322752702197e-11      -8.855716410765e-15 
   21       1.349350538290e-10       6.307787295140e-16       1.642519530064e-13       1.451847967291e-17       3.242201925454e-10       3.903598738503e-11      -5.401106695156e-15 
   22       1.364212212848e-10       7.446325684693e-16       1.733506588509e-13       1.591933552700e-17       2.963321194727e-10       3.536685321549e-11      -6.602579056915e-15 
   23       1.380460595763e-10       8.746731552726e-16       1.832385307580e-13       1.738806114892e-17       2.717444472764e-10       3.215996244755e-11      -1.080087950525e-14 
   24       1.398025690925e-10       1.020472358786e-15       1.932511588239e-13       1.892511095399e-17       2.498647647169e-10       2.931689367460e-11      -1.572116153844e-14 
   25       1.416719823456e-10       1.180556256907e-15       2.028476518490e-13       2.053086111943e-17       2.304001810819e-10       2.679399302130e-11      -1.977213014326e-14 
   26       1.436158655516e-10       1.353293002397e-15       2.115071947118e-13       2.220561421650e-17       2.129550915118e-10       2.454022411958e-11      -2.162895165351e-14 
   27       1.456413898613e-10       1.539681740936e-15       2.189679301234e-13       2.394957348949e-17       1.972931905323e-10       2.252957023183e-11      -2.115118375977e-14 
   28       1.477561105382e-10       1.741801229347e-15       2.250933710737e-13       2.576284684895e-17       1.831198367687e-10       2.072853473221e-11      -1.872841540201e-14 
   29       1.499625534691e-10       1.962041397026e-15       2.299772433368e-13       2.764544130495e-17       1.703482613433e-10       1.912021223800e-11      -1.512285088989e-14 
   30       1.522444488718e-10       2.203235055955e-15       2.338450946157e-13       2.959725392726e-17       1.588269012471e-10       1.767454560790e-11      -1.142553266859e-14 
   31       1.545730382910e-10       2.468162698981e-15       2.369551880239e-13       3.161807846782e-17       1.483023312840e-10       1.634941535862e-11      -8.770596916598e-15 
   32       1.569527122972e-10       2.757576290093e-15       2.393851427551e-13       3.370765244740e-17       1.387092295235e-10       1.514096482593e-11      -7.365920131516e-15 
   33       1.593894771379e-10       3.071411013207e-15       2.411687315782e-13       3.586561393271e-17       1.299689149712e-10       1.404979575314e-11      -7.098965167237e-15 
   34       1.618807402776e-10       3.409495142879e-15       2.423096812227e-13       3.809151194269e-17       1.219459264606e-10       1.306868869682e-11      -7.751961765196e-15 
   35       1.644258218748e-10       3.772339607640e-15       2.426365418151e-13       4.038491196755e-17       1.145916342266e-10       1.218867771407e-11      -8.903953094348e-15 
   36       1.670170807290e-10       4.160606394441e-15       2.418926419586e-13       4.274531814177e-17       1.078395880765e-10       1.139360624428e-11      -9.979309986014e-15 
   37       1.696421788744e-10       4.574945022143e-15       2.398210037748e-13       4.517219747202e-17       1.015930593829e-10       1.066341685241e-11      -1.041674772667e-14 
   38       1.723051930640e-10       5.016162262338e-15       2.363370100174e-13       4.766517430688e-17       9.583122053398e-11       9.993785097497e-12      -1.019376839422e-14 
   39       1.750111648779e-10       5.485104589418e-15       2.314113935885e-13       5.022389757680e-17       9.053152322294e-11       9.382104138566e-12      -9.473615394445e-15 
   40       1.777596919990e-10       5.982611669088e-15       2.250248606775e-13       5.284798895386e-17       8.563752844950e-11       8.821790379565e-12      -8.469219681450e-15 
   41       1.805468146727e-10       6.509471504746e-15       2.171753488402e-13       5.553710973201e-17       8.107755873017e-11       8.304440813654e-12      -7.411861405732e-15 
   42       1.833728371518e-10       7.066270389952e-15       2.079010242482e-13       5.829118713786e-17       7.683498734486e-11       7.827971857541e-12      -6.436700728183e-15 
   43       1.862360557141e-10       7.653492658099e-15       1.972659041454e-13       6.111026205192e-17       7.289590843996e-11       7.390554326844e-12      -5.665714069383e-15 
   44       1.891300857379e-10       8.271556641025e-15       1.853550237570e-13       6.399443341067e-17       6.922812055287e-11       6.988175670715e-12      -5.240218657813e-15 
   45       1.920474042131e-10       8.920871746269e-15       1.722418130217e-13       6.694388913438e-17       6.579197100492e-11       6.615869846375e-12      -5.274272215804e-15 
   46       1.949922344436e-10       9.602039195058e-15       1.578759604609e-13       6.995899853493e-17       6.258015002407e-11       6.272246391569e-12      -5.695906863255e-15 
   47       1.979707956709e-10       1.031570468647e-14       1.421639277781e-13       7.304025576436e-17       5.958734292559e-11       5.956025911268e-12      -6.360128105724e-15 
   48       2.009874844912e-10       1.106250227851e-14       1.249989780296e-13       7.618826230002e-17       5.679826382747e-11       5.664670379134e-12      -7.090694531753e-15 
   49       2.040446812572e-10       1.184305401284e-14       1.062603509787e-13       7.940373328534e-17       5.418692252616e-11       5.394293603542e-12      -7.678374610263e-15 
   50       2.071427545641e-10       1.265789170835e-14       8.583750392594e-14       8.268745101387e-17       5.172412028948e-11       5.140704594303e-12      -7.938446263885e-15 
   51       2.102805252930e-10       1.350719818636e-14       6.371250444218e-14       8.604009578558e-17       4.940403673753e-11       4.903079258993e-12      -7.905639682450e-15 
   52       2.134545938802e-10       1.439099515531e-14       3.989857676048e-14       8.946238009889e-17       4.722359241976e-11       4.681130582126e-12      -7.689096300021e-15 
   53       2.166589733360e-10       1.530921096059e-14       1.441733746671e-14       9.295510125662e-17       4.517451296776e-11       4.474027469868e-12      -7.418770738997e-15 
   54       2.198849049678e-10       1.626167654669e-14      -1.270084959455e-14       9.651914521948e-17       4.324298321414e-11       4.280358529040e-12      -7.246475502859e-15 
   55       2.231240071059e-10       1.724823986055e-14      -4.143093858631e-14       1.001553548403e-16       4.141367034520e-11       4.098532802714e-12      -7.307767703934e-15 
   56       2.263790594339e-10       1.826915159316e-14      -7.180030224918e-14       1.038640874070e-16       3.968375611305e-11       3.928181533655e-12      -7.594128453266e-15 
   57       2.296555749423e-10       1.932476819177e-14      -1.038527104785e-13       1.076455539334e-16       3.805178468824e-11       3.769041185087e-12      -8.050859948499e-15 
   58       2.329586484134e-10       2.041544237844e-14      -1.376351377197e-13       1.114999437488e-16       3.651342720364e-11       3.620528214830e-12      -8.612990926338e-15 
   59       2.362929020020e-10       2.154152372677e-14      -1.731979698872e-13       1.154274230678e-16       3.506130609540e-11       3.481719878578e-12      -9.204795720280e-15 
   60       2.396624308152e-10       2.270335923857e-14      -2.105952112835e-13       1.194281335595e-16       3.368481944392e-11       3.351335033190e-12      -9.739313318355e-15 
   61       2.430704348314e-10       2.390116726841e-14      -2.498707628298e-13       1.235020932009e-16       3.237298912370e-11       3.228054250053e-12      -1.013764644893e-14 
   62       2.465181412215e-10       2.513462492361e-14      -2.910131894949e-13       1.276488760661e-16       3.112414970141e-11       3.111607547986e-12      -1.039300892671e-14 
   63       2.500055424616e-10       2.640318865362e-14      -3.339911209056e-13       1.318678577971e-16       2.993813250222e-11       3.001897859887e-12      -1.052026640585e-14 
   64       2.535316255525e-10       2.770620935614e-14      -3.787660537483e-13       1.361583025362e-16       2.881335557043e-11       2.898675003522e-12      -1.053756868568e-14 
   65       2.570943076481e-10       2.904292893525e-14      -4.252921167407e-13       1.405193583955e-16       2.774674395356e-11       2.801527250864e-12      -1.046649637382e-14 
   66       2.606903716834e-10       3.041247685953e-14      -4.735158356046e-13       1.449500529259e-16       2.673364998645e-11       2.709872897431e-12      -1.033220754921e-14 
   67       2.643154020027e-10       3.181386672014e-14      -5.233758980375e-13       1.494492885861e-16       2.576777357541e-11       2.622951831618e-12      -1.016358442520e-14 
   68       2.679652489866e-10       3.324613380919e-14      -5.748162684974e-13       1.540159891086e-16       2.484279971895e-11       2.540007041614e-12      -9.987513481664e-15 
   69       2.716409114426e-10       3.470878791967e-14      -6.278291437429e-13       1.586495831656e-16       2.395787455757e-11       2.460890688667e-12      -9.810052174975e-15 
