# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.635393079768e-10       6.011492047127e-15       5.991817631181e-13       0.000000000000e+00       1.095861375570e-08       1.007892908420e-09      -1.916676791776e-12 
    3       2.216969375801e-10       8.020555596345e-15       6.617983655394e-13       0.000000000000e+00       6.707719142396e-09       6.762920722594e-10      -1.424322400707e-12 
    4       1.924622257162e-10       7.247916080137e-15       5.938918490674e-13       0.000000000000e+00       4.604150397120e-09       4.908542210874e-10      -9.466971945013e-13 
    5       1.724481103514e-10       5.043796869042e-15       4.743666843628e-13       0.000000000000e+00       3.390775255222e-09       3.744143481216e-10      -5.664685559084e-13 
    6       1.584939282583e-10       2.880430418892e-15       3.533386976154e-13       0.000000000000e+00       2.613024615731e-09       2.953189277742e-10      -2.773374784233e-13 
    7       1.486015511185e-10       1.483351873191e-15       2.547668117645e-13       0.000000000000e+00       2.080552310490e-09       2.387589088885e-10      -7.399238698573e-14 
    8       1.415787484460e-10       8.391318894231e-16       1.841057072352e-13       0.000000000000e+00       1.698942180553e-09       1.967984447347e-10       4.701363655599e-14 
    9       1.365381042808e-10       6.160315864866e-16       1.387179080673e-13       0.000000000000e+00       1.415085520923e-09       1.647287118921e-10       9.642781882766e-14 
   10       1.329885502614e-10       5.263790567688e-16       1.139346022542e-13       0.000000000000e+00       1.197096894550e-09       1.396402028792e-10       9.313536663430e-14 
   11       1.305757230188e-10       4.514654128188e-16       1.045498333432e-13       0.000000000000e+00       1.007051634940e-09       1.198413819613e-10       5.975170448765e-14 
