# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.502123700547e-10       6.237492141499e-15       5.827657122390e-13       1.749723242136e-19       9.343796804933e-09       4.176762733643e-10      -2.168823255673e-12 
    3       1.364553423502e-10       8.297492093290e-15       6.159268951642e-13       3.498421874901e-19       5.448698251245e-09       2.703349034296e-10      -1.785709178728e-12 
    4       1.265193866713e-10       7.545054926287e-15       5.533073049092e-13       5.828526069150e-19       3.644582103721e-09       1.919348567231e-10      -1.254415901159e-12 
    5       1.198832242374e-10       5.308417659720e-15       4.533519519041e-13       8.738942287048e-19       2.642267377188e-09       1.440675642271e-10      -7.698602209700e-13 
    6       1.156220405831e-10       3.067377994510e-15       3.484884882786e-13       1.222852542682e-18       2.017568319976e-09       1.122981036233e-10      -3.912862321007e-13 
    7       1.130291918681e-10       1.589286999359e-15       2.573570819514e-13       1.629620875170e-18       1.598777735514e-09       9.009932444784e-11      -1.299525971773e-13 
    8       1.116541437381e-10       8.925441612578e-16       1.878829060465e-13       2.094114297752e-18       1.302563758702e-09       7.401507343652e-11       2.378818230830e-14 
    9       1.110916085991e-10       6.491756511870e-16       1.414165356369e-13       2.616283670971e-18       1.084016766755e-09       6.197993229780e-11       9.047615671219e-14 
   10       1.111503610330e-10       5.560869381761e-16       1.152986690267e-13       3.196129017044e-18       9.173764028953e-10       5.269800508982e-11       9.574885805081e-14 
   11       1.116485846440e-10       4.792976215062e-16       1.048024249767e-13       3.833711430048e-18       7.648823680934e-10       4.547591164887e-11       6.583892775350e-14 
   12       1.124855440148e-10       4.112253145121e-16       1.046981502334e-13       4.529162785624e-18       6.638710063150e-10       3.946345255210e-11       2.229527942844e-14 
   13       1.136096736574e-10       3.746481859498e-16       1.102890626144e-13       5.282692602882e-18       5.819054637903e-10       3.481689784313e-11      -1.821763319530e-14 
   14       1.149438581199e-10       3.693834692829e-16       1.180049201427e-13       6.094591535201e-18       5.143875226298e-10       3.081591734031e-11      -4.667873077337e-14 
   15       1.164438782080e-10       3.758214651260e-16       1.255804972679e-13       6.965231118619e-18       4.580291590994e-10       2.751064599228e-11      -5.959049641502e-14 
   16       1.180659961780e-10       3.795903854338e-16       1.320385055261e-13       7.895059579818e-18       4.104530244787e-10       2.474203548605e-11      -5.852988530475e-14 
   17       1.198359964340e-10       3.835207053865e-16       1.374161155064e-13       8.884593692669e-18       3.698782542445e-10       2.227005269140e-11      -4.815946734558e-14 
   18       1.217108672711e-10       4.015982475144e-16       1.422782440823e-13       9.934408981710e-18       3.348262797281e-10       2.015965630585e-11      -3.384921821560e-14 
   19       1.236850458981e-10       4.416555045335e-16       1.473584645008e-13       1.104511382070e-17       3.046816207017e-10       1.837701314025e-11      -1.972098540433e-14 
   20       1.257188921343e-10       5.076946362120e-16       1.534516880942e-13       1.221735408669e-17       2.782158795227e-10       1.678356615290e-11      -9.751499697457e-15 
   21       1.278173681883e-10       5.971093087940e-16       1.608349042852e-13       1.345176340919e-17       2.549812529112e-10       1.537481736367e-11      -5.033295097611e-15 
   22       1.299709000802e-10       7.043090209574e-16       1.694981522424e-13       1.474897050838e-17       2.343976776337e-10       1.416196092254e-11      -5.250208260337e-15 
   23       1.321888846389e-10       8.277739328810e-16       1.790943235232e-13       1.610954903989e-17       2.161664049531e-10       1.310419815643e-11      -8.928854660931e-15 
   24       1.344646299637e-10       9.667722648568e-16       1.890438385350e-13       1.753402476589e-17       1.998513522035e-10       1.213444558216e-11      -1.387973970209e-14 
   25       1.367934042252e-10       1.119884987407e-15       1.987330592557e-13       1.902282775784e-17       1.852526985546e-10       1.125530972169e-11      -1.841241372626e-14 
   26       1.391582901271e-10       1.285527521250e-15       2.075201812610e-13       2.057629991181e-17       1.720997798814e-10       1.048028165325e-11      -2.099978882567e-14 
   27       1.415678970488e-10       1.464122329547e-15       2.151343491197e-13       2.219465973880e-17       1.602307772922e-10       9.795093738901e-12      -2.126438629087e-14 
   28       1.440282359371e-10       1.657020047055e-15       2.214571902423e-13       2.387800848713e-17       1.494373816948e-10       9.172116050545e-12      -1.935174918778e-14 
   29       1.465449995218e-10       1.866557538710e-15       2.265535842357e-13       2.562631860771e-17       1.396621601829e-10       8.603204853388e-12      -1.596635142416e-14 
   30       1.491103232196e-10       2.095775749259e-15       2.305977979774e-13       2.743942584180e-17       1.307977692560e-10       8.080211795245e-12      -1.220679190237e-14 
   31       1.517058820402e-10       2.347723961250e-15       2.338027953113e-13       2.931703741492e-17       1.226604193773e-10       7.591356923986e-12      -9.241921403178e-15 
   32       1.543358394681e-10       2.623374004581e-15       2.362720120778e-13       3.125878568874e-17       1.152064632830e-10       7.137938784173e-12      -7.382404232062e-15 
   33       1.570036304859e-10       2.922909009618e-15       2.380967620972e-13       3.326417710196e-17       1.083816827081e-10       6.723137046200e-12      -6.665475483168e-15 
   34       1.597051080124e-10       3.246367101452e-15       2.393419452958e-13       3.533260579160e-17       1.020886497900e-10       6.347317962618e-12      -7.025972522902e-15 
   35       1.624388672515e-10       3.594088281202e-15       2.398574731399e-13       3.746348366925e-17       9.629376120361e-11       6.007853588267e-12      -8.071594111393e-15 
   36       1.651977146696e-10       3.966400333100e-15       2.393969807809e-13       3.965614391335e-17       9.094898512294e-11       5.698690417508e-12      -9.214178478931e-15 
   37       1.679711562086e-10       4.363630116801e-15       2.377080848594e-13       4.190987239127e-17       8.598293960959e-11       5.412233968765e-12      -9.865767768781e-15 
   38       1.707666674681e-10       4.786582598813e-15       2.346841558989e-13       4.422415386688e-17       8.138178897133e-11       5.146760149828e-12      -9.943720774894e-15 
   39       1.735943583262e-10       5.236215258784e-15       2.302607120275e-13       4.659850362017e-17       7.713000856459e-11       4.901110064241e-12      -9.528885447100e-15 
   40       1.764606896543e-10       5.713511469450e-15       2.243749646282e-13       4.903240158926e-17       7.318580236646e-11       4.672529462592e-12      -8.733209051593e-15 
   41       1.793682899638e-10       6.219393403018e-15       2.169858122077e-13       5.152537831059e-17       6.949544222575e-11       4.457681256745e-12      -7.698289517037e-15 
   42       1.823164430582e-10       6.754423675339e-15       2.081412819131e-13       5.407730615941e-17       6.604739248245e-11       4.256410413086e-12      -6.585089315090e-15 
   43       1.852999822901e-10       7.319008660838e-15       1.979333001736e-13       5.668820307684e-17       6.283195883648e-11       4.068972948664e-12      -5.584635101063e-15 
   44       1.883085917251e-10       7.913473695091e-15       1.864812362608e-13       5.935816079403e-17       5.982506362062e-11       3.894934008475e-12      -4.923358191780e-15 
   45       1.913309756837e-10       8.538143956423e-15       1.738912432368e-13       6.208738658905e-17       5.699672231355e-11       3.733371517115e-12      -4.796357112601e-15 
   46       1.943698969560e-10       9.193627334642e-15       1.601162281748e-13       6.487632918977e-17       5.434218576822e-11       3.583697925006e-12      -5.138766452646e-15 
   47       1.974308814418e-10       9.880607907653e-15       1.450565864845e-13       6.772560080074e-17       5.185816595940e-11       3.444984380928e-12      -5.789375940482e-15 
   48       2.005178238190e-10       1.059976766912e-14       1.285978411236e-13       7.063595255818e-17       4.953345325179e-11       3.315677361661e-12      -6.551455658071e-15 
   49       2.036328105074e-10       1.135178663181e-14       1.106097236854e-13       7.360828263559e-17       4.734832848637e-11       3.193555136499e-12      -7.190762783658e-15 
   50       2.067767636980e-10       1.213725414848e-14       9.097211016457e-14       7.664357947805e-17       4.528046372395e-11       3.076329863026e-12      -7.498247718774e-15 
   51       2.099519902584e-10       1.295637425777e-14       6.966325957950e-14       7.974271453559e-17       4.332587667368e-11       2.963747547344e-12      -7.502862786393e-15 
   52       2.131600186807e-10       1.380918053638e-14       4.669393832943e-14       8.290660728053e-17       4.148264786241e-11       2.855982840571e-12      -7.313072581178e-15 
   53       2.164007033699e-10       1.469561391309e-14       2.208299553914e-14       8.613629009445e-17       3.974465323755e-11       2.753030386143e-12      -7.058229722040e-15 
   54       2.196720862460e-10       1.561551859410e-14      -4.142292104214e-15       8.943291332091e-17       3.810128160185e-11       2.654691666985e-12      -6.889626271923e-15 
   55       2.229715605913e-10       1.656875555016e-14      -3.195909766768e-14       9.279757715704e-17       3.654065405898e-11       2.560699788862e-12      -6.942938092614e-15 
   56       2.263000182223e-10       1.755558532737e-14      -6.139221204021e-14       9.623076684827e-17       3.506086624678e-11       2.471160262983e-12      -7.212223923408e-15 
   57       2.296584901491e-10       1.857637319767e-14      -9.248099573096e-14       9.973278603422e-17       3.366104398115e-11       2.386196685047e-12      -7.646466612917e-15 
   58       2.330468488405e-10       1.963148042362e-14      -1.252672628817e-13       1.033039159599e-16       3.233794299181e-11       2.305814783389e-12      -8.184994854505e-15 
   59       2.364637205633e-10       2.072126476403e-14      -1.597954515789e-13       1.069444137820e-16       3.108580279921e-11       2.229894640288e-12      -8.757030434706e-15 
   60       2.399063977203e-10       2.184608097963e-14      -1.961127941657e-13       1.106545108751e-16       2.989620059140e-11       2.158182913278e-12      -9.281235481653e-15 
   61       2.433721279514e-10       2.300616684342e-14      -2.342575430269e-13       1.144342812123e-16       2.876037713585e-11       2.090369614448e-12      -9.683677155448e-15 
   62       2.468625178760e-10       2.420127012887e-14      -2.742201743294e-13       1.182832158167e-16       2.767715516394e-11       2.026356184880e-12      -9.957458026867e-15 
   63       2.503799667598e-10       2.543093841147e-14      -3.159737386358e-13       1.222005493502e-16       2.664654714350e-11       1.966034062816e-12      -1.011572787491e-14 
   64       2.539263338703e-10       2.669462311060e-14      -3.594848324540e-13       1.261853759102e-16       2.566737373540e-11       1.909200440570e-12      -1.017457634730e-14 
   65       2.575028944991e-10       2.799167636232e-14      -4.047133895591e-13       1.302366432125e-16       2.473719610616e-11       1.855553168800e-12      -1.015316458044e-14 
   66       2.611102959843e-10       2.932134789221e-14      -4.516124723138e-13       1.343531467756e-16       2.385224824064e-11       1.804685660777e-12      -1.007385681935e-14 
   67       2.647485137330e-10       3.068278188813e-14      -5.001280629906e-13       1.385335241045e-16       2.300736925472e-11       1.756081796658e-12      -9.962352037545e-15 
   68       2.684173176142e-10       3.207513237970e-14      -5.502111114853e-13       1.427764337783e-16       2.219737147100e-11       1.709243140680e-12      -9.842479242647e-15 
   69       2.721178791824e-10       3.349794351484e-14      -6.018569796754e-13       1.470811478521e-16       2.142161784736e-11       1.664111916675e-12      -9.719064549749e-15 
   70       2.758514126126e-10       3.495084107349e-14      -6.550736513699e-13       1.514470695947e-16       2.068025472105e-11       1.620724978126e-12      -9.591813023199e-15 
   71       2.796186627743e-10       3.643342068405e-14      -7.098702859915e-13       1.558735581374e-16       1.997282769918e-11       1.579087397392e-12      -9.460333055367e-15 
   72       2.834198743062e-10       3.794524772705e-14      -7.662573233605e-13       1.603599273867e-16       1.929825069169e-11       1.539170753939e-12      -9.324131507941e-15 
   73       2.872547606918e-10       3.948585723883e-14      -8.242465884790e-13       1.649054449376e-16       1.865477494425e-11       1.500911422568e-12      -9.182608853234e-15 
   74       2.911224733347e-10       4.105475381519e-14      -8.838513963142e-13       1.695093309858e-16       1.803995807126e-11       1.464208861655e-12      -9.035054315483e-15 
   75       2.950215706337e-10       4.265141151507e-14      -9.450866565831e-13       1.741707572410e-16       1.745063308876e-11       1.428923901379e-12      -8.880641012150e-15 
   76       2.989506267380e-10       4.427522102174e-14      -1.007959452025e-12       1.788891319920e-16       1.688368930418e-11       1.394916573602e-12      -8.718946329248e-15 
   77       3.029102543304e-10       4.592532021540e-14      -1.072438558075e-12       1.836650177213e-16       1.633864783679e-11       1.362171349603e-12      -8.551633340285e-15 
   78       3.069013962385e-10       4.760073238613e-14      -1.138479529500e-12       1.884993796240e-16       1.581550167704e-11       1.330691736220e-12      -8.381068599434e-15 
   79       3.109247009584e-10       4.930041507666e-14      -1.206033644723e-12       1.933933190032e-16       1.531393140730e-11       1.300461873861e-12      -8.209829924539e-15 
   80       3.149805048470e-10       5.102325890446e-14      -1.275047815256e-12       1.983480780508e-16       1.483329088266e-11       1.271445635575e-12      -8.040712308765e-15 
   81       3.190688143152e-10       5.276808638392e-14      -1.345464495134e-12       2.033650446276e-16       1.437259291167e-11       1.243585726119e-12      -7.876733832252e-15 
   82       3.231892880196e-10       5.453365074848e-14      -1.417221590349e-12       2.084457570444e-16       1.393049493698e-11       1.216802781017e-12      -7.721141573761e-15 
   83       3.273412190551e-10       5.631863477278e-14      -1.490252368290e-12       2.135919088422e-16       1.350528471617e-11       1.190994465636e-12      -7.577417522327e-15 
   84       3.315238924196e-10       5.812170717835e-14      -1.564492585661e-12       2.188051525973e-16       1.309529368450e-11       1.166060500051e-12      -7.448532414676e-15 
   85       3.357377645031e-10       5.994170517487e-14      -1.639903428330e-12       2.240864634927e-16       1.270024714525e-11       1.141984473790e-12      -7.334552171940e-15 
   86       3.399834473927e-10       6.177748016152e-14      -1.716452226055e-12       2.294366785151e-16       1.232011269936e-11       1.118764005487e-12      -7.234643654639e-15 
   87       3.442613396546e-10       6.362784262707e-14      -1.794105602429e-12       2.348566894313e-16       1.195468543846e-11       1.096385564644e-12      -7.147784827601e-15 
   88       3.485716148340e-10       6.549156193977e-14      -1.872829505628e-12       2.403474441919e-16       1.160358081351e-11       1.074824006426e-12      -7.072758031709e-15 
   89       3.529142099541e-10       6.736736613729e-14      -1.952589239168e-12       2.459099483335e-16       1.126622750345e-11       1.054042106456e-12      -7.008143255647e-15 
   90       3.572888140162e-10       6.925394171664e-14      -2.033349492660e-12       2.515452663819e-16       1.094186028387e-11       1.033990095606e-12      -6.952311407649e-15 
   91       3.616948564987e-10       7.114993342415e-14      -2.115074372563e-12       2.572545232548e-16       1.062951289568e-11       1.014605194793e-12      -6.903417587246e-15 
   92       3.661314958572e-10       7.305394404533e-14      -2.197727432937e-12       2.630389056649e-16       1.032801091375e-11       9.958111497750e-13      -6.859394357014e-15 
   93       3.705979196308e-10       7.496454835447e-14      -2.281269471675e-12       2.688993401204e-16       1.003624846627e-11       9.775364301624e-13      -6.818322349180e-15 
   94       3.750943213747e-10       7.688033781945e-14      -2.365651473241e-12       2.748354684832e-16       9.754081490002e-12       9.597729679367e-13      -6.779620459767e-15 
   95       3.796210500787e-10       7.879988226345e-14      -2.450820656440e-12       2.808465202116e-16       9.481556260623e-12       9.425254341986e-13      -6.743023052790e-15 
   96       3.841783045259e-10       8.072171628885e-14      -2.536722614453e-12       2.869316190379e-16       9.218634320946e-12       9.257931558916e-13      -6.708217047233e-15 
   97       3.887661260690e-10       8.264433926160e-14      -2.623301314913e-12       2.930897799321e-16       8.965189245926e-12       9.095699067973e-13      -6.674840368409e-15 
   98       3.933843914078e-10       8.456621529547e-14      -2.710499099991e-12       2.993199060653e-16       8.721003407699e-12       8.938436985298e-13      -6.642480399325e-15 
   99       3.980328053656e-10       8.648577323636e-14      -2.798256686475e-12       3.056207857735e-16       8.485764740611e-12       8.785965715306e-13      -6.610672432040e-15 
  100       4.027108936665e-10       8.840140664661e-14      -2.886513165851e-12       3.119910895210e-16       8.259063506255e-12       8.638043860631e-13      -6.578898119026e-15 
  101       4.074179957120e-10       9.031147378927e-14      -2.975206004387e-12       3.184293668638e-16       8.040389058501e-12       8.494366132072e-13      -6.546583924532e-15 
  102       4.121532573581e-10       9.221429761244e-14      -3.064271043211e-12       3.249340434137e-16       7.829126608528e-12       8.354561258546e-13      -6.513099575943e-15 
  103       4.169156236923e-10       9.410816573352e-14      -3.153642498393e-12       3.315034178013e-16       7.624553989860e-12       8.218189897030e-13      -6.477756515142e-15 
  104       4.217040865896e-10       9.599137678384e-14      -3.243254455566e-12       3.381361488681e-16       7.426004184306e-12       8.084849697784e-13      -6.439962719564e-15 
  105       4.265184810250e-10       9.786238660623e-14      -3.333045583539e-12       3.448327987348e-16       7.233384871396e-12       7.954511165561e-13      -6.399714319520e-15 
  106       4.313587833662e-10       9.971968186925e-14      -3.422955060540e-12       3.515944934888e-16       7.046723358329e-12       7.827223483104e-13      -6.357167813259e-15 
  107       4.362248618302e-10       1.015617359583e-13      -3.512921152845e-12       3.584224538919e-16       6.866005689976e-12       7.703010505830e-13      -6.312489795290e-15 
  108       4.411164720596e-10       1.033870094693e-13      -3.602881231280e-12       3.653179977311e-16       6.691175235466e-12       7.581869849310e-13      -6.265857126090e-15 
  109       4.460332527001e-10       1.051939507024e-13      -3.692771787726e-12       3.722825421690e-16       6.522131274769e-12       7.463771976743e-13      -6.217457101814e-15 
  110       4.509747209761e-10       1.069809961561e-13      -3.782528451628e-12       3.793176060952e-16       6.358727585274e-12       7.348659286435e-13      -6.167487624003e-15 
  111       4.559402682683e-10       1.087465710205e-13      -3.872086006494e-12       3.864248124761e-16       6.200771028368e-12       7.236445199279e-13      -6.116157369296e-15 
  112       4.609291556900e-10       1.104890896712e-13      -3.961378406405e-12       3.936058907064e-16       6.048020136024e-12       7.127013246228e-13      -6.063685959136e-15 
  113       4.659405096638e-10       1.122069561633e-13      -4.050338792514e-12       4.008626789592e-16       5.900183697377e-12       7.020216155776e-13      -6.010304129483e-15 
  114       4.709733174983e-10       1.138985647249e-13      -4.138899509557e-12       4.081971265370e-16       5.756919345304e-12       6.915874941435e-13      -5.956253900523e-15 
  115       4.760264229648e-10       1.155623002508e-13      -4.226992122355e-12       4.156112962221e-16       5.617832143010e-12       6.813777989213e-13      -5.901788746375e-15 
  116       4.810987039858e-10       1.171965770014e-13      -4.314547967781e-12       4.231070919011e-16       5.482560490842e-12       6.713733081258e-13      -5.847137582387e-15 
  117       4.861896396658e-10       1.187999589800e-13      -4.401499851526e-12       4.306853988412e-16       5.351048717747e-12       6.615732593379e-13      -5.792391396920e-15 
  118       4.912988042155e-10       1.203710551863e-13      -4.487780589585e-12       4.383468428154e-16       5.223305131876e-12       6.519806762339e-13      -5.737603090656e-15 
  119       4.964256882257e-10       1.219084835436e-13      -4.573322512253e-12       4.460920553987e-16       5.099317031426e-12       6.425972107192e-13      -5.682822277135e-15 
  120       5.015696958546e-10       1.234108717304e-13      -4.658057485373e-12       4.539216738897e-16       4.979050063287e-12       6.334230984814e-13      -5.628095132547e-15 
  121       5.067301420141e-10       1.248768580120e-13      -4.741916931567e-12       4.618363412324e-16       4.862447581683e-12       6.244571145423e-13      -5.573464245528e-15 
  122       5.119062495574e-10       1.263050920717e-13      -4.824831851482e-12       4.698367059375e-16       4.749430006817e-12       6.156965288106e-13      -5.518968466957e-15 
  123       5.170971464651e-10       1.276942358429e-13      -4.906732845023e-12       4.779234220044e-16       4.639894183513e-12       6.071370616344e-13      -5.464642759743e-15 
  124       5.223018630329e-10       1.290429643402e-13      -4.987550132596e-12       4.860971488426e-16       4.533712739859e-12       5.987728393539e-13      -5.410518048628e-15 
  125       5.275193290575e-10       1.303499664911e-13      -5.067213576349e-12       4.943585511936e-16       4.430733445854e-12       5.905963498535e-13      -5.356621069973e-15 
  126       5.327483710245e-10       1.316139459676e-13      -5.145652701404e-12       5.027082990520e-16       4.330778572046e-12       5.825983981146e-13      -5.302974221559e-15 
  127       5.379877092943e-10       1.328336220177e-13      -5.222796717106e-12       5.111470675878e-16       4.233644248177e-12       5.747680617682e-13      -5.249595412376e-15 
  128       5.432359552897e-10       1.340077302969e-13      -5.298574538253e-12       5.196755370673e-16       4.139099821829e-12       5.670926466470e-13      -5.196497912423e-15 
  129       5.484917678039e-10       1.351350718070e-13      -5.372915750385e-12       5.282943384336e-16       4.046937012488e-12       5.595605108059e-13      -5.143686055514e-15 
  130       5.537543472882e-10       1.362146640160e-13      -5.445753580251e-12       5.370038834618e-16       3.957124832633e-12       5.521699812548e-13      -5.091142133772e-15 
  131       5.590229907244e-10       1.372456079647e-13      -5.517022292856e-12       5.458045157363e-16       3.869670528763e-12       5.449213359591e-13      -5.038837774900e-15 
  132       5.642969357061e-10       1.382270428100e-13      -5.586656304351e-12       5.546965628605e-16       3.784571027160e-12       5.378139993690e-13      -4.986737782174e-15 
  133       5.695753587638e-10       1.391581470004e-13      -5.654590210024e-12       5.636803359887e-16       3.701812648858e-12       5.308465184974e-13      -4.934799954568e-15 
  134       5.748573736908e-10       1.400381394523e-13      -5.720758812297e-12       5.727561293595e-16       3.621370824594e-12       5.240165389985e-13      -4.882974906869e-15 
  135       5.801420298688e-10       1.408662807253e-13      -5.785097148718e-12       5.819242198284e-16       3.543209809778e-12       5.173207812458e-13      -4.831205889801e-15 
  136       5.854283105926e-10       1.416418741981e-13      -5.847540519957e-12       5.911848664005e-16       3.467282399449e-12       5.107550164105e-13      -4.779428610143e-15 
  137       5.907151313965e-10       1.423642672444e-13      -5.908024517799e-12       6.005383097635e-16       3.393529643239e-12       5.043140425392e-13      -4.727571050849e-15 
  138       5.960013383792e-10       1.430328524086e-13      -5.966485053142e-12       6.099847718203e-16       3.321880560331e-12       4.979916606329e-13      -4.675553291168e-15 
  139       6.012857065295e-10       1.436470685818e-13      -6.022858383987e-12       6.195244552215e-16       3.252251854424e-12       4.917806507246e-13      -4.623287326765e-15 
  140       6.065669380518e-10       1.442064021771e-13      -6.077081143435e-12       6.291575428988e-16       3.184547628691e-12       4.856727479579e-13      -4.570676889841e-15 
  141       6.118436606915e-10       1.447103883060e-13      -6.129090367680e-12       6.388841975975e-16       3.118659100743e-12       4.796586186648e-13      -4.517617269250e-15 
  142       6.171144260605e-10       1.451586119535e-13      -6.178823524005e-12       6.487045614089e-16       3.054464317587e-12       4.737278364444e-13      -4.463995130623e-15 
  143       6.223777079627e-10       1.455507091545e-13      -6.226218538777e-12       6.586187553038e-16       2.991827870590e-12       4.678688582409e-13      -4.409688336486e-15 
  144       6.276320300021e-10       1.458863965741e-13      -6.271214496747e-12       6.686270108404e-16       2.930629034779e-12       4.620718574734e-13      -4.354602260570e-15 
  145       6.328763661204e-10       1.461655610535e-13      -6.313753757566e-12       6.787300809110e-16       2.870849915082e-12       4.563375887201e-13      -4.298783145417e-15 
  146       6.381097765476e-10       1.463881811685e-13      -6.353780102117e-12       6.889288687900e-16       2.812495488736e-12       4.506693555677e-13      -4.242315630397e-15 
  147       6.433312811421e-10       1.465543009444e-13      -6.391238111518e-12       6.992242998841e-16       2.755565840663e-12       4.450702245992e-13      -4.185287290621e-15 
  148       6.485398584590e-10       1.466640311952e-13      -6.426073198966e-12       7.096173220248e-16       2.700056041790e-12       4.395430178921e-13      -4.127788666788e-15 
  149       6.537344448188e-10       1.467175508624e-13      -6.458231641600e-12       7.201089057607e-16       2.645956027368e-12       4.340903055162e-13      -4.069913295052e-15 
  150       6.589139333756e-10       1.467151083543e-13      -6.487660612345e-12       7.307000446497e-16       2.593250475292e-12       4.287143980319e-13      -4.011757736872e-15 
  151       6.640771731862e-10       1.466570228849e-13      -6.514308211769e-12       7.413917555519e-16       2.541918684419e-12       4.234173389881e-13      -3.953421608871e-15 
  152       6.692229682777e-10       1.465436858128e-13      -6.538123499933e-12       7.521850789216e-16       2.491934452891e-12       4.182008974203e-13      -3.895007612691e-15 
  153       6.743500767166e-10       1.463755619806e-13      -6.559056528248e-12       7.630810791000e-16       2.443265956448e-12       4.130665603487e-13      -3.836621564852e-15 
  154       6.794572096773e-10       1.461531910535e-13      -6.577058371320e-12       7.740808446072e-16       2.395875626756e-12       4.080155252762e-13      -3.778372426609e-15 
  155       6.845430305102e-10       1.458771888587e-13      -6.592081158812e-12       7.851854884352e-16       2.349720029718e-12       4.030486926865e-13      -3.720372333806e-15 
  156       6.896061538106e-10       1.455482487240e-13      -6.604078107288e-12       7.963961483397e-16       2.304749743800e-12       3.981666585422e-13      -3.662736626734e-15 
  157       6.946451444870e-10       1.451671428175e-13      -6.613003552070e-12       8.077139871330e-16       2.260909238347e-12       3.933697067827e-13      -3.605583879988e-15 
  158       6.996585168293e-10       1.447347234858e-13      -6.618812979090e-12       8.191401929759e-16       2.218136751904e-12       3.886578018223e-13      -3.549035932325e-15 
  159       7.046447335780e-10       1.442519245937e-13      -6.621463056743e-12       8.306759796708e-16       2.176364170533e-12       3.840305810484e-13      -3.493217916516e-15 
  160       7.096022049919e-10       1.437197628630e-13      -6.620911667736e-12       8.423225869533e-16       2.135516906136e-12       3.794873473194e-13      -3.438258289210e-15 
  161       7.145294004003e-10       1.431393379848e-13      -6.617118273573e-12       8.540811144681e-16       2.095529035684e-12       3.750272460975e-13      -3.384262095374e-15 
  162       7.194251958983e-10       1.425118301577e-13      -6.610044977331e-12       8.659520065808e-16       2.056390478887e-12       3.706498302004e-13      -3.331228042003e-15 
  163       7.242885557618e-10       1.418385048899e-13      -6.599655616178e-12       8.779355223530e-16       2.018103779443e-12       3.663545308868e-13      -3.279124113944e-15 
  164       7.291184223193e-10       1.411207155293e-13      -6.585915470318e-12       8.900318972933e-16       1.980669168302e-12       3.621404711146e-13      -3.227913587190e-15 
  165       7.339137155376e-10       1.403599045967e-13      -6.568791296374e-12       9.022413428839e-16       1.944084512201e-12       3.580064588881e-13      -3.177554935596e-15 
  166       7.386733326080e-10       1.395576051192e-13      -6.548251360769e-12       9.145640461081e-16       1.908345262193e-12       3.539509806058e-13      -3.128001737593e-15 
  167       7.433961475324e-10       1.387154419635e-13      -6.524265473109e-12       9.270001689778e-16       1.873444402184e-12       3.499721944074e-13      -3.079202582895e-15 
  168       7.480810107089e-10       1.378351331696e-13      -6.496805019569e-12       9.395498480600e-16       1.839372397463e-12       3.460679235221e-13      -3.031100979218e-15 
  169       7.527267485185e-10       1.369184912839e-13      -6.465842996272e-12       9.522131940048e-16       1.806117143237e-12       3.422356496154e-13      -2.983635258987e-15 
  170       7.573321629103e-10       1.359674246927e-13      -6.431354042675e-12       9.649902910720e-16       1.773663913163e-12       3.384725061373e-13      -2.936738486051e-15 
  171       7.618960309882e-10       1.349839389555e-13      -6.393314474951e-12       9.778811966585e-16       1.741995307880e-12       3.347752716691e-13      -2.890338362395e-15 
