# Matter power spectrum P(k) at redshift z=0
# for k=9.4239e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 602
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.423900700064e-06       7.102064835893e+01 
       2.180014392299e-05       1.598440332935e+02 
       3.421505265404e-05       2.471958368004e+02 
       4.669945430490e-05       3.339649980110e+02 
       5.928463492826e-05       4.206490276638e+02 
       7.200259682727e-05       5.076184988121e+02 
       8.488632364191e-05       5.951891110606e+02 
       9.797005619253e-05       6.836507350652e+02 
       1.112895823859e-04       7.732820834821e+02 
       1.248825445196e-04       8.649260347878e+02 
       1.387887673361e-04       9.578540629792e+02 
       1.530506101596e-04       1.052735403163e+03 
       1.677133463580e-04       1.149935667484e+03 
       1.828255731708e-04       1.249787749376e+03 
       1.984396545720e-04       1.352583392499e+03 
       2.146121992137e-04       1.458691577324e+03 
       2.314045745235e-04       1.568554291888e+03 
       2.488834565762e-04       1.682470676556e+03 
       2.671214132592e-04       1.801266022151e+03 
       2.861975153059e-04       1.924765515360e+03 
       3.061979657390e-04       2.053954224105e+03 
       3.272167328798e-04       2.189069114896e+03 
       3.493561650681e-04       2.330748217661e+03 
       3.727275563479e-04       2.480612171791e+03 
       3.974516214576e-04       2.637342466951e+03 
       4.236588255875e-04       2.804044531687e+03 
       4.514894999302e-04       2.979453447356e+03 
       4.810936590580e-04       3.166193758072e+03 
       5.126304223822e-04       3.363286400514e+03 
       5.462669322302e-04       3.572971678744e+03 
       5.821766593878e-04       3.795430053701e+03 
       6.205369983246e-04       4.031825830304e+03 
       6.615260842118e-04       4.282819982763e+03 
       7.053188169311e-04       4.549497320575e+03 
       7.520821555458e-04       4.832100361481e+03 
       8.019698470093e-04       5.131733270934e+03 
       8.551168648243e-04       5.448321905616e+03 
       9.116339385516e-04       5.782254225117e+03 
       9.716026291258e-04       6.133482706341e+03 
       1.035071422981e-03       6.501762100959e+03 
       1.102053262706e-03       6.886549513451e+03 
       1.172524801596e-03       7.287197684802e+03 
       1.246427481989e-03       7.702628914882e+03 
       1.323670327630e-03       8.131646028408e+03 
       1.404134150596e-03       8.573011126935e+03 
       1.477104874446e-03       8.968666088910e+03 
       1.487676740284e-03       9.025531239264e+03 
       1.574138545716e-03       9.487339243969e+03 
       1.663348382888e-03       9.957177552113e+03 
       1.755128778696e-03       1.043340071639e+04 
       1.849300675812e-03       1.091449743509e+04 
       1.945687342320e-03       1.139929213932e+04 
       2.044117435950e-03       1.188617340541e+04 
       2.144427253978e-03       1.237409233464e+04 
       2.246462253249e-03       1.286191605859e+04 
       2.350077952882e-03       1.334868621773e+04 
       2.455140340547e-03       1.383338612295e+04 
       2.561525898140e-03       1.431530323738e+04 
       2.669121349689e-03       1.479369823292e+04 
       2.777823217861e-03       1.526786072892e+04 
       2.887537258399e-03       1.573736099210e+04 
       2.998177826010e-03       1.620167286218e+04 
       3.109667211479e-03       1.666038279237e+04 
       3.221934978521e-03       1.711315647561e+04 
       3.334917319879e-03       1.755974937700e+04 
       3.448556445284e-03       1.799982193285e+04 
       3.562800008770e-03       1.843321406719e+04 
       3.677600579084e-03       1.885974526817e+04 
       3.792915154324e-03       1.927925917020e+04 
       3.908704720150e-03       1.969171393988e+04 
       4.024933849750e-03       2.009696152647e+04 
       4.141570343074e-03       2.049497166622e+04 
       4.258584902439e-03       2.088569925399e+04 
       4.375950841485e-03       2.126912186884e+04 
       4.493643824471e-03       2.164504411480e+04 
       4.611641632984e-03       2.201326152434e+04 
       4.729923957311e-03       2.237456814442e+04 
       4.848472209930e-03       2.273024660381e+04 
       4.967269358763e-03       2.307662119661e+04 
       5.086299778072e-03       2.341578854835e+04 
       5.205549115076e-03       2.374878535868e+04 
       5.325004170551e-03       2.407361829971e+04 
       5.444652791893e-03       2.439145459208e+04 
