# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504522597e-22       4.634894139599e-07       2.157545692495e+18       1.446883594337e+04       1.446883594337e-08       1.446883594337e+16       2.675958480036e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+26       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.270295769850e+36       4.655003415202e+36       1.231222942929e+28       1.213895962898e+03       7.460210261329e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693952635e-22       4.667344910558e-07       2.127654277573e+18       1.446883594336e+04       1.457011779497e-08       1.436825813641e+16       2.694690189390e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+26       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.235341324558e+36       4.526912724874e+36       1.205725061490e+28       1.203697982680e+03       1.040790903586e-07       1.433565615446e+02 
       9.861456399039e+11       7.772375237975e-22       4.700013960246e-07       2.098176989077e+18       1.446883594336e+04       1.467210861953e-08       1.426837948004e+16       2.713553020709e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+26       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.201348712939e+36       4.402346677493e+36       1.180755225732e+28       1.193619315457e+03       2.081581807085e-07       7.167828077449e+01 
       9.792906056642e+11       7.881569337691e-22       4.732919478556e-07       2.069108089551e+18       1.446883594336e+04       1.477481337986e-08       1.416919511424e+16       2.732547891847e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+26       1.886865675401e+23       5.823056070212e+35       1.941018690071e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.168291468430e+36       4.281208286244e+36       1.156302500149e+28       1.183657799389e+03       3.122372710573e-07       4.778552051664e+01 
       9.724832231024e+11       7.992297505312e-22       4.766043275595e-07       2.040441921026e+18       1.446883594335e+04       1.487823707352e-08       1.407070021275e+16       2.751675727083e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+26       1.847789830072e+23       5.662824335471e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.136143852743e+36       4.163403233079e+36       1.132356175704e+28       1.173811324329e+03       4.163163614051e-07       3.583914038751e+01 
       9.657231609756e+11       8.104581292959e-22       4.799403541256e-07       2.012172903922e+18       1.446883594335e+04       1.498238473303e-08       1.397288998286e+16       2.770937457166e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+26       1.809523221833e+23       5.507001661628e+35       1.835667220543e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.104880835825e+36       4.048839795277e+36       1.108905765133e+28       1.164077830452e+03       5.203954517517e-07       2.867131230996e+01 
       9.590100903431e+11       8.218442555538e-22       4.833000275539e-07       1.984295535960e+18       1.446883594335e+04       1.508726142616e-08       1.387575966520e+16       2.790334019358e-07       2.327404011990e+36       2.162131216469e+27       9.813594845994e+25       1.772049091875e+23       5.355466725536e+35       1.785155575179e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.074478076368e+36       3.937428774032e+36       1.085940998363e+28       1.154455306929e+03       6.244745420973e-07       2.389276025824e+01 
       9.523436845512e+11       8.333903454993e-22       4.866833478445e-07       1.956804391093e+18       1.446883594334e+04       1.519287225614e-08       1.377930453347e+16       2.809866357486e-07       2.263361355044e+36       2.117354788504e+27       9.610361240487e+25       1.735351028450e+23       5.208101542472e+35       1.736033847491e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.044911902860e+36       3.829083425000e+36       1.063451818004e+28       1.144941790629e+03       7.285536324418e-07       2.047950879271e+01 
       9.457236192167e+11       8.450986464623e-22       4.900903149974e-07       1.929694118446e+18       1.446883594334e+04       1.529922236193e-08       1.368351989420e+16       2.829535421980e-07       2.201080945601e+36       2.073505653242e+27       9.411336479857e+25       1.699412959693e+23       5.064791374273e+35       1.688263791424e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.016159295153e+36       3.723719390763e+36       1.041428374949e+28       1.135535364861e+03       8.326327227852e-07       1.791957019356e+01 
       9.391495722111e+11       8.569714373455e-22       4.935209290124e-07       1.902959441278e+18       1.446883594334e+04       1.540631691846e-08       1.358840108659e+16       2.849342169926e-07       2.140514292290e+36       2.030564607014e+27       9.216433401479e+25       1.664219146573e+23       4.925424640000e+35       1.641808213333e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.881978665368e+35       3.621254635148e+36       1.019861024060e+28       1.126234158145e+03       9.367118131277e-07       1.592850683866e+01 
