# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.499868438300e-10       5.124448119516e-15       3.980971234117e-13       0.000000000000e+00       8.657676905026e-09       8.052942745204e-10      -2.117665082574e-12 
    3       2.290154016036e-10       7.021523428027e-15       5.265223151088e-13       0.000000000000e+00       5.404508678709e-09       5.809055449565e-10      -1.595046000823e-12 
    4       2.076748708109e-10       6.437741956643e-15       5.211103533569e-13       0.000000000000e+00       3.786107284644e-09       4.457246839010e-10      -1.061072606170e-12 
    5       1.905186565826e-10       4.546133476256e-15       4.460063786524e-13       0.000000000000e+00       2.839725452172e-09       3.560451081632e-10      -6.246588014647e-13 
    6       1.774947889000e-10       2.670335928820e-15       3.510396697306e-13       0.000000000000e+00       2.226595672946e-09       2.926022827893e-10      -2.986727813910e-13 
    7       1.677025136185e-10       1.459155036920e-15       2.650310157987e-13       0.000000000000e+00       1.801791477969e-09       2.455729129168e-10      -7.159588246872e-14 
    8       1.602760484835e-10       8.860914370612e-16       2.003782662292e-13       0.000000000000e+00       1.492747873690e-09       2.094714355918e-10       7.542953236717e-14 
    9       1.546227233823e-10       6.570957579141e-16       1.611835169852e-13       0.000000000000e+00       1.259539578211e-09       1.811082286909e-10       1.587617365128e-13 
   10       1.504170250470e-10       5.478268207896e-16       1.461745540755e-13       0.000000000000e+00       1.078373882899e-09       1.584401505854e-10       1.902224846231e-13 
   11       1.473091595597e-10       4.780615076424e-16       1.458376570171e-13       0.000000000000e+00       9.215689422596e-10       1.397005647183e-10       1.829759204111e-13 
   12       1.450445448122e-10       4.358946951947e-16       1.483132930639e-13       0.000000000000e+00       8.064875167441e-10       1.252367153214e-10       1.417545010588e-13 
   13       1.435321598802e-10       4.145686158229e-16       1.476095983494e-13       0.000000000000e+00       7.117618112015e-10       1.128177473819e-10       8.963149052910e-14 
   14       1.425628774388e-10       4.024860919739e-16       1.448985406179e-13       0.000000000000e+00       6.327953523728e-10       1.008264344246e-10       4.006544412406e-14 
   15       1.420088766226e-10       3.909377819935e-16       1.436661024914e-13       0.000000000000e+00       5.662141914571e-10       9.214794971534e-11       2.636672276302e-15 
