# Matter power spectrum P(k) at redshift z=0
# for k=1.02089e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.020887153728e-05       4.202931813742e+01 
       2.306064943826e-05       9.244367332886e+01 
       3.595684120405e-05       1.420643448034e+02 
       4.893198611325e-05       1.913945740282e+02 
       6.202118709392e-05       2.407256035968e+02 
       7.526042231512e-05       2.902793773028e+02 
       8.868686663154e-05       3.402483504369e+02 
       1.023392271411e-04       3.908118504455e+02 
       1.162580971481e-04       4.415370080128e+02 
       1.304863328582e-04       4.937232086356e+02 
       1.450694571390e-04       5.470021843770e+02 
       1.600560946239e-04       6.015639296307e+02 
       1.754984422688e-04       6.573968026982e+02 
       1.914527791141e-04       7.152300532712e+02 
       2.079800183717e-04       7.747041346450e+02 
       2.251463039185e-04       8.366203322914e+02 
       2.430236516676e-04       9.001066178164e+02 
       2.616906338990e-04       9.673470989080e+02 
       2.812331011960e-04       1.036147197469e+03 
       3.017449318304e-04       1.109821304549e+03 
       3.233287918999e-04       1.184937239312e+03 
       3.460968808573e-04       1.265293322200e+03 
       3.701716258919e-04       1.349356635362e+03 
       3.956862746947e-04       1.440120314749e+03 
       4.227853194351e-04       1.532956218542e+03 
       4.516246658008e-04       1.633654148026e+03 
       4.823714409578e-04       1.740730502564e+03 
       5.152033156945e-04       1.852176607134e+03 
       5.503072027293e-04       1.972871708452e+03 
       5.878771908279e-04       2.100384786048e+03 
       6.281115901291e-04       2.238309376855e+03 
       6.712090057306e-04       2.382353469742e+03 
       7.173634306357e-04       2.537185177827e+03 
       7.667584578230e-04       2.701586756220e+03 
       8.195608487202e-04       2.876245082836e+03 
       8.759138448861e-04       3.061571705218e+03 
       9.359307428479e-04       3.257660225644e+03 
       9.996893329892e-04       3.464167054545e+03 
       1.067227798437e-03       3.680675444871e+03 
       1.138542560311e-03       3.907502930268e+03 
       1.213588348554e-03       4.143750100378e+03 
       1.292280508853e-03       4.389101283850e+03 
       1.374499282028e-03       4.642893058312e+03 
       1.460095571591e-03       4.903886266926e+03 
       1.477104874446e-03       4.955564244149e+03 
       1.548897590154e-03       5.171577888746e+03 
       1.640717759625e-03       5.444857555272e+03 
       1.735359318630e-03       5.722975059225e+03 
       1.832622229343e-03       6.005108403566e+03 
       1.932308135884e-03       6.290164251179e+03 
       2.034224275304e-03       6.577439884482e+03 
       2.138186359949e-03       6.866274571330e+03 
       2.244020529309e-03       7.155843203855e+03 
       2.351564512739e-03       7.445680285161e+03 
       2.460668158844e-03       7.735000060062e+03 
       2.571193482105e-03       8.023424509102e+03 
       2.683014360467e-03       8.310423683345e+03 
       2.796015995652e-03       8.595792421949e+03 
       2.910094225186e-03       8.878927503456e+03 
       3.025154753989e-03       9.159678337813e+03 
       3.141112355343e-03       9.437695730166e+03 
       3.257890076204e-03       9.712817828503e+03 
       3.375418470343e-03       9.984808946121e+03 
       3.493634873976e-03       1.025351623919e+04 
       3.612482732204e-03       1.051878338469e+04 
       3.731910979945e-03       1.078049908629e+04 
       3.851873477990e-03       1.103854939441e+04 
       3.972328502656e-03       1.129287437461e+04 
       4.093238286306e-03       1.154337922413e+04 
       4.214568605205e-03       1.179004170125e+04 
       4.336288410883e-03       1.203278684154e+04 
       4.458369501056e-03       1.227160202241e+04 
       4.580786226278e-03       1.250648277387e+04 
       4.703515228653e-03       1.273735552344e+04 
       4.826535209204e-03       1.296427796130e+04 
       4.949826720792e-03       1.318721584882e+04 
       5.073371983732e-03       1.340618873478e+04 
       5.197154721548e-03       1.362119308948e+04 
       5.321160014603e-03       1.383227789292e+04 
       5.445374169540e-03       1.403944205513e+04 
       5.569784602744e-03       1.424270422223e+04 
       5.694379736203e-03       1.444206407044e+04 
       5.819148904374e-03       1.463753411243e+04 
       5.944082270783e-03       1.482911131773e+04 
       6.069170753267e-03       1.501690134690e+04 
       6.194405956875e-03       1.520099006197e+04 
       6.319780113586e-03       1.538145506107e+04 
       6.445286028067e-03       1.556056036586e+04 
       6.570917028824e-03       1.573136797651e+04 
       6.696666924141e-03       1.590247720057e+04 
       6.822529962299e-03       1.606774540439e+04 
       6.948500795611e-03       1.622900855786e+04 
       7.074574447868e-03       1.638790004304e+04 
       7.200746284837e-03       1.654566600889e+04 
       7.327011987489e-03       1.669621077078e+04 
       7.453367527690e-03       1.684412521191e+04 
       7.579809146078e-03       1.698901191818e+04 
       7.706333331938e-03       1.713134783179e+04 
       7.832936804838e-03       1.727245391842e+04 
       7.959616497891e-03       1.740584897574e+04 
       8.086369542449e-03       1.753648185315e+04 
       8.213193254116e-03       1.766812517449e+04 
       8.340085119943e-03       1.778995404903e+04 
       8.467042786687e-03       1.791274586388e+04 
       8.594064050053e-03       1.803226118461e+04 
       8.721146844808e-03       1.815146025327e+04 
       8.848289235702e-03       1.826844854513e+04 
       8.975489409112e-03       1.837293084143e+04 
       9.102745665353e-03       1.848302764885e+04 
       9.230056411594e-03       1.858544805168e+04 
       9.357420155322e-03       1.869269127504e+04 
       9.484835498316e-03       1.878645269090e+04 
       9.612301131073e-03       1.888581727619e+04 
       9.739815827664e-03       1.897730704096e+04 
       9.867378440974e-03       1.906916988983e+04 
       9.994987898295e-03       1.915738853634e+04 
       1.012264319724e-02       1.924274804578e+04 
       1.025034340199e-02       1.932738511658e+04 
       1.037808763972e-02       1.940496554283e+04 
