# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.236190999377e-10       5.608377853571e-15       5.266183924242e-13       0.000000000000e+00       1.021015477907e-08       8.513079160776e-10      -1.963663762740e-12 
    3       1.927127512775e-10       7.521943785520e-15       5.886423642487e-13       0.000000000000e+00       6.304568141045e-09       5.775662186154e-10      -1.477715926620e-12 
    4       1.706096342962e-10       6.820695624115e-15       5.374261622429e-13       0.000000000000e+00       4.350033321623e-09       4.226854156742e-10      -9.836618100022e-13 
    5       1.554077420172e-10       4.765520970101e-15       4.393574982745e-13       0.000000000000e+00       3.218274192069e-09       3.248858153440e-10      -5.815399794875e-13 
    6       1.448955237192e-10       2.737081765323e-15       3.353990655931e-13       0.000000000000e+00       2.490942796201e-09       2.580795611319e-10      -2.781817000152e-13 
    7       1.375225731941e-10       1.423645777085e-15       2.475500429468e-13       0.000000000000e+00       1.990558136778e-09       2.099341610353e-10      -6.903870241758e-14 
    8       1.323622750106e-10       8.176200731171e-16       1.826854004334e-13       0.000000000000e+00       1.630177500239e-09       1.740309907447e-10       5.339554737050e-14 
    9       1.288709487155e-10       6.072353379482e-16       1.398442558677e-13       0.000000000000e+00       1.361624990590e-09       1.465963564472e-10       1.029633622727e-13 
   10       1.265105846067e-10       5.199271939153e-16       1.156184464821e-13       0.000000000000e+00       1.155524544896e-09       1.251249086046e-10       9.978912845361e-14 
   11       1.250018165500e-10       4.436085751523e-16       1.057576465261e-13       0.000000000000e+00       9.716321270612e-10       1.079915015689e-10       6.653484379868e-14 
   12       1.242141658568e-10       3.777178403113e-16       1.055216632705e-13       0.000000000000e+00       8.432713000750e-10       9.381481187134e-11       2.285600811723e-14 
   13       1.239021306660e-10       3.435908955256e-16       1.106425332236e-13       0.000000000000e+00       7.382565345137e-10       8.217112483808e-11      -1.641346063363e-14 
   14       1.240463362963e-10       3.395137896432e-16       1.179763234210e-13       0.000000000000e+00       6.513753114401e-10       7.252916289172e-11      -4.275557523548e-14 
   15       1.245428252968e-10       3.474484466096e-16       1.255500559744e-13       0.000000000000e+00       5.785038486820e-10       6.429166662597e-11      -5.404626478061e-14 
