# Matter power spectrum P(k) at redshift z=0
# for k=9.87366e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.873660637144e-06       5.582466269614e+01 
       2.251649440715e-05       1.239205420155e+02 
       3.520117817916e-05       1.904906603120e+02 
       4.796058545533e-05       2.569314917058e+02 
       6.082810534413e-05       3.233504671055e+02 
       7.383792941506e-05       3.900413093272e+02 
       8.702534729644e-05       4.572570935754e+02 
       1.004270548187e-04       5.252323641410e+02 
       1.140814785349e-04       5.941944707997e+02 
       1.280291204829e-04       6.643704574972e+02 
       1.423129270653e-04       7.359918746735e+02 
       1.569786858875e-04       8.092985503782e+02 
       1.720754542634e-04       8.845418253537e+02 
       1.876560228200e-04       9.619875171141e+02 
       2.037774171291e-04       1.041918753125e+03 
       2.205014394601e-04       1.124638746273e+03 
       2.378952514558e-04       1.207211222207e+03 
       2.560319966048e-04       1.296223657152e+03 
       2.749914586095e-04       1.390354790556e+03 
       2.948607478623e-04       1.487465700494e+03 
       3.157350029379e-04       1.585620961610e+03 
       3.377180869579e-04       1.691245636261e+03 
       3.609232495414e-04       1.803706844331e+03 
       3.854737135734e-04       1.922299263719e+03 
       4.115031320969e-04       2.044876036598e+03 
       4.391558445182e-04       2.178311059121e+03 
       4.685868438127e-04       2.315334706506e+03 
       4.999613491897e-04       2.465763905577e+03 
       5.334538645408e-04       2.622822462013e+03 
       5.692465961705e-04       2.787225709004e+03 
       6.075271094277e-04       2.965445550290e+03 
       6.484851295044e-04       3.153513767354e+03 
       6.923084431829e-04       3.354877788026e+03 
       7.391779396941e-04       3.568920867480e+03 
       7.892619388479e-04       3.797168035297e+03 
       8.427100837322e-04       4.036225908098e+03 
       8.996472041271e-04       4.291280590971e+03 
       9.601676572502e-04       4.558921442464e+03 
       1.024330693413e-03       4.840335987385e+03 
       1.092157351026e-03       5.135519633793e+03 
       1.163629250693e-03       5.443680180636e+03 
       1.238689448479e-03       5.763749748381e+03 
       1.317245262966e-03       6.095187617967e+03 
       1.399172760517e-03       6.437104619553e+03 
       1.477104874446e-03       6.758197462002e+03 
