# Matter power spectrum P(k) at redshift z=0
# for k=9.87366e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.873660637144e-06       5.499027332165e+01 
       2.251649440715e-05       1.220653547827e+02 
       3.520117817916e-05       1.882528510272e+02 
       4.796058545533e-05       2.538939419509e+02 
       6.082810534413e-05       3.194958730515e+02 
       7.383792941506e-05       3.853438718430e+02 
       8.702534729644e-05       4.516825771568e+02 
       1.004270548187e-04       5.187377774711e+02 
       1.140814785349e-04       5.867274859966e+02 
       1.280291204829e-04       6.558686089888e+02 
       1.423129270653e-04       7.263815485819e+02 
       1.569786858875e-04       7.984937631926e+02 
       1.720754542634e-04       8.724427858478e+02 
       1.876560228200e-04       9.484789665108e+02 
       2.037774171291e-04       1.026868090876e+03 
       2.205014394601e-04       1.107893951731e+03 
       2.378952514558e-04       1.193322867007e+03 
       2.560319966048e-04       1.280698244628e+03 
       2.749914586095e-04       1.371124994915e+03 
       2.948607478623e-04       1.466130536943e+03 
       3.157350029379e-04       1.567201519863e+03 
       3.377180869579e-04       1.672122073798e+03 
       3.609232495414e-04       1.781895241913e+03 
       3.854737135734e-04       1.897602267502e+03 
       4.115031320969e-04       2.021025657304e+03 
       4.391558445182e-04       2.149959703034e+03 
       4.685868438127e-04       2.288616000044e+03 
       4.999613491897e-04       2.433561551248e+03 
       5.334538645408e-04       2.588820744221e+03 
       5.692465961705e-04       2.755111535765e+03 
       6.075271094277e-04       2.930611457678e+03 
       6.484851295044e-04       3.118082487560e+03 
       6.923084431829e-04       3.316983389182e+03 
       7.391779396941e-04       3.528399856311e+03 
       7.892619388479e-04       3.752356146988e+03 
       8.427100837322e-04       3.990903715263e+03 
       8.996472041271e-04       4.242086431116e+03 
       9.601676572502e-04       4.507491837808e+03 
       1.024330693413e-03       4.786428049293e+03 
       1.092157351026e-03       5.078441970778e+03 
       1.163629250693e-03       5.383133806218e+03 
       1.238689448479e-03       5.699944399661e+03 
       1.317245262966e-03       6.027875494978e+03 
       1.399172760517e-03       6.365901753385e+03 
       1.477104874446e-03       6.683950875755e+03 
       1.484322415178e-03       6.713208155382e+03 
       1.572525381995e-03       7.068224939502e+03 
       1.663599838048e-03       7.430209064429e+03 
       1.757356934801e-03       7.797909332263e+03 
       1.853606036718e-03       8.169908759486e+03 
       1.952159061971e-03       8.545241369066e+03 
       2.052833866358e-03       8.922937553493e+03 
       2.155456707258e-03       9.301914844024e+03 
       2.259863886669e-03       9.681432673147e+03 
       2.365902704355e-03       1.006075299800e+04 
       2.473431860810e-03       1.043893478435e+04 
       2.582321442683e-03       1.081548699346e+04 
       2.692452607427e-03       1.118977784661e+04 
       2.803717064241e-03       1.156134219318e+04 
       2.916016428392e-03       1.192965954158e+04 
       3.029261507716e-03       1.229453833388e+04 
       3.143371564459e-03       1.265551865450e+04 
       3.258273582837e-03       1.301238822210e+04 
       3.373901562741e-03       1.336483862420e+04 
       3.490195852427e-03       1.371266025530e+04 
       3.607102527442e-03       1.405568947886e+04 
       3.724572819076e-03       1.439379798966e+04 
       3.842562592868e-03       1.472685138010e+04 
       3.961031875867e-03       1.505482247995e+04 
       4.079944430201e-03       1.537753522161e+04 
       4.199267369858e-03       1.569499199974e+04 
       4.318970817233e-03       1.600711674009e+04 
       4.439027595940e-03       1.631386980362e+04 
       4.559412956436e-03       1.661532355446e+04 
       4.680104331159e-03       1.691138182533e+04 
       4.801081116122e-03       1.720203968872e+04 
       4.922324476114e-03       1.748732245101e+04 
       5.043817170953e-03       1.776726515119e+04 
       5.165543400442e-03       1.804201896896e+04 
       5.287488665955e-03       1.830861437209e+04 
       5.409639646782e-03       1.857109272737e+04 
       5.531984089562e-03       1.883358101443e+04 
       5.654510709342e-03       1.908376554080e+04 
       5.777209100944e-03       1.933568888251e+04 
       5.900069659495e-03       1.957584867758e+04 
       6.023083509074e-03       1.981095584272e+04 
       6.146242438603e-03       2.005091361523e+04 
       6.269538844156e-03       2.027994615282e+04 
       6.392965676999e-03       2.050136070265e+04 
       6.516516396727e-03       2.072171808764e+04 
       6.640184928951e-03       2.092907247254e+04 
       6.763965627051e-03       2.113902010253e+04 
       6.887853237556e-03       2.134006608707e+04 
       7.011842868779e-03       2.154650109561e+04 
       7.135929962360e-03       2.174189710864e+04 
       7.260110267419e-03       2.193070408900e+04 
       7.384379817059e-03       2.211874496724e+04 
       7.508734906975e-03       2.229516659810e+04 
       7.633172075954e-03       2.247618788890e+04 
       7.757688088095e-03       2.264559049260e+04 
       7.882279916567e-03       2.281721339751e+04 
       8.006944728753e-03       2.297822654300e+04 
       8.131679872666e-03       2.313520701270e+04 
       8.256482864496e-03       2.329773112151e+04 
       8.381351377192e-03       2.344437388670e+04 
       8.506283229987e-03       2.359841384650e+04 
       8.631276378765e-03       2.374322526076e+04 
       8.756328907207e-03       2.388165663248e+04 
       8.881439018649e-03       2.401460389901e+04 
       9.006605028567e-03       2.415045687831e+04 
       9.131825357661e-03       2.427700449655e+04 
       9.257098525470e-03       2.440339642387e+04 
       9.382423144471e-03       2.452382908171e+04 
