# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504524560e-22       4.634894139599e-07       2.157545691934e+18       1.578067287750e+04       1.578067287750e-08       1.578067287750e+16       2.675958480731e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+26       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.270295769850e+36       4.655003412784e+36       9.894489678166e+27       1.035948503092e+03       9.093710810239e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693954626e-22       4.667344910558e-07       2.127654277017e+18       1.578067287750e+04       1.589113758764e-08       1.567097604518e+16       2.694690190090e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+26       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.235341324558e+36       4.526912722507e+36       9.689580789680e+27       1.027245465387e+03       1.268684280951e-07       1.433565615449e+02 
       9.861456399039e+11       7.772375239993e-22       4.700013960246e-07       2.098176988525e+18       1.578067287749e+04       1.600237555075e-08       1.556204175290e+16       2.713553021414e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+26       1.926767871034e+23       5.987821621878e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.201348712939e+36       4.402346675175e+36       9.488915440167e+27       1.018644250344e+03       2.537368561799e-07       7.167828077468e+01 
       9.792906056642e+11       7.881569339738e-22       4.732919478556e-07       2.069108089002e+18       1.578067287749e+04       1.611439217960e-08       1.545386470000e+16       2.732547892557e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+26       1.886865675401e+23       5.823056070212e+35       1.941018690071e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.168291468430e+36       4.281208283974e+36       9.292405748507e+27       1.010143013031e+03       3.806052842635e-07       4.778552051681e+01 
       9.724832231025e+11       7.992297507389e-22       4.766043275595e-07       2.040441920481e+18       1.578067287749e+04       1.622719292486e-08       1.534643962264e+16       2.751675727798e-07       2.460976933108e+36       2.254544804314e+27       1.023304649743e+26       1.847789830072e+23       5.662824335472e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.136143852743e+36       4.163403230856e+36       9.099965653543e+27       1.001739952632e+03       5.074737123460e-07       3.583914038766e+01 
       9.657231609756e+11       8.104581295066e-22       4.799403541256e-07       2.012172903381e+18       1.578067287748e+04       1.634078327533e-08       1.523976129358e+16       2.770937457886e-07       2.393258779893e+36       2.207854546916e+27       1.002112630227e+26       1.809523221834e+23       5.507001661629e+35       1.835667220543e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.104880835825e+36       4.048839793100e+36       8.911510876390e+27       9.934333112775e+02       6.343421404275e-07       2.867131231011e+01 
       9.590100903432e+11       8.218442557675e-22       4.833000275539e-07       1.984295535423e+18       1.578067287748e+04       1.645516875825e-08       1.513382452192e+16       2.790334020083e-07       2.327404011991e+36       2.162131216470e+27       9.813594845995e+25       1.772049091875e+23       5.355466725537e+35       1.785155575179e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.074478076368e+36       3.937428771900e+36       8.726958883533e+27       9.852213729085e+02       7.612105685078e-07       2.389276025838e+01 
       9.523436845513e+11       8.333903457162e-22       4.866833478445e-07       1.956804390559e+18       1.578067287748e+04       1.657035493956e-08       1.502862415285e+16       2.809866358216e-07       2.263361355045e+36       2.117354788504e+27       9.610361240488e+25       1.735351028451e+23       5.208101542473e+35       1.736033847491e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.044911902861e+36       3.829083422912e+36       8.546228850670e+27       9.771024621734e+02       8.880789965870e-07       2.047950879285e+01 
       9.457236192167e+11       8.450986466824e-22       4.900903149974e-07       1.929694117916e+18       1.578067287747e+04       1.668634742413e-08       1.492415506737e+16       2.829535422716e-07       2.201080945602e+36       2.073505653243e+27       9.411336479859e+25       1.699412959693e+23       5.064791374274e+35       1.688263791425e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.016159295153e+36       3.723719388719e+36       8.369241627326e+27       9.690749433520e+02       1.014947424665e-06       1.791957019370e+01 
       9.391495722112e+11       8.569714375688e-22       4.935209290124e-07       1.902959440752e+18       1.578067287747e+04       1.680315185610e-08       1.482041218209e+16       2.849342170667e-07       2.140514292290e+36       2.030564607014e+27       9.216433401480e+25       1.664219146573e+23       4.925424640001e+35       1.641808213334e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.881978665371e+35       3.621254633146e+36       8.195919702183e+27       9.611372193101e+02       1.141815852742e-06       1.592850683880e+01 
