# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.700164992629e-10       6.777077507030e-15       7.565671045763e-13       1.690430389243e-19       1.256374834919e-08       1.380053422367e-09      -1.796631465150e-12 
    3       3.006923959961e-10       8.961804158882e-15       8.223642187194e-13       3.379951244203e-19       7.547335303182e-09       9.144604928403e-10      -1.303019888664e-12 
    4       2.530749737083e-10       8.067930539321e-15       7.153114087071e-13       5.631328432048e-19       5.139898647643e-09       6.574887436871e-10      -8.797330536062e-13 
    5       2.203397508624e-10       5.591182284693e-15       5.472730255256e-13       8.443615469015e-19       3.762518756760e-09       4.973745738391e-10      -5.536153857442e-13 
    6       1.971714236173e-10       3.170539087599e-15       3.898240149543e-13       1.181584568128e-18       2.884940716208e-09       3.892033686332e-10      -2.924307548892e-13 
    7       1.803850888477e-10       1.606617777372e-15       2.700431408500e-13       1.574715871177e-18       2.285829795235e-09       3.120686159160e-10      -9.604674930996e-14 
    8       1.679792831929e-10       8.812920011096e-16       1.882606641831e-13       2.023693566799e-18       1.855975168889e-09       2.549991092102e-10       2.650896152941e-14 
    9       1.588104143540e-10       6.304736354683e-16       1.376090101089e-13       2.528493518771e-18       1.536162241528e-09       2.116369011722e-10       7.891806436648e-14 
   10       1.519715683751e-10       5.379962724540e-16       1.114432906361e-13       3.089142245875e-18       1.291679364210e-09       1.779292003018e-10       7.775251764157e-14 
   11       1.468101866471e-10       4.694718201393e-16       1.030549144615e-13       3.705728338194e-18       1.090625229425e-09       1.516438726777e-10       4.545185253835e-14 
   12       1.430303583173e-10       4.156557183701e-16       1.055871921141e-13       4.378411660738e-18       9.389955047775e-10       1.299087406656e-10       2.175900241133e-15 
   13       1.402671613742e-10       3.928259663318e-16       1.132297540505e-13       5.107429708453e-18       8.155315063095e-10       1.119531406911e-10      -3.663023519704e-14 
   14       1.383415498411e-10       3.942984590556e-16       1.220021738663e-13       5.893100600803e-18       7.145387034194e-10       9.731934828082e-11      -6.191167009100e-14 
   15       1.370978469101e-10       3.990207480240e-16       1.296442835176e-13       6.735822355913e-18       6.300203674965e-10       8.492561979999e-11      -7.146232837628e-14 
   16       1.364080786377e-10       3.961900312693e-16       1.354328158493e-13       7.636068257206e-18       5.590750547454e-10       7.441159783366e-11      -6.737584767600e-14 
   17       1.361493167039e-10       3.933806300749e-16       1.397579701877e-13       8.594378311676e-18       4.988636003684e-10       6.553029046321e-11      -5.449221723362e-14 
   18       1.362667709150e-10       4.073902016754e-16       1.435622330250e-13       9.611349091856e-18       4.471313168281e-10       5.800294993108e-11      -3.863266490562e-14 
   19       1.367484199965e-10       4.461011969918e-16       1.478075189454e-13       1.068760762668e-17       4.029294542226e-10       5.162071262461e-11      -2.396525154970e-14 
   20       1.374931907715e-10       5.126350138790e-16       1.534604291514e-13       1.182381565717e-17       3.644054921006e-10       4.602053569271e-11      -1.422754754494e-14 
   21       1.384741965930e-10       6.039714351617e-16       1.607986879540e-13       1.302062001405e-17       3.308358236697e-10       4.111708780496e-11      -1.011434082337e-14 
   22       1.396415240506e-10       7.140786421935e-16       1.697077637195e-13       1.427865953418e-17       3.013029284779e-10       3.683749624916e-11      -1.081134311625e-14 
   23       1.409929960624e-10       8.407073360901e-16       1.796380856741e-13       1.559851532757e-17       2.753555035547e-10       3.312787703139e-11      -1.462065946082e-14 
   24       1.425086209340e-10       9.822332996441e-16       1.897761466519e-13       1.698071751854e-17       2.523571740709e-10       2.988837095888e-11      -1.923469386382e-14 
   25       1.441751336630e-10       1.136706480890e-15       1.994813167412e-13       1.842569826014e-17       2.319730528525e-10       2.704682413529e-11      -2.300766566017e-14 
   26       1.459607272918e-10       1.302301540400e-15       2.081477971984e-13       1.993379868757e-17       2.137562543350e-10       2.451265703428e-11      -2.456372476185e-14 
   27       1.478611303539e-10       1.480178926881e-15       2.154878527823e-13       2.150523461790e-17       1.974540192770e-10       2.225382264911e-11      -2.381785225732e-14 
   28       1.498665961223e-10       1.672727992312e-15       2.213672777153e-13       2.314010235059e-17       1.827588247774e-10       2.023989538842e-11      -2.123142789602e-14 
   29       1.519796049309e-10       1.882553660366e-15       2.259192874837e-13       2.483836904743e-17       1.695699851946e-10       1.845748363386e-11      -1.751472091171e-14 
   30       1.541888087059e-10       2.112723231099e-15       2.294334654642e-13       2.659986331044e-17       1.577134443602e-10       1.687904417850e-11      -1.364856230760e-14 
   31       1.564687184823e-10       2.366272570259e-15       2.322385881135e-13       2.842428360836e-17       1.469086066576e-10       1.546179734969e-11      -1.066940308697e-14 
   32       1.588200887810e-10       2.644060739381e-15       2.344424098451e-13       3.031125503989e-17       1.370842949103e-10       1.419273945180e-11      -8.856217144968e-15 
   33       1.612413267395e-10       2.946088911905e-15       2.360984015903e-13       3.226027633552e-17       1.281602908592e-10       1.305758659825e-11      -8.241247267705e-15 
   34       1.637223097146e-10       3.272192226030e-15       2.372204957031e-13       3.427073347958e-17       1.199971590300e-10       1.203387346803e-11      -8.740687458563e-15 
   35       1.662650133080e-10       3.622616432437e-15       2.375990507570e-13       3.634203248873e-17       1.125406122893e-10       1.111224101863e-11      -9.894377344867e-15 
   36       1.688680262339e-10       3.997616429878e-15       2.369147803581e-13       3.847350128784e-17       1.057159676862e-10       1.028102302552e-11      -1.101840697840e-14 
