# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504523838e-22       4.634894139599e-07       2.157545692141e+18       1.526493887967e+04       1.526493887967e-08       1.526493887967e+16       2.675958480475e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+26       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.270295769850e+36       4.655003413674e+36       1.078454799335e+28       7.124374079648e+02       8.417672076161e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693953893e-22       4.667344910558e-07       2.127654277221e+18       1.526493887966e+04       1.537179345182e-08       1.515882709003e+16       2.694690189832e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+26       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.235341324558e+36       4.526912723378e+36       1.056120653623e+28       7.064521976896e+02       1.174368579348e-07       1.433565615448e+02 
       9.861456399039e+11       7.772375239250e-22       4.700013960246e-07       2.098176988728e+18       1.526493887966e+04       1.547939600598e-08       1.505345291959e+16       2.713553021155e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+26       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.201348712939e+36       4.402346676028e+36       1.034249034542e+28       7.005370123947e+02       2.348737158600e-07       7.167828077461e+01 
       9.792906056642e+11       7.881569338984e-22       4.732919478556e-07       2.069108089204e+18       1.526493887966e+04       1.558775177802e-08       1.494881124090e+16       2.732547892296e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+26       1.886865675401e+23       5.823056070212e+35       1.941018690071e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.168291468430e+36       4.281208284810e+36       1.012830363446e+28       6.946905832926e+02       3.523105737841e-07       4.778552051675e+01 
       9.724832231025e+11       7.992297506624e-22       4.766043275595e-07       2.040441920681e+18       1.526493887965e+04       1.569686604046e-08       1.484489696216e+16       2.751675727535e-07       2.460976933108e+36       2.254544804314e+27       1.023304649743e+26       1.847789830072e+23       5.662824335472e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.136143852743e+36       4.163403231674e+36       9.918552600548e+27       6.889116719346e+02       4.697474317071e-07       3.583914038761e+01 
       9.657231609756e+11       8.104581294291e-22       4.799403541256e-07       2.012172903580e+18       1.526493887965e+04       1.580674410275e-08       1.474170502697e+16       2.770937457621e-07       2.393258779892e+36       2.207854546916e+27       1.002112630227e+26       1.809523221834e+23       5.507001661628e+35       1.835667220543e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.104880835825e+36       4.048839793901e+36       9.713145383513e+27       6.831990694073e+02       5.871842896290e-07       2.867131231006e+01 
       9.590100903431e+11       8.218442556888e-22       4.833000275539e-07       1.984295535621e+18       1.526493887965e+04       1.591739131146e-08       1.463923041407e+16       2.790334019816e-07       2.327404011990e+36       2.162131216470e+27       9.813594845995e+25       1.772049091875e+23       5.355466725536e+35       1.785155575179e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.074478076368e+36       3.937428772685e+36       9.511992025535e+27       6.775515955514e+02       7.046211475497e-07       2.389276025833e+01 
       9.523436845512e+11       8.333903456363e-22       4.866833478445e-07       1.956804390756e+18       1.526493887964e+04       1.602881305064e-08       1.453746813711e+16       2.809866357947e-07       2.263361355044e+36       2.117354788504e+27       9.610361240487e+25       1.735351028450e+23       5.208101542473e+35       1.736033847491e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.044911902861e+36       3.829083423681e+36       9.315004431768e+27       6.719680982024e+02       8.220580054695e-07       2.047950879280e+01 
       9.457236192167e+11       8.450986466014e-22       4.900903149974e-07       1.929694118111e+18       1.526493887964e+04       1.614101474199e-08       1.443641324439e+16       2.829535422445e-07       2.201080945601e+36       2.073505653242e+27       9.411336479858e+25       1.699412959693e+23       5.064791374274e+35       1.688263791425e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.016159295153e+36       3.723719389472e+36       9.122096331760e+27       6.664474524506e+02       9.394948633881e-07       1.791957019365e+01 
       9.391495722112e+11       8.569714374866e-22       4.935209290124e-07       1.902959440945e+18       1.526493887964e+04       1.625400184518e-08       1.433606081866e+16       2.849342170394e-07       2.140514292290e+36       2.030564607014e+27       9.216433401480e+25       1.664219146573e+23       4.925424640001e+35       1.641808213334e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.881978665370e+35       3.621254633883e+36       8.933183241666e+27       6.609885599229e+02       1.056931721306e-06       1.592850683875e+01 
