# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.653866702200e-10       6.011330853662e-15       5.993310724419e-13       1.896673331732e-19       1.095203509774e-08       1.015206772021e-09      -1.915381253455e-12 
    3       2.231441934620e-10       8.020990298718e-15       6.622726694254e-13       3.792900180853e-19       6.717543206088e-09       6.815980888156e-10      -1.423545459581e-12 
    4       1.936101124323e-10       7.248506738274e-15       5.944382375147e-13       6.320577356288e-19       4.612823778478e-09       4.947850355129e-10      -9.460391882707e-13 
    5       1.733807250042e-10       5.044799774993e-15       4.747522105246e-13       9.479298402188e-19       3.398259347465e-09       3.774825191923e-10      -5.660259407050e-13 
    6       1.592792020719e-10       2.881762879700e-15       3.535196021340e-13       1.326870847925e-18       2.619684016913e-09       2.978172565362e-10      -2.771182966371e-13 
    7       1.492754778219e-10       1.485120031049e-15       2.548392104298e-13       1.768859352983e-18       2.085872901071e-09       2.408298255580e-10      -7.391003750228e-14 
    8       1.421560038534e-10       8.414029681570e-16       1.841330607798e-13       2.273897511388e-18       1.702827850280e-09       1.985258212340e-10       4.703636088568e-14 
    9       1.370346879394e-10       6.188709960855e-16       1.387230570034e-13       2.842020528802e-18       1.418073909159e-09       1.661894538489e-10       9.642969471284e-14 
   10       1.334218051640e-10       5.298530236419e-16       1.139322741824e-13       3.473305573386e-18       1.199756000452e-09       1.408996544804e-10       9.312994273661e-14 
   11       1.309607293542e-10       4.556368048532e-16       1.045467434604e-13       4.167879546487e-18       1.009003123872e-09       1.209186119260e-10       5.974084654806e-14 
   12       1.293040790249e-10       3.935566486640e-16       1.052148832602e-13       4.925925185022e-18       8.730731914853e-10       1.043991926586e-10       1.574777413242e-14 
   13       1.283530906702e-10       3.634358438374e-16       1.112312700350e-13       5.747685037443e-18       7.625154862524e-10       9.100019277960e-11      -2.333787633629e-14 
   14       1.279540342771e-10       3.616681422909e-16       1.190438990420e-13       6.633462947446e-18       6.707782887588e-10       7.962460637366e-11      -4.943830142246e-14 
   15       1.279270700206e-10       3.690063244977e-16       1.266158483179e-13       7.583622792153e-18       5.942851103064e-10       7.021412146752e-11      -5.984739291179e-14 
   16       1.282917722693e-10       3.740579653987e-16       1.331575978585e-13       8.598584349398e-18       5.297412154823e-10       6.225387818058e-11      -5.686476288019e-14 
   17       1.289598316587e-10       3.819981691321e-16       1.386956961526e-13       9.678816306186e-18       4.747205209399e-10       5.538516140736e-11      -4.545103267463e-14 
   18       1.298617813430e-10       4.065341992991e-16       1.438962495707e-13       1.082482810913e-17       4.272728142753e-10       4.943660570387e-11      -3.103878156962e-14 
   19       1.309916861669e-10       4.540460829243e-16       1.494722111212e-13       1.203715011219e-17       3.865684101049e-10       4.432175119863e-11      -1.757484609176e-14 
   20       1.322832594173e-10       5.268257322234e-16       1.561237119947e-13       1.331633612934e-17       3.509751049249e-10       3.984777199766e-11      -8.691612504595e-15 
   21       1.337395363318e-10       6.221131233934e-16       1.640549274688e-13       1.466292646270e-17       3.198718433229e-10       3.597135457610e-11      -5.152838186474e-15 
   22       1.353425978488e-10       7.347912874963e-16       1.731856499757e-13       1.607745240571e-17       2.924451409721e-10       3.262371332053e-11      -6.291748082327e-15 
