# Matter power spectrum P(k) at redshift z=0
# for k=9.67645e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.676454560645e-06       5.733518523259e+01 
       2.218173623275e-05       1.279110970140e+02 
       3.472729243750e-05       1.973321213477e+02 
       4.734493038587e-05       2.662992618391e+02 
       6.006694358053e-05       3.352077544248e+02 
       7.292638327492e-05       4.043531285064e+02 
       8.595733801073e-05       4.739877693678e+02 
       9.919522475825e-05       5.443438100343e+02 
       1.126770952117e-04       6.156447376361e+02 
       1.264419608229e-04       6.880146334988e+02 
       1.405311401704e-04       7.618641595103e+02 
       1.549886322359e-04       8.382507043537e+02 
       1.698615190494e-04       9.156680863430e+02 
       1.852004009300e-04       9.946216544264e+02 
       2.010598671150e-04       1.076497943797e+03 
       2.174990038539e-04       1.162431202310e+03 
       2.345819409227e-04       1.249993223891e+03 
       2.523784358457e-04       1.340846381436e+03 
       2.709644927052e-04       1.435438488473e+03 
       2.904230090430e-04       1.533954297161e+03 
       3.108444397461e-04       1.638540085921e+03 
       3.323274606641e-04       1.746379965455e+03 
       3.549796067170e-04       1.862204026763e+03 
       3.789178491725e-04       1.981352548961e+03 
       4.042690644682e-04       2.109829409801e+03 
       4.311703325610e-04       2.243586427749e+03 
       4.597689868968e-04       2.385923332028e+03 
       4.902223219700e-04       2.535521967511e+03 
       5.226968503503e-04       2.694926065439e+03 
       5.573669924221e-04       2.865726464431e+03 
       5.944130836661e-04       3.047299339466e+03 
       6.340186018695e-04       3.239450046683e+03 
       6.763665561374e-04       3.443597087252e+03 
       7.216350454977e-04       3.660436256489e+03 
       7.699920879627e-04       3.889952559502e+03 
       8.215899352841e-04       4.134183361997e+03 
       8.765592099083e-04       4.392027585524e+03 
       9.350033058230e-04       4.663809903118e+03 
       9.969935561617e-04       4.949798726663e+03 
       1.062565662056e-03       5.249362962972e+03 
       1.131717785673e-03       5.562019288006e+03 
       1.204410541795e-03       5.887636188724e+03 
       1.280568904606e-03       6.224846946250e+03 
       1.360085822784e-03       6.572825012420e+03 
       1.442827152378e-03       6.930495018149e+03 
       1.477104874446e-03       7.077214958687e+03 
       1.528637407072e-03       7.296735916246e+03 
       1.617345802212e-03       7.670203669771e+03 
       1.708772122990e-03       8.049839838866e+03 
       1.802732053648e-03       8.434583686905e+03 
       1.899041733311e-03       8.822870886674e+03 
       1.997521428641e-03       9.213803922156e+03 
       2.097998316112e-03       9.606286557825e+03 
       2.200308439701e-03       9.999341923974e+03 
       2.304297953096e-03       1.039247233208e+04 
       2.409823774050e-03       1.078440287655e+04 
       2.516753779048e-03       1.117483478596e+04 
       2.624966655699e-03       1.156289734806e+04 
       2.734351513640e-03       1.194807838687e+04 
       2.844807336224e-03       1.232991746663e+04 
       2.956242337432e-03       1.270810016282e+04 
       3.068573272491e-03       1.308209870671e+04 
       3.181724737413e-03       1.345174593817e+04 
       3.295628481889e-03       1.381674056554e+04 
       3.410222751719e-03       1.417679189265e+04 
       3.525451670654e-03       1.453176150610e+04 
       3.641264666990e-03       1.488151096388e+04 
       3.757615947004e-03       1.522585883371e+04 
       3.874464015096e-03       1.556472874453e+04 
