# Matter power spectrum P(k) at redshift z=0
# for k=9.64645e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.646448868870e-06       5.976178716700e+01 
       2.213095154145e-05       1.334351802721e+02 
       3.465549362501e-05       2.059138461570e+02 
       4.725172329898e-05       2.779367323768e+02 
       5.995177071939e-05       3.499234259959e+02 
       7.278851721124e-05       4.228044757361e+02 
       8.579587244255e-05       4.957256932492e+02 
       9.900906306430e-05       5.694188245914e+02 
       1.124649363276e-04       6.441839702551e+02 
       1.262022822203e-04       7.202373329871e+02 
       1.402621776802e-04       7.978618825158e+02 
       1.546883564164e-04       8.745069161759e+02 
       1.695276077649e-04       9.558106225656e+02 
       1.848302077738e-04       1.039481952588e+03 
       2.006503852924e-04       1.125185525376e+03 
       2.170468251328e-04       1.214520893651e+03 
       2.340832092831e-04       1.307217175279e+03 
       2.518287955137e-04       1.403636623531e+03 
       2.703590303636e-04       1.498167889712e+03 
       2.897561901924e-04       1.600899972416e+03 
       3.101100394659e-04       1.711458694294e+03 
       3.315184894255e-04       1.825409711573e+03 
       3.540882324694e-04       1.941415286004e+03 
       3.779353176877e-04       2.069097976796e+03 
       4.031856209264e-04       2.204911734851e+03 
       4.299751486078e-04       2.338635468437e+03 
       4.584500988838e-04       2.488886192448e+03 
       4.887665877581e-04       2.642543880229e+03 
       5.210899337480e-04       2.808415928026e+03 
       5.555933858250e-04       2.985058110537e+03 
       5.924561803698e-04       3.173583949414e+03 
       6.318608293638e-04       3.371965826932e+03 
       6.739895798792e-04       3.584274425231e+03 
       7.190200486911e-04       3.809539507962e+03 
       7.671201264528e-04       4.049746403939e+03 
       8.184423579943e-04       4.303817914249e+03 
       8.731181251925e-04       4.570084219428e+03 
       9.312520642982e-04       4.851284003896e+03 
       9.929172132117e-04       5.148198742348e+03 
       1.058151380448e-03       5.459080180462e+03 
       1.126955142080e-03       5.783956654709e+03 
       1.199291710560e-03       6.121804081608e+03 
       1.275088706254e-03       6.471956712435e+03 
       1.354241640735e-03       6.833472270683e+03 
       1.436618735749e-03       7.205568628130e+03 
       1.477104874446e-03       7.385709083902e+03 
       1.522066587722e-03       7.585232863900e+03 
       1.610416158914e-03       7.973177479715e+03 
       1.701488624940e-03       8.367390641913e+03 
       1.795100710789e-03       8.766537733566e+03 
       1.891069273937e-03       9.169756860172e+03 
       1.989215017176e-03       9.575669278960e+03 
       2.089365317176e-03       9.983355359672e+03 
       2.191356229218e-03       1.039181350027e+04 
       2.295033773502e-03       1.079950126706e+04 
       2.400254628485e-03       1.120655795762e+04 
       2.506886358468e-03       1.161148994467e+04 
       2.614807292718e-03       1.201418025773e+04 
