# Matter power spectrum P(k) at redshift z=3
# for k=9.64645e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.646448868870e-06       6.847478309936e+00 
       2.213095154145e-05       1.528854938493e+01 
       3.465549362501e-05       2.359182275583e+01 
       4.725172329898e-05       3.184145630527e+01 
       5.995177071939e-05       4.008499235617e+01 
       7.278851721124e-05       4.835805252286e+01 
       8.579587244255e-05       5.669111625390e+01 
       9.900906306430e-05       6.511226709746e+01 
       1.124649363276e-04       7.364858805914e+01 
       1.262022822203e-04       8.232699942779e+01 
       1.402621776802e-04       9.117483552714e+01 
       1.546883564164e-04       1.002202897370e+02 
       1.695276077649e-04       1.094927909514e+02 
       1.848302077738e-04       1.190233450412e+02 
       2.006503852924e-04       1.288448602217e+02 
       2.170468251328e-04       1.389924671758e+02 
       2.340832092831e-04       1.495038397863e+02 
       2.518287955137e-04       1.604195186999e+02 
       2.703590303636e-04       1.717832367832e+02 
       2.897561901924e-04       1.836422423071e+02 
       3.101100394659e-04       1.960476120402e+02 
       3.315184894255e-04       2.090545420648e+02 
       3.540882324694e-04       2.227225988429e+02 
       3.779353176877e-04       2.371159067087e+02 
       4.031856209264e-04       2.523032405475e+02 
       4.299751486078e-04       2.683579841211e+02 
       4.584500988838e-04       2.853579058238e+02 
       4.887665877581e-04       3.033846955729e+02 
       5.210899337480e-04       3.225232006130e+02 
       5.555933858250e-04       3.428602965426e+02 
       5.924561803698e-04       3.644833358298e+02 
       6.318608293638e-04       3.874781329109e+02 
       6.739895798792e-04       4.119264758794e+02 
       7.190200486911e-04       4.379032016815e+02 
       7.671201264528e-04       4.654729337018e+02 
       8.184423579943e-04       4.946866522333e+02 
       8.731181251925e-04       5.255783387279e+02 
       9.312520642982e-04       5.581619882092e+02 
       9.929172132117e-04       5.924293031908e+02 
       1.058151380448e-03       6.283483526888e+02 
       1.126955142080e-03       6.658633968539e+02 
       1.199291710560e-03       7.048959508550e+02 
       1.275088706254e-03       7.453470142188e+02 
       1.354241640735e-03       7.871002550987e+02 
       1.436618735749e-03       8.300258420913e+02 
       1.477104874446e-03       8.509257831738e+02 
       1.522066587722e-03       8.739845767162e+02 
       1.610416158914e-03       9.188319982936e+02 
       1.701488624940e-03       9.644221954151e+02 
       1.795100710789e-03       1.010611142167e+03 
       1.891069273937e-03       1.057259388243e+03 
       1.989215017176e-03       1.104232374574e+03 
       2.089365317176e-03       1.151407881095e+03 
       2.191356229218e-03       1.198671124255e+03 
       2.295033773502e-03       1.245917296106e+03 
       2.400254628485e-03       1.293051714729e+03 
       2.506886358468e-03       1.339989643579e+03 
       2.614807292718e-03       1.386655859135e+03 
       2.723906157332e-03       1.432984046276e+03 
       2.834081542853e-03       1.478916095851e+03 
       2.945241272847e-03       1.524401368081e+03 
       3.057301722767e-03       1.569395969811e+03 
       3.170187125020e-03       1.613862075694e+03 
       3.283828885325e-03       1.657767306467e+03 
       3.398164927040e-03       1.701084164542e+03 
       3.513139073774e-03       1.743789519781e+03 
       3.628700475947e-03       1.785864136615e+03 
       3.744803083641e-03       1.827292235964e+03 
       3.861405165784e-03       1.868061089464e+03 
