# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504521744e-22       4.634894139599e-07       2.157545692738e+18       1.421817787585e+04       1.421817787585e-08       1.421817787585e+16       2.675958479734e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+26       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.270295769850e+36       4.655003416253e+36       1.336326165101e+28       7.408959816618e+04       6.983073306510e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693951770e-22       4.667344910558e-07       2.127654277815e+18       1.421817787585e+04       1.431770512098e-08       1.411934247850e+16       2.694690189086e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+26       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.235341324558e+36       4.526912725904e+36       1.308651659588e+28       7.346716899619e+04       9.742244416569e-08       1.433565615445e+02 
       9.861456399039e+11       7.772375237097e-22       4.700013960246e-07       2.098176989317e+18       1.421817787584e+04       1.441792905682e-08       1.402119411966e+16       2.713553020403e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+26       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.201348712939e+36       4.402346678501e+36       1.281550276323e+28       7.285202204159e+04       1.948448883233e-07       7.167828077440e+01 
       9.792906056642e+11       7.881569336801e-22       4.732919478556e-07       2.069108089789e+18       1.421817787584e+04       1.451885456022e-08       1.392372802349e+16       2.732547891539e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+26       1.886865675401e+23       5.823056070211e+35       1.941018690070e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.168291468430e+36       4.281208287231e+36       1.255010146290e+28       7.224402535542e+04       2.922673324797e-07       4.778552051657e+01 
       9.724832231024e+11       7.992297504409e-22       4.766043275595e-07       2.040441921263e+18       1.421817787584e+04       1.462048654214e-08       1.382693944735e+16       2.751675726773e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+26       1.847789830072e+23       5.662824335471e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.136143852743e+36       4.163403234045e+36       1.229019646277e+28       7.164305014578e+04       3.896897766350e-07       3.583914038744e+01 
       9.657231609756e+11       8.104581292044e-22       4.799403541256e-07       2.012172904157e+18       1.421817787583e+04       1.472282994793e-08       1.373082368158e+16       2.770937456853e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+26       1.809523221833e+23       5.507001661628e+35       1.835667220543e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.104880835825e+36       4.048839796223e+36       1.203567393777e+28       7.104897069226e+04       4.871122207893e-07       2.867131230990e+01 
       9.590100903431e+11       8.218442554609e-22       4.833000275539e-07       1.984295536194e+18       1.421817787583e+04       1.482588975756e-08       1.363537604923e+16       2.790334019043e-07       2.327404011990e+36       2.162131216469e+27       9.813594845994e+25       1.772049091874e+23       5.355466725535e+35       1.785155575178e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.074478076368e+36       3.937428774958e+36       1.178642242010e+28       7.046166426478e+04       5.845346649425e-07       2.389276025818e+01 
       9.523436845512e+11       8.333903454050e-22       4.866833478445e-07       1.956804391325e+18       1.421817787583e+04       1.492967098586e-08       1.354059190588e+16       2.809866357168e-07       2.263361355044e+36       2.117354788504e+27       9.610361240486e+25       1.735351028450e+23       5.208101542472e+35       1.736033847491e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.044911902860e+36       3.829083425907e+36       1.154233275041e+28       6.988101104449e+04       6.819571090946e-07       2.047950879265e+01 
       9.457236192166e+11       8.450986463667e-22       4.900903149974e-07       1.929694118676e+18       1.421817787582e+04       1.503417868276e-08       1.344646663940e+16       2.829535421660e-07       2.201080945601e+36       2.073505653242e+27       9.411336479857e+25       1.699412959693e+23       5.064791374273e+35       1.688263791424e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.016159295153e+36       3.723719391652e+36       1.130329802994e+28       6.930689404695e+04       7.793795532456e-07       1.791957019350e+01 
       9.391495722111e+11       8.569714372484e-22       4.935209290124e-07       1.902959441506e+18       1.421817787582e+04       1.513941793354e-08       1.335299566971e+16       2.849342169603e-07       2.140514292289e+36       2.030564607014e+27       9.216433401478e+25       1.664219146573e+23       4.925424639999e+35       1.641808213333e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.881978665367e+35       3.621254636018e+36       1.106921357375e+28       6.873919904734e+04       8.768019973957e-07       1.592850683860e+01 
