# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.498685574530e-10       5.086651147443e-15       6.188202907543e-13       0.000000000000e+00       5.923840758931e-09       1.728164857403e-11      -1.899162848069e-12 
    3       1.492042257885e-10       6.965625754272e-15       6.528258861962e-13       0.000000000000e+00       3.547989437303e-09       4.614455950970e-11      -1.570617292305e-12 
    4       1.487387161510e-10       6.644380627287e-15       6.052922324973e-13       0.000000000000e+00       2.414061877130e-09       5.351146034845e-11      -1.147199127650e-12 
    5       1.483102613967e-10       5.011819097210e-15       5.170427187785e-13       0.000000000000e+00       1.769730687738e-09       5.367197222270e-11      -7.451681292391e-13 
    6       1.480570673653e-10       3.202158549786e-15       4.164845507274e-13       0.000000000000e+00       1.361687151429e-09       5.148274769776e-11      -4.172529905980e-13 
    7       1.480391268197e-10       1.895793754890e-15       3.266887949675e-13       0.000000000000e+00       1.084557881649e-09       4.858579050121e-11      -1.831385906098e-13 
    8       1.481549445585e-10       1.214342391700e-15       2.609510792180e-13       0.000000000000e+00       8.866919466152e-10       4.568424638220e-11      -4.052173662506e-14 
    9       1.483784128760e-10       9.729447199155e-16       2.230950998794e-13       0.000000000000e+00       7.398752430854e-10       4.312595278138e-11       2.586073120130e-14 
   10       1.487226129411e-10       9.451651509892e-16       2.086752646511e-13       0.000000000000e+00       6.274016826796e-10       4.096724972212e-11       3.786648725372e-14 
   11       1.491450856207e-10       9.971239363573e-16       2.096651839130e-13       0.000000000000e+00       5.397001706501e-10       4.165979323644e-11       3.315615514928e-14 
