# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.498688977623e-10       5.086817861609e-15       6.188202869351e-13       1.667140464910e-19       5.923840758931e-09       1.728164857403e-11      -1.899162848069e-12 
    3       1.492049042718e-10       6.965959158514e-15       6.528258692324e-13       3.334030562743e-19       3.547989437303e-09       4.614455950970e-11      -1.570617292305e-12 
    4       1.487398422824e-10       6.644936253741e-15       6.052921839699e-13       5.556206198682e-19       2.414061877130e-09       5.351146034845e-11      -1.147199127650e-12 
    5       1.483119419988e-10       5.012652462825e-15       5.170426088383e-13       8.333456145923e-19       1.769730687738e-09       5.367197222270e-11      -7.451681292391e-13 
    6       1.480594061078e-10       3.203325165984e-15       4.164843359750e-13       1.166561570994e-18       1.361687151429e-09       5.148274769776e-11      -4.172529905980e-13 
    7       1.480422238172e-10       1.897349144668e-15       3.266884167710e-13       1.555262435871e-18       1.084557881649e-09       4.858579050121e-11      -1.831385906098e-13 
    8       1.481588960768e-10       1.216342114265e-15       2.609504625133e-13       1.999458683582e-18       8.866919466152e-10       4.568424638220e-11      -4.052173662506e-14 
    9       1.483833111547e-10       9.754444023297e-16       2.230941524738e-13       2.499183404140e-18       7.398752430854e-10       4.312595278138e-11       2.586073120130e-14 
   10       1.487285461338e-10       9.482205256690e-16       2.086738770293e-13       3.054497986288e-18       6.274016826796e-10       4.096724972212e-11       3.786648725372e-14 
   11       1.491521378502e-10       1.000790882715e-15       2.096632295215e-13       3.665497022632e-18       5.397001706501e-10       4.165979323644e-11       3.315615514928e-14 
   12       1.496737798759e-10       1.092611068278e-15       2.181737283299e-13       4.332312091911e-18       4.683265773329e-10       3.778652319604e-11       2.883342938105e-15 
