# Matter power spectrum P(k) at redshift z=0
# for k=1.03888e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 609
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.038884790509e-05       3.634077346299e+01 
       2.347087648536e-05       7.994436594064e+01 
       3.659973761264e-05       1.228678940143e+02 
       4.981186789834e-05       1.655513296858e+02 
       6.314431980144e-05       2.080917753925e+02 
       7.663510236842e-05       2.509718704662e+02 
       9.032353311886e-05       2.941900945735e+02 
       1.042506058952e-04       3.379931687456e+02 
       1.184593795304e-04       3.824988651144e+02 
       1.329953922232e-04       4.278657911308e+02 
       1.479071065090e-04       4.742572546373e+02 
       1.632463896365e-04       5.218440793113e+02 
       1.790690339355e-04       5.708432978406e+02 
       1.954353213046e-04       6.215860683478e+02 
       2.124106351468e-04       6.739190995671e+02 
       2.300661217643e-04       7.270237543701e+02 
       2.484794012066e-04       7.818121151548e+02 
       2.677353245596e-04       8.406016820906e+02 
       2.879267703594e-04       9.018466621460e+02 
       3.091554668036e-04       9.645850962508e+02 
       3.315328182716e-04       1.031748078035e+03 
       3.551807038861e-04       1.102876237182e+03 
       3.802322020342e-04       1.175160718210e+03 
       4.068321776920e-04       1.257835823802e+03 
       4.351376492318e-04       1.338264964148e+03 
       4.653178289832e-04       1.429516042506e+03 
       4.975537091588e-04       1.519388813310e+03 
       5.320370453310e-04       1.618091987019e+03 
       5.689685789441e-04       1.726068761862e+03 
       6.085553458538e-04       1.837895120696e+03 
       6.510069486033e-04       1.956524626313e+03 
       6.965307349383e-04       2.084162527991e+03 
       7.453259296887e-04       2.220046838273e+03 
       7.975769100521e-04       2.364730194087e+03 
       8.534459822620e-04       2.517413731860e+03 
       9.130661832173e-04       2.677673509958e+03 
       9.765347544983e-04       2.848072975716e+03 
       1.043907975678e-03       3.025392191751e+03 
       1.115197967529e-03       3.210552152964e+03 
       1.190371878646e-03       3.403556963864e+03 
       1.269353580871e-03       3.604283956574e+03 
       1.352027679303e-03       3.810024611697e+03 
       1.438245362737e-03       4.021869470701e+03 
       1.477104874446e-03       4.115520017570e+03 
       1.527831438785e-03       4.237561872920e+03 
       1.620591842411e-03       4.458902838154e+03 
       1.716320968924e-03       4.681059964705e+03 
       1.814808327172e-03       4.901880309205e+03 
       1.915844189782e-03       5.127085145958e+03 
       2.019224093502e-03       5.352066848567e+03 
       2.124752186586e-03       5.575929033501e+03 
       2.232243520094e-03       5.799006323651e+03 
       2.341525436602e-03       6.021159560908e+03 
       2.452438231258e-03       6.239378716986e+03 
       2.564835256744e-03       6.454932737443e+03 
       2.678582625775e-03       6.666787668961e+03 
       2.793558639890e-03       6.874867465676e+03 
       2.909653047103e-03       7.078513100569e+03 
       3.026766206541e-03       7.277605600092e+03 
       3.144808217195e-03       7.472280369169e+03 
       3.263698050802e-03       7.661069799465e+03 
       3.383362715476e-03       7.845005744439e+03 
       3.503736466680e-03       8.023215374933e+03 
       3.624760074763e-03       8.195718046062e+03 
       3.746380153096e-03       8.362701287747e+03 
       3.868548547333e-03       8.523382690951e+03 
       3.991221783961e-03       8.678080685284e+03 
       4.114360574947e-03       8.826467160297e+03 
       4.237929374435e-03       8.969062309107e+03 
       4.361895983146e-03       9.105602585662e+03 
       4.486231196025e-03       9.235592924655e+03 
       4.610908488831e-03       9.359262395700e+03 
       4.735903739587e-03       9.477120956843e+03 
       4.861194981098e-03       9.588586120530e+03 
       4.986762181088e-03       9.694012297437e+03 
       5.112587046830e-03       9.793322069628e+03 
       5.238652851443e-03       9.898198995775e+03 
       5.364944279367e-03       9.974767417439e+03 
       5.491447288787e-03       1.005774004316e+04 
       5.618148989031e-03       1.013979876734e+04 
       5.745037531197e-03       1.020848016294e+04 
       5.872102010492e-03       1.028008743502e+04 
       5.999332378908e-03       1.032802445549e+04 
       6.126719367062e-03       1.038682470188e+04 
       6.254254414153e-03       1.043641513410e+04 
       6.381929605101e-03       1.047424281924e+04 
       6.509737614079e-03       1.050427010610e+04 
       6.637671653708e-03       1.054862005982e+04 
       6.765725429296e-03       1.056414308091e+04 
       6.893893097569e-03       1.059135880124e+04 
       7.022169229401e-03       1.061328974711e+04 
       7.150548776116e-03       1.062160411705e+04 
       7.279027038982e-03       1.062601671305e+04 
       7.407599641561e-03       1.063058985177e+04 
       7.536262504614e-03       1.062953537978e+04 
       7.665011823301e-03       1.062471145668e+04 
       7.793844046443e-03       1.061802208863e+04 
       7.922755857631e-03       1.061175824413e+04 
       8.051744158007e-03       1.059578154260e+04 
       8.180806050547e-03       1.057193989517e+04 
       8.309938825693e-03       1.054632633365e+04 
       8.439139948224e-03       1.052433775166e+04 
       8.568407045219e-03       1.049116967382e+04 
       8.697737895037e-03       1.045585097679e+04 
       8.827130417199e-03       1.042248759984e+04 
       8.956582663100e-03       1.038596407073e+04 
       9.086092807470e-03       1.034713731368e+04 
       9.215659140515e-03       1.030123326419e+04 
       9.345280060690e-03       1.025323041411e+04 
       9.474954068028e-03       1.020628783131e+04 
       9.604679757991e-03       1.015421364416e+04 
       9.734455815798e-03       1.010535221630e+04 
       9.864281011178e-03       1.005038596095e+04 
       9.994154193529e-03       9.992549004142e+03 
       1.012407428743e-02       9.927336869032e+03 
       1.025404028849e-02       9.871987620535e+03 
       1.038405125952e-02       9.804888783090e+03 
       1.051410632694e-02       9.749296679456e+03 
       1.064420467752e-02       9.685993060227e+03 
       1.077434555527e-02       9.623449741270e+03 
       1.090452825863e-02       9.551448996476e+03 
       1.103475213782e-02       9.480521024991e+03 
       1.116501659237e-02       9.416416500316e+03 
       1.129532106887e-02       9.349191406511e+03 
       1.142566505885e-02       9.278372759824e+03 
       1.155604809677e-02       9.205804595451e+03 
       1.168646975824e-02       9.131343858293e+03 
       1.181692965829e-02       9.066133725651e+03 
       1.194742744981e-02       8.988662636142e+03 
       1.207796282203e-02       8.914162546470e+03 
       1.220853549922e-02       8.847276698347e+03 
       1.233914523936e-02       8.773410360704e+03 
       1.246979183297e-02       8.701644309590e+03 
       1.260047510205e-02       8.628713809727e+03 
       1.273119489902e-02       8.550715510904e+03 
       1.286195110578e-02       8.477882265379e+03 
       1.299274363283e-02       8.404002125237e+03 
       1.312357241850e-02       8.333942702207e+03 
       1.325443742812e-02       8.262287673421e+03 
       1.338533865340e-02       8.188587674190e+03 
       1.351627611175e-02       8.113357039921e+03 
       1.364724984568e-02       8.042721845051e+03 
       1.377825992231e-02       7.974374155998e+03 
       1.390930643280e-02       7.901394409621e+03 
       1.404038949194e-02       7.829192158549e+03 
       1.417150923775e-02       7.761297733674e+03 
       1.430266583103e-02       7.691634142906e+03 
       1.443385945513e-02       7.622473606413e+03 
       1.456509031552e-02       7.551273667721e+03 
       1.469635863962e-02       7.484091039283e+03 
       1.477104874446e-02       7.445618343928e+03 
       1.482766467651e-02       7.417928718862e+03 
       1.495900869673e-02       7.349131310395e+03 
       1.509039099206e-02       7.283405091234e+03 
       1.522181187545e-02       7.217612502040e+03 
       1.535327168079e-02       7.153355932281e+03 
       1.548477076288e-02       7.091476392999e+03 
       1.561630949733e-02       7.026815331387e+03 
       1.574788828047e-02       6.966435573609e+03 
       1.587950752936e-02       6.903995519687e+03 
       1.601116768178e-02       6.843075706138e+03 
       1.614286919618e-02       6.781854333502e+03 
       1.627461255180e-02       6.723722896302e+03 
       1.640639824863e-02       6.663450731209e+03 
       1.653822680756e-02       6.606290653796e+03 
       1.667009877041e-02       6.550180863101e+03 
       1.680201470006e-02       6.492722986456e+03 
       1.693397518059e-02       6.436437976831e+03 
       1.706598081739e-02       6.384003415579e+03 
       1.719803223736e-02       6.328358678978e+03 
       1.733013008908e-02       6.274284919155e+03 
