# Matter power spectrum P(k) at redshift z=3
# for k=1.04471e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 610
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044710778456e-05       5.169052431930e+00 
       2.352499620073e-05       1.133477801246e+01 
       3.664984215946e-05       1.740416118892e+01 
       4.985804852804e-05       2.343885142578e+01 
       6.318663460318e-05       2.947472133677e+01 
       7.667357633159e-05       3.553919882827e+01 
       9.035815767348e-05       4.165611573988e+01 
       1.042813379168e-04       4.784770382007e+01 
       1.184861397855e-04       5.413562938403e+01 
       1.330180632196e-04       6.054163104674e+01 
       1.479255297055e-04       6.708797275927e+01 
       1.632603619546e-04       7.379780529059e+01 
       1.790783035056e-04       8.069548191022e+01 
       1.954395823693e-04       8.780685268689e+01 
       2.124095220339e-04       9.515955109391e+01 
       2.300592018393e-04       1.027832805363e+02 
       2.484661667110e-04       1.107101043994e+02 
       2.677151832479e-04       1.189747400055e+02 
       2.878990348656e-04       1.276148537548e+02 
       3.091193427000e-04       1.366713512751e+02 
       3.314873908376e-04       1.461886522721e+02 
       3.551249236880e-04       1.562149347185e+02 
       3.801648695413e-04       1.668023268495e+02 
       4.067519273244e-04       1.780074739894e+02 
       4.350429334598e-04       1.898896838411e+02 
       4.652069033858e-04       2.025136183591e+02 
       4.974246196847e-04       2.159468429862e+02 
       5.318876193774e-04       2.302598009957e+02 
       5.687964222270e-04       2.455247508548e+02 
       6.083578473175e-04       2.618143287735e+02 
       6.507812957038e-04       2.791998323461e+02 
       6.962739414064e-04       2.977497674077e+02 
       7.450348772151e-04       3.175234209679e+02 
       7.972484041576e-04       3.385739555793e+02 
       8.530768209561e-04       3.609401342901e+02 
       9.126532350826e-04       3.846478561001e+02 
       9.760750409206e-04       4.097025380310e+02 
       1.043398750531e-03       4.360927690162e+02 
       1.114636787170e-03       4.637863032443e+02 
       1.189756655821e-03       4.927307151349e+02 
       1.268682618058e-03       5.228566986122e+02 
       1.351299679685e-03       5.540795826855e+02 
       1.437459419845e-03       5.863019364850e+02 
       1.477104874446e-03       6.010127639147e+02 
       1.526987008205e-03       6.194181316953e+02 
