# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450523845119e-10       4.704671183992e-15       3.807981382073e-13       0.000000000000e+00       8.654750237934e-09       4.767789157889e-10      -2.002779526429e-12 
    3       1.371598124413e-10       6.386220343672e-15       4.377517945144e-13       0.000000000000e+00       5.321104854487e-09       3.385937931736e-10      -1.569230969267e-12 
    4       1.296419475998e-10       5.874348699875e-15       4.176871291391e-13       0.000000000000e+00       3.701295388251e-09       2.567401374811e-10      -1.076144556524e-12 
    5       1.239547465338e-10       4.179137936356e-15       3.623784257667e-13       0.000000000000e+00       2.764565084403e-09       2.029417246118e-10      -6.436760544226e-13 
    6       1.200006174711e-10       2.464600021422e-15       2.967081282240e-13       0.000000000000e+00       2.160885557472e-09       1.651930600564e-10      -3.084806971839e-13 
    7       1.174386506881e-10       1.337932793046e-15       2.356567514909e-13       0.000000000000e+00       1.744405914307e-09       1.375277033863e-10      -7.845155239504e-14 
    8       1.158961318807e-10       8.122845373009e-16       1.864389273658e-13       0.000000000000e+00       1.442449155675e-09       1.165342606684e-10       5.517842553026e-14 
    9       1.151281726735e-10       6.269439015136e-16       1.514739879510e-13       0.000000000000e+00       1.215017528651e-09       1.001323124423e-10       1.108519620725e-13 
   10       1.149313926170e-10       5.447641748095e-16       1.302349363280e-13       0.000000000000e+00       1.038627200326e-09       8.707326256531e-11       1.116058800103e-13 
   11       1.151804917476e-10       4.669337525009e-16       1.204835400423e-13       0.000000000000e+00       8.759490749188e-10       7.686788460450e-11       8.091261537706e-14 
   12       1.158089212957e-10       3.965750743763e-16       1.192274788846e-13       0.000000000000e+00       7.655934177287e-10       6.810228226186e-11       3.858214538763e-14 
   13       1.166889739977e-10       3.593339147417e-16       1.234335149113e-13       0.000000000000e+00       6.749801201161e-10       6.085777414007e-11      -6.510942677814e-16 
   14       1.177362953785e-10       3.593364946480e-16       1.306396451383e-13       0.000000000000e+00       5.995662601593e-10       5.453829961903e-11      -2.860051546834e-14 
   15       1.189757756105e-10       3.819835665168e-16       1.391699108998e-13       0.000000000000e+00       5.360735790845e-10       4.921900512890e-11      -4.210872689133e-14 
   16       1.204121955269e-10       4.144814886614e-16       1.479378720197e-13       0.000000000000e+00       4.820783223495e-10       4.470826052528e-11      -4.271036884093e-14 
   17       1.219092400816e-10       4.567238243841e-16       1.564606517028e-13       0.000000000000e+00       4.357494350715e-10       4.080936357727e-11      -3.449263659791e-14 
   18       1.235164588539e-10       5.174159429528e-16       1.648205135028e-13       0.000000000000e+00       3.955295421707e-10       3.730420226944e-11      -2.267542643036e-14 
   19       1.252489140372e-10       6.013515581689e-16       1.732799424292e-13       0.000000000000e+00       3.607831062956e-10       3.418944843437e-11      -1.102046757525e-14 
