# Matter power spectrum P(k) at redshift z=3
# for k=1.0421e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042102178841e-05       5.034327960859e+00 
       2.326555790728e-05       1.094801030124e+01 
       3.615501150528e-05       1.676962148657e+01 
       4.912386650231e-05       2.255718578326e+01 
       6.220717400601e-05       2.834440740614e+01 
       7.544086309480e-05       3.415696052166e+01 
       8.886206148482e-05       4.001707025198e+01 
       1.025094303237e-04       4.594539848352e+01 
       1.164235173864e-04       5.196201795903e+01 
       1.306471329820e-04       5.808700864486e+01 
       1.452257528867e-04       6.434087752232e+01 
       1.602079525639e-04       7.074489014708e+01 
       1.756458767589e-04       7.732135738583e+01 
       1.915957482013e-04       8.409390051560e+01 
       2.081184185153e-04       9.108770774886e+01 
       2.252799633951e-04       9.832978958332e+01 
       2.431523225004e-04       1.058492367257e+02 
       2.618139821347e-04       1.136774815171e+02 
       2.813506953422e-04       1.218485611827e+02 
       3.018562292661e-04       1.303993783722e+02 
       3.234331230875e-04       1.393699511818e+02 
       3.461934312239e-04       1.488036407316e+02 
       3.702594153238e-04       1.587473395328e+02 
       3.957641347127e-04       1.692515979029e+02 
       4.228518683055e-04       1.803706589660e+02 
       4.516782821039e-04       1.921623653576e+02 
       4.824102364939e-04       2.046878934935e+02 
       5.152251090573e-04       2.180112651464e+02 
       5.503094954116e-04       2.321985831927e+02 
       5.878571482927e-04       2.473169407197e+02 
       6.280660308121e-04       2.634329638782e+02 
       6.711344013046e-04       2.806109712011e+02 
       7.172559209067e-04       2.989107684537e+02 
       7.666138831644e-04       3.183851476202e+02 
       8.193748018435e-04       3.390772185639e+02 
       8.756817419581e-04       3.610177618764e+02 
       9.356479116383e-04       3.842228401736e+02 
       9.993511132066e-04       4.086919253096e+02 
       1.066829647214e-03       4.344067785908e+02 
       1.138080154470e-03       4.613312527790e+02 
       1.213057675259e-03       4.894120825849e+02 
       1.291677937606e-03       5.185806000842e+02 
       1.373821613436e-03       5.487539999382e+02 
       1.459340061378e-03       5.798388174380e+02 
       1.477104874446e-03       5.862546345733e+02 
       1.548061949780e-03       6.117393564438e+02 
       1.639800137161e-03       6.443534385314e+02 
       1.734358264823e-03       6.775779801078e+02 
       1.831536654161e-03       7.113113915515e+02 
       1.931137260401e-03       7.454555029513e+02 
       2.032967582933e-03       7.799170128105e+02 
       2.136843549905e-03       8.146084997899e+02 
       2.242591474196e-03       8.494490542720e+02 
       2.350049221233e-03       8.843645927705e+02 
       2.459066743800e-03       9.192879224151e+02 
       2.569506133946e-03       9.541585956669e+02 
       2.681241325418e-03       9.889226185425e+02 
       2.794157558280e-03       1.023532047663e+03 
       2.908150694598e-03       1.057944519508e+03 
       3.023126453120e-03       1.092122753341e+03 
       3.138999612758e-03       1.126034047830e+03 
       3.255693219948e-03       1.159649812742e+03 
       3.373137823412e-03       1.192945125975e+03 
       3.491270751075e-03       1.225898351078e+03 
       3.610035437499e-03       1.258490786165e+03 
       3.729380805593e-03       1.290706362150e+03 
       3.849260703244e-03       1.322531363061e+03 
       3.969633393427e-03       1.353954178952e+03 
       4.090461095044e-03       1.384965077136e+03 
       4.211709571025e-03       1.415555984031e+03 
       4.333347759861e-03       1.445720303058e+03 
       4.455347446646e-03       1.475452726056e+03 
       4.577682969808e-03       1.504749088523e+03 
       4.700330959865e-03       1.533606233085e+03 
       4.823270106828e-03       1.562021891215e+03 
       4.946480953126e-03       1.589994573304e+03 
       5.069945709212e-03       1.617523492249e+03 
       5.193648089321e-03       1.644608466075e+03 
       5.317573165066e-03       1.671249703060e+03 
       5.441707234870e-03       1.697448104663e+03 
       5.566037707392e-03       1.723205008578e+03 
       5.690552997375e-03       1.748522039720e+03 
       5.815242432473e-03       1.773401131605e+03 
       5.940096169835e-03       1.797844503421e+03 
       6.065105121311e-03       1.821854629686e+03 
       6.190260886338e-03       1.845434237895e+03 
       6.315555691626e-03       1.868586172536e+03 
       6.440982336899e-03       1.891313571237e+03 
       6.566534146019e-03       1.913619650618e+03 
       6.692204922909e-03       1.935507781025e+03 
       6.817988911750e-03       1.956981418851e+03 
       6.943880760999e-03       1.978044141945e+03 
       7.069875490819e-03       1.998699554252e+03 
       7.195968463556e-03       2.018951431669e+03 
       7.322155356965e-03       2.038803310246e+03 
       7.448432139871e-03       2.058259154226e+03 
       7.574795050048e-03       2.077322744509e+03 
       7.701240574068e-03       2.095997746182e+03 
       7.827765428943e-03       2.114288190197e+03 
       7.954366545361e-03       2.132197885720e+03 
       8.081041052379e-03       2.149730683097e+03 
       8.207786263428e-03       2.166890498809e+03 
       8.334599663494e-03       2.183681172688e+03 
       8.461478897377e-03       2.200106624052e+03 
       8.588421758917e-03       2.216170719868e+03 
       8.715426181111e-03       2.231877557815e+03 
       8.842490227021e-03       2.247231307790e+03 
       8.969612081415e-03       2.262235040688e+03 
       9.096790043075e-03       2.276892802542e+03 
       9.224022517703e-03       2.291208240171e+03 
       9.351308011386e-03       2.305185151814e+03 
       9.478645124559e-03       2.318827261435e+03 
       9.606032546436e-03       2.332138265899e+03 
       9.733469049855e-03       2.345121820436e+03 
       9.860953486517e-03       2.357781586910e+03 
       9.988484782576e-03       2.370121175789e+03 
       1.011606193456e-02       2.382144168702e+03 
       1.024368400557e-02       2.393854112932e+03 
       1.037135012180e-02       2.405254567602e+03 
       1.049905946925e-02       2.416349032232e+03 
       1.062681129074e-02       2.427140996197e+03 
       1.075460488309e-02       2.437633895044e+03 
       1.088243959448e-02       2.447831175404e+03 
       1.101031482209e-02       2.457736216294e+03 
       1.113823000981e-02       2.467352413764e+03 
       1.126618464616e-02       2.476683042586e+03 
       1.139417826234e-02       2.485731479639e+03 
       1.152221043041e-02       2.494500861875e+03 
       1.165028076164e-02       2.502994481100e+03 
       1.177838890489e-02       2.511215558270e+03 
       1.190653454521e-02       2.519167169521e+03 
       1.203471740243e-02       2.526852505162e+03 
       1.216293722996e-02       2.534274640846e+03 
       1.229119381355e-02       2.541436711570e+03 
       1.241948697026e-02       2.548341737026e+03 
       1.254781654742e-02       2.554992768996e+03 
       1.267618242168e-02       2.561392857743e+03 
       1.280458449817e-02       2.567545019728e+03 
       1.293302270968e-02       2.573452283785e+03 
