# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450508621183e-10       4.704455474038e-15       3.806456976060e-13       2.586292521075e-19       8.630075841876e-09       4.769328729261e-10      -2.003249482353e-12 
    3       1.371578903331e-10       6.387957869441e-15       4.378178111966e-13       5.173204895098e-19       5.325695944698e-09       3.386734010141e-10      -1.569309707150e-12 
    4       1.296438359464e-10       5.877027250564e-15       4.178116203169e-13       8.623393520721e-19       3.704022058844e-09       2.567410475095e-10      -1.076210596816e-12 
    5       1.239606986359e-10       4.182844351076e-15       3.625809158756e-13       1.293770602030e-18       2.765106203530e-09       2.029208907019e-10      -6.437738322774e-13 
    6       1.200103616875e-10       2.469174151044e-15       2.970107643963e-13       1.811721798536e-18       2.160789239033e-09       1.651697273074e-10      -3.085601279294e-13 
    7       1.174514735071e-10       1.343255922342e-15       2.360510248343e-13       2.416324085022e-18       1.744008654068e-09       1.375116809867e-10      -7.851939129365e-14 
    8       1.159129480720e-10       8.183537222668e-16       1.869306848210e-13       3.107732871455e-18       1.442110159600e-09       1.165379235287e-10       5.511601103503e-14 
    9       1.151490913012e-10       6.338073811327e-16       1.520772349979e-13       3.886128293643e-18       1.215032307727e-09       1.001529449703e-10       1.107952389466e-13 
   10       1.149563752662e-10       5.525302814166e-16       1.309446495205e-13       4.751715331566e-18       1.038995493251e-09       8.709442616150e-11       1.115589766299e-13 
   11       1.152095022685e-10       4.757770680018e-16       1.213099036458e-13       5.704723475541e-18       8.758542756981e-10       7.687249618825e-11       8.087427254881e-14 
   12       1.158411110911e-10       4.067356674139e-16       1.201671305201e-13       6.745405842904e-18       7.655063012979e-10       6.809982708298e-11       3.852824252669e-14 
   13       1.167253995446e-10       3.711258310636e-16       1.244892482078e-13       7.874037668242e-18       6.748997192934e-10       6.085109747030e-11      -7.366379584781e-16 
   14       1.177766376348e-10       3.730939294604e-16       1.318181059573e-13       9.090914116167e-18       5.994916234606e-10       5.452980992417e-11      -2.872117534155e-14 
   15       1.190212949586e-10       3.980675058700e-16       1.404520202300e-13       1.039634739609e-17       5.360039065740e-10       4.921042919462e-11      -4.224288531137e-14 
   16       1.204609085049e-10       4.333066526783e-16       1.493228750730e-13       1.179066319208e-17       4.820130665387e-10       4.469930017847e-11      -4.283372066090e-14 
   17       1.219631592878e-10       4.786807050279e-16       1.579648630977e-13       1.327419645601e-17       4.356881015188e-10       4.080004156642e-11      -3.459499971415e-14 
   18       1.235749138804e-10       5.429021843400e-16       1.664231235730e-13       1.484728702954e-17       3.954716074384e-10       3.729644336142e-11      -2.276488379238e-14 
   19       1.253108645660e-10       6.308063461668e-16       1.749740777708e-13       1.651027253502e-17       3.607285455583e-10       3.418478912713e-11      -1.111230052278e-14 
   20       1.270984428574e-10       7.444151455430e-16       1.839396687456e-13       1.826348695045e-17       3.301226555232e-10       3.146165766056e-11      -3.121383993041e-15 
   21       1.289526176899e-10       8.818843303453e-16       1.934356103588e-13       2.010724997478e-17       3.031750701666e-10       2.908891286182e-11       2.488977219931e-16 
   22       1.308815712444e-10       1.039692194459e-15       2.034475980123e-13       2.204186605309e-17       2.792427792751e-10       2.697428225413e-11      -7.337238718106e-16 
   23       1.328716767706e-10       1.218042855699e-15       2.137783736668e-13       2.406761505623e-17       2.579978309133e-10       2.507118618611e-11      -4.791834014546e-15 
   24       1.348852050639e-10       1.417985444377e-15       2.240976461319e-13       2.618475121209e-17       2.389501824069e-10       2.332912285568e-11      -1.000781664677e-14 
   25       1.369440641490e-10       1.639273288062e-15       2.340201090972e-13       2.839349608832e-17       2.218768187156e-10       2.175292151415e-11      -1.480853633092e-14 
   26       1.390690875762e-10       1.881256256841e-15       2.431177580264e-13       3.069403698070e-17       2.064698156194e-10       2.034626429773e-11      -1.773921553192e-14 
   27       1.412459288800e-10       2.144657360517e-15       2.511238688759e-13       3.308652302301e-17       1.925449530118e-10       1.908331279408e-11      -1.843999479950e-14 
   28       1.434413318200e-10       2.430802885548e-15       2.578483021451e-13       3.557106438457e-17       1.798626650968e-10       1.792147895291e-11      -1.704977297524e-14 
   29       1.456632462129e-10       2.741695367204e-15       2.632914420107e-13       3.814773804582e-17       1.683584964326e-10       1.685342455390e-11      -1.423360855384e-14 
   30       1.479216214843e-10       3.079781882105e-15       2.675494192040e-13       4.081657853049e-17       1.579092212896e-10       1.587324694444e-11      -1.103083315972e-14 
   31       1.502154597475e-10       3.447486135978e-15       2.707454215171e-13       4.357758015817e-17       1.483020863839e-10       1.496730444240e-11      -8.549964545612e-15 
   32       1.525468594638e-10       3.845871623650e-15       2.729212555720e-13       4.643072237787e-17       1.394877551018e-10       1.413297787929e-11      -7.088685600944e-15 
   33       1.549094078806e-10       4.275463088274e-15       2.741083354005e-13       4.937594924638e-17       1.314041858612e-10       1.336532689893e-11      -6.688633070024e-15 
   34       1.572904887638e-10       4.736706749906e-15       2.743248988881e-13       5.241317181599e-17       1.239385925282e-10       1.265475585369e-11      -7.294620517109e-15 
   35       1.596973509998e-10       5.230431490376e-15       2.734652357583e-13       5.554230814094e-17       1.170529407905e-10       1.199859020635e-11      -8.530507739231e-15 
   36       1.621384795933e-10       5.757535754651e-15       2.713695742750e-13       5.876325439380e-17       1.106921468514e-10       1.139259839821e-11      -9.830973349727e-15 
   37       1.646167972335e-10       6.318877307777e-15       2.678729708402e-13       6.207589138561e-17       1.047736101001e-10       1.082976318154e-11      -1.063149907345e-14 
   38       1.671326273832e-10       6.915327023726e-15       2.628799825290e-13       6.548014789556e-17       9.928214103275e-11       1.030815505754e-11      -1.085136067590e-14 
   39       1.696804446964e-10       7.547726790198e-15       2.563132602792e-13       6.897595763403e-17       9.420040878582e-11       9.825073920077e-12      -1.056689842127e-14 
   40       1.722471617512e-10       8.216871124343e-15       2.480933199160e-13       7.256324250874e-17       8.948006259834e-11       9.374586399126e-12      -9.885021207429e-15 
   41       1.748181513873e-10       8.923489315997e-15       2.381588370519e-13       7.624193244515e-17       8.505859928386e-11       8.949556724577e-12      -8.942911221422e-15 
   42       1.773993983442e-10       9.668192397960e-15       2.265358965298e-13       8.001203216346e-17       8.092307585993e-11       8.549200416649e-12      -7.901702481783e-15 
   43       1.800013496874e-10       1.045150363923e-14       2.132909926674e-13       8.387357645088e-17       7.706258200053e-11       8.173523275643e-12      -6.954469203467e-15 
   44       1.826325462686e-10       1.127386770886e-14       1.985137162212e-13       8.782661390892e-17       7.344912004747e-11       7.821109491074e-12      -6.330559843431e-15 
   45       1.852989058093e-10       1.213569207382e-14       1.822839137306e-13       9.187121386586e-17       7.004762108453e-11       7.489771724916e-12      -6.229023615777e-15 
   46       1.880019188430e-10       1.303749572739e-14       1.645585652407e-13       9.600748593393e-17       6.685277038615e-11       7.179012085864e-12      -6.590390349773e-15 
   47       1.907394786797e-10       1.397979786768e-14       1.452531753709e-13       1.002355689296e-16       6.386087676448e-11       6.888095518178e-12      -7.260102031073e-15 
   48       1.935060210930e-10       1.496307472543e-14       1.242721898329e-13       1.045556278224e-16       6.105876443984e-11       6.615273009772e-12      -8.049307335061e-15 
   49       1.962922421720e-10       1.598775803839e-14       1.015082608380e-13       1.089678555909e-16       5.842306756422e-11       6.357707467604e-12      -8.732933544248e-15 
   50       1.990887565511e-10       1.705419051816e-14       7.686355689522e-14       1.134724570826e-16       5.592727385796e-11       6.112307522355e-12      -9.108848203785e-15 
   51       2.018988973210e-10       1.816248153935e-14       5.032221560047e-14       1.180695911263e-16       5.356674618856e-11       5.878667729047e-12      -9.198748969377e-15 
   52       2.047289027973e-10       1.931260964183e-14       2.189628754780e-14       1.227594159144e-16       5.133927335732e-11       5.656798321718e-12      -9.098470228746e-15 
