#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.089711779358e+00       1.549496186559e-05      -1.214093375579e+00       2.120789738294e-04       4.062452289570e-08       1.015613072393e-07       1.094773664114e-13       2.031226144785e-08      -9.105700316843e-01       2.120789738294e-04       6.011485048040e-01       6.967277500768e-01      -1.214093375579e+00       2.120304576630e-04       2.008751772320e-04      -9.105700316843e-01       2.121761791926e-04 
       1.058971177935e+01       2.329084007683e-05      -1.221033320256e+00       3.159482623578e-04       1.363947790353e-07       3.409869475883e-07       8.304683730611e-13       6.819738951767e-08      -9.157749901942e-01       3.159482639678e-04       6.011130082165e-01       6.953008396200e-01      -1.221032861885e+00       3.157852132279e-04       4.471793548747e-04      -9.157756718734e-01       3.162693183998e-04 
       1.578572640360e+01       3.504292599872e-05      -1.232470762806e+00       4.689314702278e-04       4.553638237285e-07       1.138409559321e-06       6.276453168995e-12       2.276819118642e-07      -9.243530721414e-01       4.689314858095e-04       6.009623581701e-01       6.931214092980e-01      -1.232468021723e+00       4.683848557318e-04       9.902756072430e-04      -9.243570740359e-01       4.699807130486e-04 
       2.346290689750e+01       5.279724547851e-05      -1.251853114136e+00       6.918941300995e-04       1.529834325543e-06       3.824585813856e-06       4.786543124705e-11       7.649171627713e-07      -9.388898360661e-01       6.918942531351e-04       6.005631666587e-01       6.897619688715e-01      -1.251839098684e+00       6.900689729010e-04       2.174933965706e-03      -9.389097152033e-01       6.952707340358e-04 
       3.473021157201e+01       7.969743052514e-05      -1.285503412068e+00       1.011299828260e-03       5.052286779498e-06       1.263071694875e-05       3.601900223176e-10       2.526143389749e-06      -9.641275642410e-01       1.011300742278e-03       5.996305267194e-01       6.845509367870e-01      -1.285434410566e+00       1.005247696975e-03       4.715495393401e-03      -9.642213899697e-01       1.021926720693e-03 
       5.111557599197e+01       1.206068566640e-04      -1.344860890798e+00       1.455958914187e-03       1.680720356648e-05       4.201800891621e-05       2.744069635323e-09       8.403601783241e-06      -1.008645723061e+00       1.455965476415e-03       5.976170450483e-01       6.764609548211e-01      -1.344528848800e+00       1.436130892192e-03       1.001757780218e-02      -1.009071332434e+00       1.488358624052e-03 
       7.465835474079e+01       1.831000638251e-04      -1.449780693110e+00       2.045900707735e-03       5.773305195529e-05       1.443326298882e-04       2.329401659087e-08       2.886652597765e-05      -1.087336089276e+00       2.045949487828e-03       5.935485477679e-01       6.640121368001e-01      -1.448226895569e+00       1.982285870304e-03       2.059990041801e-02      -1.089175580226e+00       2.140401927885e-03 
       1.079799788838e+02       2.790367876350e-04      -1.632031753286e+00       2.766871589163e-03       1.824360115083e-04       4.560900287707e-04       1.715742836762e-07       9.121800575414e-05      -1.224029500665e+00       2.767195423937e-03       5.859833135696e-01       6.453076568978e-01      -1.625051888988e+00       2.569960263438e-03       4.017748033246e-02      -1.231492321712e+00       3.026427038766e-03 
       1.543199031137e+02       4.270390795799e-04      -1.935538769931e+00       3.528787538894e-03       5.431910916903e-04       1.357977729226e-03       1.213089904783e-06       2.715955458452e-04      -1.451704980425e+00       3.530820983414e-03       5.729930500144e-01       6.184190812117e-01      -1.906027194218e+00       2.954697309513e-03       7.172507216279e-02      -1.479622946187e+00       4.187655366539e-03 
       2.073636600778e+02       6.172796959788e-04      -2.327512193648e+00       4.063804661986e-03       1.405671491052e-03       3.514178727631e-03       7.028357455263e-06       7.028357455261e-04      -1.745956235433e+00       4.073508922688e-03       5.560941487116e-01       5.880553572353e-01      -2.232698353732e+00       2.731969914783e-03       1.045453161758e-01      -1.825958596108e+00       5.419441666581e-03 
