#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.000897262514e-02       1.510669389863e-07      -1.203327227427e+00       2.102010900330e-02       3.828816769019e-10       9.572041922548e-10       9.807503831786e-18       1.914408384510e-10      -9.024954205702e-01       2.102010900330e-02       6.011214586080e-01       6.994137067510e-01      -1.203327227427e+00       2.101552450195e-02       1.964108861861e-04      -9.024954205702e-01       2.102963875024e-02 
       1.050089726244e-01       2.266052482341e-07      -1.205676507030e+00       3.151705672378e-02       1.288549556538e-09       3.221373891344e-09       7.426703714823e-17       6.442747782688e-10      -9.042573802723e-01       3.151705672379e-02       6.009491522207e-01       6.991328792964e-01      -1.205676072581e+00       3.150159239854e-02       4.414548129457e-04      -9.042580576253e-01       3.154920717619e-02 
       1.575033668634e-01       3.399187594224e-07      -1.210205765004e+00       4.720558152307e-02       4.312568125228e-09       1.078142031307e-08       5.592954409371e-16       2.156284062614e-09      -9.076543237530e-01       4.720558152322e-02       6.006664092348e-01       6.986894224497e-01      -1.210203133575e+00       4.715345472652e-02       9.917088971575e-04      -9.076584278317e-01       4.731401342688e-02 
       2.362323503933e-01       5.099026271797e-07      -1.220073911844e+00       7.056322329211e-02       1.454389755119e-08       3.635974387798e-08       4.244341796092e-15       7.271948775597e-09      -9.150554338828e-01       7.056322329331e-02       6.000743310488e-01       6.977682151174e-01      -1.220060181721e+00       7.038773435744e-02       2.224059458417e-03      -9.150768654865e-01       7.092872995324e-02 
       3.542974753603e-01       7.649090124751e-07      -1.242008516375e+00       1.050243653211e-01       4.892002666975e-08       1.223000666744e-07       3.212634253447e-14       2.446001333488e-08      -9.315063872816e-01       1.050243653304e-01       5.987602554163e-01       6.957423227765e-01      -1.241938844900e+00       1.044352858109e-01       4.968364484905e-03      -9.316153531658e-01       1.062550374603e-01 
       5.313314327373e-01       1.147487340956e-06      -1.290710257599e+00       1.548064375916e-01       1.615104437558e-07       4.037761093895e-07       2.386994734724e-13       8.075522187790e-08      -9.680326932053e-01       1.548064376618e-01       5.958184291167e-01       6.912465160115e-01      -1.290360065857e+00       1.528420978867e-01       1.100199372148e-02      -9.685829896268e-01       1.589402548956e-01 
       7.967391719912e-01       1.721509311054e-06      -1.397676268452e+00       2.231669793772e-01       5.263640931863e-07       1.315910232966e-06       1.750894795994e-12       2.631820465931e-07      -1.048257201409e+00       2.231669799036e-01       5.892476285361e-01       6.812896326105e-01      -1.395935531099e+00       2.167145170504e-01       2.388358934391e-02      -1.051023455136e+00       2.369815860936e-01 
       1.194529247222e+00       2.582889129344e-06      -1.626357950408e+00       3.051748067543e-01       1.623709872246e-06       4.059274680615e-06       1.215836017355e-11       8.118549361230e-07      -1.219768463589e+00       3.051748106380e-01       5.746874164804e-01       6.594622586846e-01      -1.617901973458e+00       2.846981559769e-01       4.951839610820e-02      -1.233564010243e+00       3.508308313519e-01 
       1.694529247222e+00       3.667369145649e-06      -2.004109003204e+00       3.605670330754e-01       3.838143293925e-06       9.595358234812e-06       5.794093282315e-11       1.919071646962e-06      -1.503081758549e+00       3.605670542991e-01       5.488426683433e-01       6.213367062121e-01      -1.972290503572e+00       3.083983148231e-01       8.536733626178e-02      -1.557651851064e+00       4.863935896026e-01 
       2.194529247222e+00       4.753824560864e-06      -2.437738756666e+00       3.501344415037e-01       6.283178278971e-06       1.570794569743e-05       1.593751942988e-10       3.141589139486e-06      -1.828304095060e+00       3.501345136654e-01       5.154417860354e-01       5.731359605072e-01      -2.356888972819e+00       2.537535537166e-01       1.141542759312e-01      -1.977079763876e+00       6.108301537388e-01 
       2.694529247222e+00       5.842255374989e-06      -2.871250308476e+00       2.669644014057e-01       7.277511213595e-06       1.819377803399e-05       2.788040006762e-10       3.638755606797e-06      -2.153437819838e+00       2.669645856051e-01       4.756220892719e-01       5.172071885079e-01      -2.710317162194e+00       1.238272066530e-01       1.242712674164e-01      -2.478593057678e+00       7.216189440065e-01 
       3.194529247222e+00       6.932661588022e-06      -3.245688221680e+00       1.119917992331e-01       4.334723063001e-06       1.083680765750e-05       2.338387080553e-10       2.167361531501e-06      -2.434266393048e+00       1.119921853510e-01       4.307205124861e-01       4.561328915667e-01      -2.976821460311e+00      -6.507761580365e-02       1.069371876931e-01      -3.047095503906e+00       8.167528257560e-01 
       3.694529247222e+00       8.025043199966e-06      -3.505154600480e+00      -1.059463000892e-01      -5.203218951944e-06      -1.300804737986e-05      -3.761160823086e-10      -2.601609475972e-06      -2.628866443391e+00      -1.059456021524e-01       3.822202743939e-01       3.925501596665e-01      -3.114896933247e+00      -2.865572349292e-01       5.825827197769e-02      -3.666467053286e+00       8.948082492998e-01 
       4.194529247222e+00       9.119400210818e-06      -3.602567045038e+00      -3.708224875924e-01      -2.372957252656e-05      -5.932393131639e-05      -2.215019276201e-09      -1.186478626328e-05      -2.701926226893e+00      -3.708213685703e-01       3.316891664400e-01       3.289792517597e-01      -3.103151151283e+00      -5.089915726310e-01      -1.969758638729e-02      -4.320382000670e+00       9.549892138676e-01 
       4.694529247222e+00       1.021573262058e-05      -3.504606691058e+00      -6.608304486726e-01      -5.427309452450e-05      -1.356827363112e-04      -6.357387214220e-09      -2.713654726225e-05      -2.628456643381e+00      -6.608288316911e-01       2.807118052458e-01       2.676763096959e-01      -2.942496001673e+00      -7.012088806574e-01      -1.190378352278e-01      -4.993069758687e+00       9.971429091360e-01 
       5.194529247222e+00       1.131404042925e-05      -3.195386150425e+00      -9.503639851060e-01      -9.689603431591e-05      -2.422400857898e-04      -1.392183556882e-08      -4.844801715795e-05      -2.396542174039e+00      -9.503618647834e-01       2.308191194800e-01       2.105213223263e-01      -2.654464170686e+00      -8.378442337159e-01      -2.273657188685e-01      -5.669970229443e+00       1.021745331775e+00 
       5.694529247222e+00       1.241432363683e-05      -2.678491768985e+00      -1.212379770798e+00      -1.457817929410e-04      -3.644544823525e-04      -2.521764100338e-08      -7.289089647051e-05      -2.008872554663e+00      -1.212377253162e+00       1.834192149092e-01       1.589478495903e-01      -2.276170015930e+00      -9.034003585247e-01      -3.300117195968e-01      -6.338249093496e+00       1.029856578149e+00 
       6.194529247222e+00       1.351658224332e-05      -1.977210388692e+00      -1.420924972824e+00      -2.039039196703e-04      -5.097597991758e-04      -4.181329585314e-08      -1.019519598352e-04      -1.482912828854e+00      -1.420922307551e+00       1.397341514282e-01       1.139159070429e-01      -1.853029390860e+00      -8.943068514130e-01      -4.127186261425e-01      -6.987154103063e+00       1.023047937134e+00 
       6.694529247222e+00       1.462081624873e-05      -1.132920817175e+00      -1.553597201238e+00      -2.623009859712e-04      -6.557524649280e-04      -6.293586499672e-08      -1.311504929856e-04      -8.496969379106e-01      -1.553594797032e+00       1.007472730984e-01       7.592479834628e-02      -1.430706399203e+00      -8.186912964209e-01      -4.642358130413e-01      -7.608208727081e+00       1.003304467941e+00 
       7.194529247222e+00       1.572702565304e-05      -2.017997484382e-01      -1.593711119135e+00      -3.127700299615e-04      -7.819250749037e-04      -8.683071286322e-08      -1.563850149807e-04      -1.513571596500e-01      -1.593709533965e+00       6.716512894141e-02       4.505880117143e-02      -1.047808727053e+00      -6.940335202163e-01      -4.783058352208e-01      -8.195253629127e+00       9.729090875301e-01 
       7.694529247222e+00       1.683521045625e-05       7.498560256156e-01      -1.531973858780e+00      -3.458336404598e-04      -8.645841011496e-04      -1.100168941826e-07      -1.729168202299e-04       5.623842205265e-01      -1.531973759284e+00       3.939700940270e-02       2.105613614422e-02      -7.306084603150e-01      -5.432792025752e-01      -4.546607746279e-01      -8.744357230366e+00       9.343155698588e-01 
       8.194529247222e+00       1.794537065838e-05       1.651267453795e+00      -1.367516569021e+00      -3.517940520949e-04      -8.794851302372e-04      -1.271593803489e-07      -1.758970260474e-04       1.238443260142e+00      -1.367518657449e+00       1.755365289656e-02       3.390625959548e-03      -4.905856409287e-01      -3.902604089133e-01      -3.988565080780e-01      -9.253623660616e+00       8.900188000801e-01 
       8.694529247222e+00       1.905750625942e-05       2.433266292160e+00      -1.108187673442e+00      -3.272870165468e-04      -8.182175413671e-04      -1.334184724042e-07      -1.636435082734e-04       1.824944115526e+00      -1.108192585653e+00       1.464942464070e-03      -8.644129111027e-03      -3.249848585986e-01      -2.553582064263e-01      -3.210142143138e-01      -9.722929403918e+00       8.424309195482e-01 
       9.194529247222e+00       2.017161725937e-05       3.034303391761e+00      -7.700794334409e-01      -2.615784139441e-04      -6.539460348602e-04      -1.194643666287e-07      -1.307892069720e-04       2.275725201135e+00      -7.700876169435e-01      -9.285308450993e-03      -1.585656783784e-02      -2.199703639789e-01      -1.522382225062e-01      -2.337585668846e-01      -1.015361911351e+01       7.937712132855e-01 
       9.694529247222e+00       2.128770365823e-05       3.405847198849e+00      -3.763273162236e-01      -1.530726659628e-04      -3.826816649069e-04      -7.785926905492e-08      -7.653633298139e-05       2.554388001593e+00      -3.763389023609e-01      -1.531097911992e-02      -1.909107560980e-02      -1.554824991725e-01      -8.621684137055e-02      -1.497956022170e-01      -1.054818759414e+01       7.459766764797e-01 
       1.019452924722e+01       2.240576545599e-05       3.516704773890e+00       4.471521333881e-02      -3.901322942818e-06      -9.753307357045e-06      -2.198297758499e-09      -1.950661471409e-06       2.637537774262e+00       4.470052509988e-02      -1.736626699536e-02      -1.917718509285e-02      -1.106368898635e-01      -5.445264438878e-02      -7.962846001790e-02      -1.090996902686e+01       7.006375853510e-01 
       1.069452924722e+01       2.352580265267e-05       3.355896718188e+00       4.617698101736e-01       1.786074959115e-04       4.465187397788e-04       1.109541690568e-07       8.930374795576e-05       2.516939693500e+00       4.617528360279e-01      -1.628455246826e-02      -1.689463485050e-02      -6.849539447218e-02      -4.776639841886e-02      -2.986043540258e-02      -1.124284840710e+01       6.589606327052e-01 
       1.119452924722e+01       2.464781524826e-05       2.933844400872e+00       8.431981591565e-01       3.818823766844e-04       9.547059417109e-04       2.604003245633e-07       1.909411883422e-04       2.200409241043e+00       8.431802636450e-01      -1.291872939738e-02      -1.295259207046e-02      -1.927460271357e-02      -5.357100421805e-02      -2.392344424365e-03      -1.155100395160e+01       6.217594944571e-01 
       1.169452924722e+01       2.577180324275e-05       2.281772902229e+00       1.159620202679e+00       6.103371319470e-04       1.525842829867e-03       4.550032000087e-07       3.051685659735e-04       1.711364413310e+00       1.159603264551e+00      -8.087656310001e-03      -7.979882576085e-03       3.852934715855e-02      -5.919757549503e-02       5.379080702008e-03      -1.183868423365e+01       5.894705122669e-01 
       1.219452924722e+01       2.689776663616e-05       1.449384022522e+00       1.386364135061e+00       7.903942541589e-04       1.975985635397e-03       6.418466245027e-07       3.951971270794e-04       1.087080513953e+00       1.386350436759e+00      -2.532335249998e-03      -2.522443341940e-03       9.912697533548e-02      -5.487250743078e-02      -5.306430343005e-04      -1.211002025737e+01       5.621893271435e-01 
       1.269452924722e+01       2.802570542847e-05       5.009952876093e-01       1.505541270221e+00       9.379161234297e-04       2.344790308574e-03       8.268603216415e-07       4.689580617149e-04       3.757944828503e-01       1.505533309895e+00       3.115941909439e-03       2.955618391082e-03       1.520989535218e-01      -3.572851652737e-02      -1.239041152831e-02      -1.236887080549e+01       5.397230600444e-01 
       1.319452924722e+01       2.915561961970e-05      -4.895327992853e-01       1.507571931304e+00       1.021601810227e-03       2.554004525569e-03       9.747230793178e-07       5.108009051137e-04      -3.670995533289e-01       1.507572166159e+00       8.354672672211e-03       8.070176682261e-03       1.859654692199e-01      -2.486948397261e-03      -2.265390076535e-02      -1.261869890039e+01       5.216520999624e-01 
