#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.089711779433e+00       1.549496186575e-05      -1.214093375579e+00       2.120789738316e-04       4.062452289700e-08       1.015613072425e-07       1.094773664173e-13       2.031226144850e-08      -9.105700316844e-01       2.120789738316e-04       6.011485048040e-01       6.967277500768e-01      -1.214093375579e+00       2.120304576652e-04       2.008751772363e-04      -9.105700316844e-01       2.121761791949e-04 
       1.058971177946e+01       2.329084007708e-05      -1.221033320264e+00       3.159482623632e-04       1.363969229498e-07       3.409923073745e-07       8.304814267542e-13       6.819846147490e-08      -9.157749902003e-01       3.159482639732e-04       6.011130082153e-01       6.953008396179e-01      -1.221032861893e+00       3.157852132333e-04       4.471793548802e-04      -9.157756718796e-01       3.162693184052e-04 
       1.578572640377e+01       3.504292599910e-05      -1.232470762809e+00       4.689314702337e-04       4.553638237267e-07       1.138409559317e-06       6.276453169107e-12       2.276819118634e-07      -9.243530721437e-01       4.689314858154e-04       6.009623581696e-01       6.931214092972e-01      -1.232468021726e+00       4.683848557376e-04       9.902756072619e-04      -9.243570740382e-01       4.699807130545e-04 
       2.346290689775e+01       5.279724547908e-05      -1.251853114137e+00       6.918941301070e-04       1.529834325591e-06       3.824585813978e-06       4.786543124960e-11       7.649171627956e-07      -9.388898360672e-01       6.918942531426e-04       6.005631666585e-01       6.897619688712e-01      -1.251839098686e+00       6.900689729085e-04       2.174933965750e-03      -9.389097152044e-01       6.952707340435e-04 
       3.473021157237e+01       7.969743052600e-05      -1.285503412070e+00       1.011299828270e-03       5.052286779658e-06       1.263071694915e-05       3.601900223368e-10       2.526143389829e-06      -9.641275642420e-01       1.011300742288e-03       5.996305267193e-01       6.845509367868e-01      -1.285434410567e+00       1.005247696985e-03       4.715495393496e-03      -9.642213899708e-01       1.021926720703e-03 
       5.111557599248e+01       1.206068566653e-04      -1.344860890801e+00       1.455958914201e-03       1.680720356701e-05       4.201800891752e-05       2.744069635469e-09       8.403601783505e-06      -1.008645723063e+00       1.455965476429e-03       5.976170450482e-01       6.764609548208e-01      -1.344528848802e+00       1.436130892205e-03       1.001757780238e-02      -1.009071332436e+00       1.488358624066e-03 
       7.465835474153e+01       1.831000638271e-04      -1.449780693114e+00       2.045900707753e-03       5.773305195717e-05       1.443326298929e-04       2.329401659218e-08       2.886652597859e-05      -1.087336089278e+00       2.045949487845e-03       5.935485477678e-01       6.640121367997e-01      -1.448226895573e+00       1.982285870320e-03       2.059990041839e-02      -1.089175580229e+00       2.140401927905e-03 
       1.079799788848e+02       2.790367876381e-04      -1.632031753292e+00       2.766871589183e-03       1.824360115137e-04       4.560900287842e-04       1.715742836851e-07       9.121800575684e-05      -1.224029500670e+00       2.767195423957e-03       5.859833135694e-01       6.453076568972e-01      -1.625051888994e+00       2.569960263452e-03       4.017748033313e-02      -1.231492321716e+00       3.026427038792e-03 
       1.543199031151e+02       4.270390795847e-04      -1.935538769941e+00       3.528787538913e-03       5.431910917061e-04       1.357977729265e-03       1.213089904847e-06       2.715955458530e-04      -1.451704980433e+00       3.530820983433e-03       5.729930500139e-01       6.184190812109e-01      -1.906027194227e+00       2.954697309517e-03       7.172507216377e-02      -1.479622946195e+00       4.187655366573e-03 
       2.073636362991e+02       6.172796057138e-04      -2.327512011628e+00       4.063804496323e-03       1.405671152691e-03       3.514177881727e-03       7.028355763453e-06       7.028355763455e-04      -1.745956098694e+00       4.073508754151e-03       5.560941563548e-01       5.880553705290e-01      -2.232698213940e+00       2.731970168268e-03       1.045453039270e-01      -1.825958427360e+00       5.419441136693e-03 
       2.073636362991e+02       6.172796057138e-04      -2.327512011628e+00       4.063804496323e-03       1.405671152691e-03       3.514177881727e-03       7.028355763453e-06       7.028355763455e-04      -1.745956098694e+00       4.073508754151e-03       5.561111569256e-01       5.880553705290e-01      -2.232698213940e+00       2.731970168268e-03       1.045453039270e-01      -1.825958427360e+00       5.419441136693e-03 
       2.078636362991e+02       6.191786181890e-04      -2.331340067634e+00       4.067268978058e-03       1.419236151500e-03       3.517387444325e-03       7.039095702795e-06       7.034869855689e-04      -1.748832008168e+00       4.077047522898e-03       5.559450062281e-01       5.877759466853e-01      -2.235635439506e+00       2.726610760369e-03       1.048022080359e-01      -1.829509204165e+00       5.430578516166e-03 
       2.083669204497e+02       6.210920988541e-04      -2.335194924868e+00       4.070716526853e-03       1.431306568888e-03       3.525764932434e-03       7.068781776260e-06       7.051683441785e-04      -1.751728100687e+00       4.080609728199e-03       5.557784107791e-01       5.874948526865e-01      -2.238587669165e+00       2.721157839615e-03       1.050594709530e-01      -1.833088429481e+00       5.441780372015e-03 
       2.088735479547e+02       6.230203123368e-04      -2.339077027599e+00       4.074156066660e-03       1.442584344243e-03       3.537877040039e-03       7.113851048941e-06       7.075944427982e-04      -1.754644721143e+00       4.084173291741e-03       5.556110436409e-01       5.872120635013e-01      -2.241555106539e+00       2.715609659237e-03       1.053170876521e-01      -1.836696607216e+00       5.453047788337e-03 
       2.093835818437e+02       6.249635390587e-04      -2.342986890074e+00       4.077589245305e-03       1.453494231981e-03       3.552797112828e-03       7.171315010158e-06       7.105808285824e-04      -1.757582259641e+00       4.087734362941e-03       5.554426926504e-01       5.869275426917e-01      -2.244538010976e+00       2.709964565384e-03       1.055750538983e-01      -1.840334299632e+00       5.464382094233e-03 
       2.098970892277e+02       6.269220763036e-04      -2.346925024939e+00       4.081016217355e-03       1.464293390218e-03       3.569915809842e-03       7.238834963014e-06       7.140061635582e-04      -1.760541103900e+00       4.091292210348e-03       5.552732269896e-01       5.866412600898e-01      -2.247536627572e+00       2.704220680727e-03       1.058333663064e-01      -1.844002076006e+00       5.475784557988e-03 
       2.104141414273e+02       6.288962388086e-04      -2.350891996158e+00       4.084436979100e-03       1.475137893498e-03       3.588824728341e-03       7.314656622779e-06       7.177890869002e-04      -1.763521680043e+00       4.094846780867e-03       5.551025550792e-01       5.863531786365e-01      -2.250551239936e+00       2.698376128997e-03       1.060920223059e-01      -1.847700553033e+00       5.487256618096e-03 
       2.109348137652e+02       6.308863580754e-04      -2.354888391741e+00       4.087851458897e-03       1.486122625968e-03       3.609244471692e-03       7.397499311705e-06       7.218739117942e-04      -1.766524432356e+00       4.098398097000e-03       5.549306126669e-01       5.860632609351e-01      -2.253582143039e+00       2.692428922091e-03       1.063510199661e-01      -1.851430374374e+00       5.498799765657e-03 
       2.114591845763e+02       6.328927786836e-04      -2.358914815378e+00       4.091259553330e-03       1.497304265680e-03       3.630979566056e-03       7.486438880974e-06       7.262216592062e-04      -1.769549817029e+00       4.101946137817e-03       5.547573530166e-01       5.857714699847e-01      -2.256629636357e+00       2.686376965569e-03       1.066103574000e-01      -1.855192203207e+00       5.510415518660e-03 
       2.119873323668e+02       6.349158474868e-04      -2.362971891849e+00       4.094661249662e-03       1.508712460079e-03       3.653889101542e-03       7.580791719943e-06       7.308042165374e-04      -1.772598306164e+00       4.105490890196e-03       5.545827364875e-01       5.854777639876e-01      -2.259694034325e+00       2.680218209397e-03       1.068700313121e-01      -1.858986722413e+00       5.522105478280e-03 
