# Matter power spectrum P(k) at redshift z=3
# for k=1.0421e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042102178841e-05       5.034327960710e+00 
       2.326555790765e-05       1.094801030108e+01 
       3.615501150603e-05       1.676962148641e+01 
       4.912386650345e-05       2.255718578310e+01 
       6.220717400755e-05       2.834440740597e+01 
       7.544086309675e-05       3.415696052150e+01 
       8.886206148719e-05       4.001707025182e+01 
       1.025094303265e-04       4.594539848337e+01 
       1.164235173897e-04       5.196201795889e+01 
       1.306471329857e-04       5.808700864474e+01 
       1.452257528910e-04       6.434087752222e+01 
       1.602079525688e-04       7.074489014702e+01 
       1.756458767644e-04       7.732135738581e+01 
       1.915957482075e-04       8.409390051564e+01 
       2.081184185221e-04       9.108770774897e+01 
       2.252799634027e-04       9.832978958352e+01 
       2.431523225089e-04       1.058492367260e+02 
       2.618139821441e-04       1.136774815175e+02 
       2.813506953527e-04       1.218485611832e+02 
       3.018562292776e-04       1.303993783729e+02 
       3.234331231003e-04       1.393699511828e+02 
       3.461934312381e-04       1.488036407327e+02 
       3.702594153396e-04       1.587473395343e+02 
       3.957641347302e-04       1.692515979046e+02 
       4.228518683248e-04       1.803706589681e+02 
       4.516782821253e-04       1.921623653601e+02 
       4.824102365176e-04       2.046878934964e+02 
       5.152251090836e-04       2.180112651499e+02 
       5.503094954408e-04       2.321985831968e+02 
       5.878571483251e-04       2.473169407244e+02 
       6.280660308479e-04       2.634329638837e+02 
       6.711344013443e-04       2.806109712076e+02 
       7.172559209505e-04       2.989107684611e+02 
       7.666138832128e-04       3.183851476288e+02 
       8.193748018967e-04       3.390772185739e+02 
       8.756817420164e-04       3.610177618879e+02 
       9.356479117021e-04       3.842228401870e+02 
       9.993511132761e-04       4.086919253251e+02 
       1.066829647289e-03       4.344067786091e+02 
       1.138080154551e-03       4.613312528006e+02 
       1.213057675347e-03       4.894120826104e+02 
       1.291677937701e-03       5.185806001146e+02 
       1.373821613537e-03       5.487539999747e+02 
       1.459340061485e-03       5.798388174820e+02 
       1.477104874446e-03       5.862546345797e+02 
       1.548061949893e-03       6.117393564968e+02 
       1.639800137281e-03       6.443534385952e+02 
       1.734358264950e-03       6.775779801847e+02 
       1.831536654293e-03       7.113113916438e+02 
       1.931137260540e-03       7.454555030616e+02 
       2.032967583078e-03       7.799170129417e+02 
       2.136843550056e-03       8.146084999451e+02 
       2.242591474352e-03       8.494490544545e+02 
       2.350049221394e-03       8.843645929836e+02 
       2.459066743967e-03       9.192879226627e+02 
       2.569506134118e-03       9.541585959527e+02 
       2.681241325596e-03       9.889226188703e+02 
       2.794157558462e-03       1.023532048037e+03 
       2.908150694785e-03       1.057944519932e+03 
       3.023126453312e-03       1.092122753819e+03 
       3.138999612955e-03       1.126034048365e+03 
       3.255693220150e-03       1.159649813340e+03 
       3.373137823618e-03       1.192945126637e+03 
       3.491270751286e-03       1.225898351810e+03 
       3.610035437715e-03       1.258490786970e+03 
