# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       3.223068326095e-10       5.584605116974e-15       4.712584945626e-13       0.000000000000e+00       8.738777645883e-09       9.605111755291e-10      -2.176004650847e-12 
    3       2.922182265503e-10       7.678363063092e-15       6.299100720731e-13       0.000000000000e+00       5.468004067517e-09       6.952725826223e-10      -1.613511703198e-12 
    4       2.619378646227e-10       7.046031061551e-15       6.149009494390e-13       0.000000000000e+00       3.847900278261e-09       5.345318757245e-10      -1.067131335419e-12 
    5       2.374370432529e-10       4.996778728050e-15       5.148436469781e-13       0.000000000000e+00       2.895436234500e-09       4.275592397370e-10      -6.313169138640e-13 
    6       2.184592043999e-10       2.985364525621e-15       3.950311950752e-13       0.000000000000e+00       2.274525596695e-09       3.515981418832e-10      -3.028527254566e-13 
    7       2.037847702541e-10       1.681056886948e-15       2.899300423167e-13       0.000000000000e+00       1.842002089964e-09       2.950899576280e-10      -6.276031827958e-14 
    8       1.923459417112e-10       1.027760871923e-15       2.163124534895e-13       0.000000000000e+00       1.525969827966e-09       2.516506620028e-10       1.067417184711e-13 
    9       1.833663599116e-10       7.384940667358e-16       1.806367558584e-13       0.000000000000e+00       1.286821898599e-09       2.175028848619e-10       2.140651797859e-13 
   10       1.762779696985e-10       6.181424813125e-16       1.763691447726e-13       0.000000000000e+00       1.101017689655e-09       1.902078983732e-10       2.602940876674e-13 
   11       1.708121266431e-10       5.754489960895e-16       1.828003783573e-13       0.000000000000e+00       9.457435230836e-10       1.686538788507e-10       2.535860123275e-13 
   12       1.666877068104e-10       5.546303395135e-16       1.798603716118e-13       0.000000000000e+00       8.272649767940e-10       1.512703162862e-10       1.981198536049e-13 
   13       1.635378372772e-10       5.261949593908e-16       1.667853200218e-13       0.000000000000e+00       7.300374585119e-10       1.342270125433e-10       1.250874754687e-13 
   14       1.610531030385e-10       4.865264652534e-16       1.555140486337e-13       0.000000000000e+00       6.489032619320e-10       1.221866947273e-10       5.453401098588e-14 
   15       1.590451494434e-10       4.419651795914e-16       1.501712959071e-13       0.000000000000e+00       5.797991850437e-10       1.109794923436e-10       3.638079993258e-15 
   16       1.574938188761e-10       4.047162775010e-16       1.469560218242e-13       0.000000000000e+00       5.216305324143e-10       9.945122997322e-11      -2.562103961346e-14 
   17       1.563598514942e-10       3.907674632464e-16       1.452286790841e-13       0.000000000000e+00       4.715174022170e-10       9.175251763598e-11      -3.017925194469e-14 
   18       1.555772931768e-10       4.092098191284e-16       1.472406324837e-13       0.000000000000e+00       4.278387841187e-10       8.405452616336e-11      -2.487857821715e-14 
   19       1.551533980621e-10       4.589549516298e-16       1.526740364441e-13       0.000000000000e+00       3.900080880914e-10       7.627354284759e-11      -1.727458006842e-14 
   20       1.550101379791e-10       5.341676433926e-16       1.599173886013e-13       0.000000000000e+00       3.565753907674e-10       7.020458738971e-11      -1.148293119165e-14 
   21       1.551361408346e-10       6.318015061258e-16       1.684903553667e-13       0.000000000000e+00       3.271324384629e-10       6.545025954133e-11      -9.360750942021e-15 
   22       1.554834742709e-10       7.488002362544e-16       1.781441800400e-13       0.000000000000e+00       3.011125204214e-10       6.081698613753e-11      -1.156522911008e-14 
   23       1.560485443042e-10       8.833068769964e-16       1.884901271925e-13       0.000000000000e+00       2.780824615193e-10       5.624573324529e-11      -1.627925745081e-14 
   24       1.568008844365e-10       1.033329796637e-15       1.989701516786e-13       0.000000000000e+00       2.573650392162e-10       5.200720373716e-11      -2.070282364688e-14 
   25       1.577229027394e-10       1.197141999926e-15       2.089352719859e-13       0.000000000000e+00       2.386895939289e-10       4.820062484615e-11      -2.365012672622e-14 
   26       1.587778659649e-10       1.373383458425e-15       2.177188775353e-13       0.000000000000e+00       2.217543401781e-10       4.483571081975e-11      -2.451368038842e-14 
   27       1.599737664661e-10       1.563677725565e-15       2.251592756066e-13       0.000000000000e+00       2.064901308284e-10       4.188176744692e-11      -2.339355074903e-14 
   28       1.613048567645e-10       1.771043690858e-15       2.312878868019e-13       0.000000000000e+00       1.927195871267e-10       3.924754315177e-11      -2.074891563767e-14 
   29       1.627414417783e-10       1.998768132899e-15       2.362032967319e-13       0.000000000000e+00       1.801171381035e-10       3.680892543260e-11      -1.722608754564e-14 
   30       1.642874314190e-10       2.248719976226e-15       2.400862322198e-13       0.000000000000e+00       1.686138483562e-10       3.454626562150e-11      -1.354914974007e-14 
   31       1.659397328042e-10       2.522392871215e-15       2.432015651473e-13       0.000000000000e+00       1.581224405014e-10       3.245529218259e-11      -1.061477748181e-14 
   32       1.676804368344e-10       2.821142001170e-15       2.458101900204e-13       0.000000000000e+00       1.484751109616e-10       3.051791648035e-11      -9.258862405543e-15 
   33       1.695112853535e-10       3.145510048715e-15       2.478503385925e-13       0.000000000000e+00       1.396183516480e-10       2.873118755906e-11      -9.285236532845e-15 
   34       1.714282981454e-10       3.495627059053e-15       2.491374946513e-13       0.000000000000e+00       1.314731832511e-10       2.708600695795e-11      -1.006796791276e-14 
   35       1.734180749657e-10       3.871548308776e-15       2.494646365176e-13       0.000000000000e+00       1.239181694241e-10       2.556406106444e-11      -1.092672818099e-14 
   36       1.754823378674e-10       4.273888827209e-15       2.486743902215e-13       0.000000000000e+00       1.169342342695e-10       2.415851190988e-11      -1.160245446024e-14 
   37       1.776195510125e-10       4.703392406933e-15       2.466081404094e-13       0.000000000000e+00       1.105005699505e-10       2.285854013201e-11      -1.193576536819e-14 
   38       1.798169525622e-10       5.160759084270e-15       2.430849886548e-13       0.000000000000e+00       1.045509244770e-10       2.164265662294e-11      -1.173877170347e-14 
   39       1.820573292779e-10       5.646677693969e-15       2.379481791747e-13       0.000000000000e+00       9.899754463451e-11       2.048626474699e-11      -1.087444511140e-14 
   40       1.843449160659e-10       6.161945372896e-15       2.312271006693e-13       0.000000000000e+00       9.382302981813e-11       1.938975119061e-11      -9.531476895598e-15 
