# Matter power spectrum P(k) at redshift z=0
# for k=9.98378e-06 to 1.4771 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.983778585635e-06       5.040590271237e+01 
       2.266726664073e-05       1.114122025028e+02 
       3.539321212796e-05       1.714394442188e+02 
       4.819480895934e-05       2.310922142641e+02 
       6.110577674038e-05       2.907156792790e+02 
       7.416065232368e-05       3.505700435270e+02 
       8.739509032601e-05       4.108788627293e+02 
       1.008461764970e-04       4.718487204692e+02 
       1.145527578569e-04       5.336792707716e+02 
       1.285557935551e-04       5.957600618732e+02 
       1.428987304094e-04       6.598256874509e+02 
       1.576279070505e-04       7.253599575825e+02 
       1.727929904532e-04       7.925806064277e+02 
       1.884474483480e-04       8.617171337099e+02 
       2.046490604759e-04       9.348941681025e+02 
       2.214604707780e-04       1.008760725409e+03 
       2.389497812617e-04       1.085422840576e+03 
       2.571911862698e-04       1.165004104019e+03 
       2.762656429847e-04       1.248523881382e+03 
       2.962615699396e-04       1.335372009682e+03 
       3.172755597836e-04       1.426070233910e+03 
       3.394130851905e-04       1.521584135997e+03 
       3.627891672877e-04       1.621655443160e+03 
       3.875289640456e-04       1.726841136331e+03 
       4.137682216192e-04       1.840162623580e+03 
       4.416535149842e-04       1.959070829390e+03 
       4.713421862152e-04       2.083944056760e+03 
       5.030018712382e-04       2.216183799604e+03 
       5.368094918380e-04       2.360270821352e+03 
       5.729495836132e-04       2.509572736248e+03 
       6.116118383451e-04       2.669627517657e+03 
       6.529877677232e-04       2.842968418778e+03 
       6.972664509586e-04       3.024968888637e+03 
       7.446294152575e-04       3.218443514510e+03 
       7.952448134293e-04       3.423887248550e+03 
       8.492611962954e-04       3.641330894618e+03 
       9.068013079633e-04       3.871558385659e+03 
       9.679564297896e-04       4.113610985133e+03 
       1.032781832094e-03       4.369084723394e+03 
       1.101293837538e-03       4.636142071038e+03 
       1.173468851527e-03       4.914674346842e+03 
       1.249244493137e-03       5.204101904092e+03 
       1.328522707573e-03       5.503269146785e+03 
       1.411174511051e-03       5.812202039645e+03 
       1.477104874446e-03       6.055926436971e+03 
       1.497045857882e-03       6.128996460882e+03 
       1.585964053133e-03       6.453313108197e+03 
       1.677744162151e-03       6.783488076520e+03 
       1.772194967814e-03       7.118602374114e+03 
       1.869124164351e-03       7.457722006002e+03 
       1.968342619945e-03       7.799857345028e+03 
       2.069667664864e-03       8.144022409337e+03 
       2.172925454746e-03       8.489353936006e+03 
       2.277952517281e-03       8.835034214372e+03 
       2.384596619024e-03       9.180446476618e+03 
       2.492717094784e-03       9.524912581581e+03 
       2.602184772956e-03       9.867779674095e+03 
       2.712881612819e-03       1.020853311964e+04 
       2.824700149453e-03       1.054694456271e+04 
       2.937542821586e-03       1.088246659772e+04 
       3.051321239398e-03       1.121470190616e+04 
       3.165955433788e-03       1.154341408759e+04 
       3.281373116062e-03       1.186837069806e+04 
       3.397508967288e-03       1.218933188254e+04 
       3.514303969180e-03       1.250607831973e+04 
       3.631704783047e-03       1.281853708016e+04 
       3.749663179492e-03       1.312652128306e+04 
       3.868135518982e-03       1.343002445220e+04 
       3.987082281649e-03       1.372884257009e+04 
