# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381973482741e-10       4.770356107747e-15       4.524803740269e-13       2.156187856343e-19       7.789687162308e-09       3.600832758509e-10      -1.916447350440e-12 
    3       1.333901934386e-10       6.475862293084e-15       4.951508812067e-13       4.312513571203e-19       4.732770189493e-09       2.652610805410e-10      -1.536805445342e-12 
    4       1.284312368058e-10       6.002115920919e-15       4.611952550696e-13       7.187857088969e-19       3.258074350921e-09       2.063180426669e-10      -1.084490629071e-12 
    5       1.245399163958e-10       4.319232816860e-15       3.920340275708e-13       1.078247872572e-18       2.411619282693e-09       1.662221770748e-10      -6.729622029054e-13 
    6       1.218574056378e-10       2.573357322545e-15       3.129637084639e-13       1.509676546170e-18       1.870604765625e-09       1.374085259521e-10      -3.456236125433e-13 
    7       1.201424596515e-10       1.387519895770e-15       2.410150809337e-13       2.013126612266e-18       1.500225832097e-09       1.158790652655e-10      -1.166257122619e-13 
    8       1.192354479560e-10       8.052138757274e-16       1.849469465505e-13       2.588672810898e-18       1.233639420846e-09       9.942901554972e-11       1.882426217346e-14 
    9       1.189433761984e-10       5.898242204907e-16       1.475640450582e-13       3.236413314985e-18       1.034065956619e-09       8.669185812135e-11       7.746346721351e-14 
   10       1.190609931629e-10       5.108381865882e-16       1.274335689684e-13       3.956472949970e-18       8.799126889086e-10       7.660197626708e-11       8.194370032435e-14 
   11       1.195804620928e-10       4.611819223055e-16       1.206182320376e-13       4.749005806910e-18       7.453866574539e-10       6.903537361458e-11       5.809265253278e-14 
   12       1.203350774510e-10       4.306231485326e-16       1.222557078177e-13       5.614197018929e-18       6.488372397356e-10       6.114527086192e-11       2.029729064750e-14 
   13       1.212918120804e-10       4.333795113298e-16       1.280246184672e-13       6.552263504268e-18       5.707635288211e-10       5.535392091781e-11      -1.395754378541e-14 
   14       1.224422245052e-10       4.640012680191e-16       1.348297749691e-13       7.563453523461e-18       5.064521499857e-10       5.026399354949e-11      -3.723569505071e-14 
   15       1.237425476333e-10       4.995991735629e-16       1.408231863715e-13       8.648044951812e-18       4.511318244488e-10       4.629595672469e-11      -4.686837633613e-14 
