# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504519814e-22       4.634894139599e-07       2.157545693289e+18       1.344872918315e+04       1.344872918315e-08       1.344872918315e+16       2.675958479051e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+26       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.270295769850e+36       4.655003418630e+36       1.574068908093e+28       1.287770619166e+05       6.176770207500e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693949813e-22       4.667344910558e-07       2.127654278362e+18       1.344872918314e+04       1.354287028743e-08       1.335524248574e+16       2.694690188398e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+26       1.967513892084e+23       6.157249276515e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.235341324558e+36       4.526912728232e+36       1.541470894365e+28       1.276952015504e+05       8.617352621853e-08       1.433565615442e+02 
       9.861456399039e+11       7.772375235112e-22       4.700013960246e-07       2.098176989861e+18       1.344872918314e+04       1.363767037944e-08       1.326240564622e+16       2.713553019710e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+26       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.201348712939e+36       4.402346680781e+36       1.509547965758e+28       1.266259985925e+05       1.723470524297e-07       7.167828077421e+01 
       9.792906056642e+11       7.881569334787e-22       4.732919478556e-07       2.069108090329e+18       1.344872918314e+04       1.373313407209e-08       1.317021414718e+16       2.732547890841e-07       2.530611196823e+36       2.302222436599e+27       1.044944824164e+26       1.886865675401e+23       5.823056070211e+35       1.941018690070e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.168291468430e+36       4.281208289464e+36       1.478286141668e+28       1.255692237026e+05       2.585205786398e-07       4.778552051640e+01 
       9.724832231024e+11       7.992297502367e-22       4.766043275595e-07       2.040441921798e+18       1.344872918313e+04       1.382926601059e-08       1.307866350266e+16       2.751675726070e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+26       1.847789830072e+23       5.662824335471e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.136143852743e+36       4.163403236232e+36       1.447671731020e+28       1.245246530241e+05       3.446941048487e-07       3.583914038728e+01 
       9.657231609755e+11       8.104581289972e-22       4.799403541256e-07       2.012172904689e+18       1.344872918313e+04       1.392607087266e-08       1.298774925785e+16       2.770937456145e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+26       1.809523221833e+23       5.507001661627e+35       1.835667220542e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.104880835825e+36       4.048839798364e+36       1.417691326275e+28       1.234920680391e+05       4.308676310565e-07       2.867131230975e+01 
       9.590100903431e+11       8.218442552507e-22       4.833000275539e-07       1.984295536722e+18       1.344872918313e+04       1.402355336877e-08       1.289746698892e+16       2.790334018330e-07       2.327404011990e+36       2.162131216469e+27       9.813594845993e+25       1.772049091874e+23       5.355466725535e+35       1.785155575178e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.074478076368e+36       3.937428777055e+36       1.388331797554e+28       1.224712554273e+05       5.170411572633e-07       2.389276025803e+01 
       9.523436845512e+11       8.333903451918e-22       4.866833478445e-07       1.956804391849e+18       1.344872918312e+04       1.412171824235e-08       1.280781230280e+16       2.809866356450e-07       2.263361355044e+36       2.117354788504e+27       9.610361240485e+25       1.735351028450e+23       5.208101542471e+35       1.736033847490e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.044911902860e+36       3.829083427960e+36       1.359580286891e+28       1.214620069283e+05       6.032146834689e-07       2.047950879251e+01 
       9.457236192166e+11       8.450986461503e-22       4.900903149974e-07       1.929694119197e+18       1.344872918312e+04       1.422057027004e-08       1.271878083694e+16       2.829535420937e-07       2.201080945600e+36       2.073505653242e+27       9.411336479855e+25       1.699412959692e+23       5.064791374272e+35       1.688263791424e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.016159295153e+36       3.723719393662e+36       1.331424202600e+28       1.204641192084e+05       6.893882096735e-07       1.791957019337e+01 
       9.391495722110e+11       8.569714370288e-22       4.935209290124e-07       1.902959442024e+18       1.344872918312e+04       1.432011426193e-08       1.263036825912e+16       2.849342168874e-07       2.140514292289e+36       2.030564607013e+27       9.216433401476e+25       1.664219146572e+23       4.925424639998e+35       1.641808213333e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.881978665365e+35       3.621254637987e+36       1.303851213761e+28       1.194773937306e+05       7.755617358771e-07       1.592850683847e+01 
       9.326212236455e+11       8.690110287462e-22       4.969751898898e-07       1.876595156695e+18       1.344872918311e+04       1.442035506176e-08       1.254257026725e+16       2.869287564047e-07       2.081614238064e+36       1.988512843844e+27       9.025566647804e+25       1.629754176007e+23       4.789892829058e+35       1.596630943019e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.610058463133e+35       3.521609382130e+36       1.276849244821e+28       1.185016366278e+05       8.617352620796e-07       1.433565615456e+01 
