# Matter power spectrum P(k) at redshift z=3
# for k=1.09832e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.098323011996e-05       4.034392327404e+00 
       2.456609863059e-05       8.789185740406e+00 
       3.820196235635e-05       1.347167993947e+01 
       5.193162748028e-05       1.813003700806e+01 
       6.579664891404e-05       2.279282478220e+01 
       7.983974213527e-05       2.748219986102e+01 
       9.410520958009e-05       3.221763048362e+01 
       1.086393878414e-04       3.701744585980e+01 
       1.234911219658e-04       4.189965206174e+01 
       1.387122731757e-04       4.688244575987e+01 
       1.543582663150e-04       5.198458848968e+01 
       1.704886831533e-04       5.722571309003e+01 
       1.871679072897e-04       6.262648931126e+01 
       2.044658256238e-04       6.820930526894e+01 
       2.224585900278e-04       7.399790933446e+01 
       2.412294407036e-04       8.001806850239e+01 
       2.608695894089e-04       8.629773428601e+01 
       2.814791558649e-04       9.286730883277e+01 
       3.031681436911e-04       9.975990962722e+01 
       3.260574325438e-04       1.070116246158e+02 
       3.502797500845e-04       1.146617449296e+02 
       3.759805703595e-04       1.227529566325e+02 
       4.033188636791e-04       1.313314659739e+02 
       4.324675972034e-04       1.404499082787e+02 
       4.636138561061e-04       1.501558869480e+02 
       4.969584248303e-04       1.605084023743e+02 
       5.327146411634e-04       1.715663091872e+02 
       5.711063200286e-04       1.833901465298e+02 
       6.123645494383e-04       1.960403024707e+02 
       6.567232006885e-04       2.095777398743e+02 
       7.044130812671e-04       2.240585503877e+02 
       7.556548002151e-04       2.395335185489e+02 
       8.106506090063e-04       2.560385594350e+02 
       8.695757060313e-04       2.736188344064e+02 
       9.325697082770e-04       2.922859999625e+02 
       9.997291420844e-04       3.120427815607e+02 
       1.071101826599e-03       3.328764328695e+02 
       1.146683880547e-03       3.547532959398e+02 
       1.226419780167e-03       3.776265078896e+02 
       1.310205489570e-03       4.014363035884e+02 
       1.397894267954e-03       4.261037674151e+02 
       1.477104874446e-03       4.481672390450e+02 
       1.489304429660e-03       4.515474188151e+02 
       1.584228161605e-03       4.776814941274e+02 
       1.682440505337e-03       5.044114307916e+02 
       1.783707756016e-03       5.316458591354e+02 
       1.887794756863e-03       5.592938073451e+02 
       1.994470810898e-03       5.872675619758e+02 
       2.103514143470e-03       6.154704787118e+02 
       2.214715003793e-03       6.438723850038e+02 
       2.327877586896e-03       6.723715833748e+02 
       2.442820997860e-03       7.009224166747e+02 
       2.559379482563e-03       7.294665523532e+02 
       2.677402128266e-03       7.579580804469e+02 
       2.796752205129e-03       7.863447161909e+02 
       2.917306284670e-03       8.145965509434e+02 
       3.038953238176e-03       8.426837544628e+02 
       3.161593189676e-03       8.705707718180e+02 
       3.285136475078e-03       8.982389895933e+02 
       3.409502641281e-03       9.256648292422e+02 
       3.534619505791e-03       9.528305193366e+02 
       3.660422287884e-03       9.797265659449e+02 
       3.786852815679e-03       1.006321102924e+03 
       3.913858809126e-03       1.032624439209e+03 
       4.041393236032e-03       1.058615040065e+03 
       4.169413736633e-03       1.084291162163e+03 
       4.297882111331e-03       1.109646974239e+03 
       4.426763865857e-03       1.134674593444e+03 
       4.556027808186e-03       1.159368272279e+03 
       4.685645691715e-03       1.183729339879e+03 
       4.815591899606e-03       1.207752835247e+03 
       4.945843165608e-03       1.231437846415e+03 
       5.076378327093e-03       1.254784567710e+03 
       5.207178106520e-03       1.277790494728e+03 
       5.338224917928e-03       1.300457986193e+03 
       5.469502695439e-03       1.322784792873e+03 
       5.600996741143e-03       1.344773163092e+03 
       5.732693590021e-03       1.366424695061e+03 
       5.864580889854e-03       1.387702946273e+03 
       5.996647294339e-03       1.408685726417e+03 
       6.128882367821e-03       1.429333664145e+03 
       6.261276500283e-03       1.449641968829e+03 
       6.393820831378e-03       1.469624676783e+03 
       6.526507182444e-03       1.489280109713e+03 
       6.659327995599e-03       1.508610103525e+03 
       6.792276279080e-03       1.527614732652e+03 
       6.925345558136e-03       1.546308911981e+03 
       7.058529830838e-03       1.564669328368e+03 
       7.191823528273e-03       1.582719632921e+03 
       7.325221478627e-03       1.600457987353e+03 
       7.458718874737e-03       1.617871762264e+03 
       7.592311244746e-03       1.634987376037e+03 
       7.725994425516e-03       1.651796437861e+03 
       7.859764538526e-03       1.668306053374e+03 
       7.993617967985e-03       1.684506027399e+03 
       8.127551340930e-03       1.700424181631e+03 
       8.261561509114e-03       1.716034863724e+03 
       8.395645532508e-03       1.731348906659e+03 
       8.529800664240e-03       1.746375651178e+03 
       8.664024336849e-03       1.761115814834e+03 
       8.798314149710e-03       1.775572265880e+03 
       8.932667857527e-03       1.789747642061e+03 
       9.067083359797e-03       1.803646144132e+03 
       9.201558691138e-03       1.817268699837e+03 
       9.336092012413e-03       1.830618227689e+03 
       9.470681602580e-03       1.843701962596e+03 
       9.605325851189e-03       1.856511908417e+03 
       9.740023251481e-03       1.869044357929e+03 
       9.874772394026e-03       1.881334718926e+03 
       1.000957196086e-02       1.893356645139e+03 
       1.014442072009e-02       1.905125987513e+03 
       1.027931752085e-02       1.916643981359e+03 
       1.041426128875e-02       1.927910880155e+03 
       1.054925102157e-02       1.938930047445e+03 
       1.068428578530e-02       1.949725094045e+03 
       1.081936471051e-02       1.960232589294e+03 
       1.095448698894e-02       1.970521792456e+03 
       1.108965187039e-02       1.980571923011e+03 
       1.122485865976e-02       1.990388071964e+03 
       1.136010671441e-02       1.999973810024e+03 
       1.149539544159e-02       2.009320215787e+03 
       1.163072429616e-02       2.018441750027e+03 
       1.176609277841e-02       2.027339915264e+03 
       1.190150043206e-02       2.036021606952e+03 
       1.203694684237e-02       2.044472519623e+03 
       1.217243163447e-02       2.052717559253e+03 
       1.230795447166e-02       2.060734261384e+03 
       1.244351505399e-02       2.068547667560e+03 
       1.257911311684e-02       2.076140572717e+03 
       1.271474842963e-02       2.083546640141e+03 
       1.285042079462e-02       2.090731167717e+03 
       1.298613004581e-02       2.097702016834e+03 
       1.312187604790e-02       2.104469852951e+03 
       1.325765869532e-02       2.111038471711e+03 
       1.339347791138e-02       2.117409097025e+03 
       1.352933364741e-02       2.123616927723e+03 
       1.366522588202e-02       2.129572664328e+03 
       1.380115462040e-02       2.135362074523e+03 
       1.393711989368e-02       2.140962598735e+03 
       1.407312175833e-02       2.146374794087e+03 
       1.420916029560e-02       2.151602202032e+03 
       1.434523561105e-02       2.156646474828e+03 
       1.448134783408e-02       2.161509494460e+03 
       1.461749711751e-02       2.166199033311e+03 
       1.475368363719e-02       2.170696923211e+03 
       1.477104874446e-02       2.171258734665e+03 
       1.488990759171e-02       2.175027673793e+03 
       1.502616920206e-02       2.179188083285e+03 
       1.516246871134e-02       2.183168298885e+03 
       1.529880638457e-02       2.186984072309e+03 
       1.543518250845e-02       2.190667218399e+03 
       1.557159739119e-02       2.194150951200e+03 
       1.570805136235e-02       2.197479193893e+03 
       1.584454477272e-02       2.200637625757e+03 
       1.598107799423e-02       2.203638752267e+03 
       1.611765141987e-02       2.206477658410e+03 
       1.625426546363e-02       2.209163372633e+03 
       1.639092056047e-02       2.211692851503e+03 
       1.652761716634e-02       2.214087009512e+03 
       1.666435575817e-02       2.216315174535e+03 
       1.680113683391e-02       2.218395666325e+03 
       1.693796091260e-02       2.220330154323e+03 
       1.707482853444e-02       2.222120128251e+03 
       1.721174026088e-02       2.223774883430e+03 
       1.734869667475e-02       2.225278741701e+03 
       1.748569838038e-02       2.226642466150e+03 
       1.762274600376e-02       2.227863468981e+03 
       1.775984019269e-02       2.228955208990e+03 
       1.789698161702e-02       2.229911662434e+03 
       1.803417096878e-02       2.230734226845e+03 
       1.817140896249e-02       2.231427385168e+03 
       1.830869633531e-02       2.231988492299e+03 
       1.844603384737e-02       2.232422673158e+03 
       1.858342228200e-02       2.232730684752e+03 
       1.872086244604e-02       2.232913605576e+03 
       1.885835517015e-02       2.232973191903e+03 
       1.899590130911e-02       2.232911462196e+03 
       1.913350174221e-02       2.232729309208e+03 
       1.927115737354e-02       2.232453206570e+03 
       1.940886913245e-02       2.232035134622e+03 
       1.954663797386e-02       2.231503202037e+03 
       1.968446487872e-02       2.230856035829e+03 
       1.982235085443e-02       2.230096826481e+03 
       1.996029693529e-02       2.229235619232e+03 
       2.009830418294e-02       2.228251827995e+03 
       2.023637368685e-02       2.227173777813e+03 
       2.037450656485e-02       2.225982163517e+03 
       2.051270396360e-02       2.224686220148e+03 
       2.065096705917e-02       2.223287205049e+03 
       2.078929705756e-02       2.221792896489e+03 
       2.092769519532e-02       2.220194292030e+03 
       2.106616274010e-02       2.218497293587e+03 
       2.120470099128e-02       2.216702162166e+03 
       2.134331128065e-02       2.214823216167e+03 
       2.148199497298e-02       2.212837601831e+03 
       2.162075346680e-02       2.210759042314e+03 
       2.175958819504e-02       2.208589324576e+03 
       2.189850062575e-02       2.206329507627e+03 
       2.203749226291e-02       2.203982346815e+03 
       2.217656464712e-02       2.201546899681e+03 
       2.231571935646e-02       2.199024660447e+03 
       2.245495800730e-02       2.196428251533e+03 
       2.259428225512e-02       2.193737161364e+03 
       2.273369379541e-02       2.190966050039e+03 
       2.287319436456e-02       2.188113004403e+03 
       2.301278574082e-02       2.185181552451e+03 
       2.315246974520e-02       2.182172518864e+03 
       2.329224824252e-02       2.179083953474e+03 
       2.343212314239e-02       2.175935818605e+03 
       2.357209640027e-02       2.172698438079e+03 
       2.371217001858e-02       2.169390681992e+03 
       2.385234604776e-02       2.166012904826e+03 
       2.399262658750e-02       2.162563413542e+03 
       2.413301378785e-02       2.159043464526e+03 
       2.427350985049e-02       2.155454525754e+03 
       2.441411702999e-02       2.151798374249e+03 
       2.455483763510e-02       2.148080796086e+03 
       2.469567403011e-02       2.144295845406e+03 
       2.483662863619e-02       2.140448253562e+03 
       2.497770393291e-02       2.136544269449e+03 
       2.511890245960e-02       2.132574361025e+03 
       2.526022681697e-02       2.128541743612e+03 
       2.540167966862e-02       2.124454749256e+03 
       2.554326374270e-02       2.120305811620e+03 
       2.568498183353e-02       2.116100142251e+03 
       2.582683680338e-02       2.111839294060e+03 
       2.596883158422e-02       2.107529981880e+03 
       2.611096917956e-02       2.103157814165e+03 
       2.625325266638e-02       2.098745150758e+03 
       2.639568519705e-02       2.094274494371e+03 
       2.653827000138e-02       2.089751218483e+03 
       2.668101038871e-02       2.085181376380e+03 
       2.682390975006e-02       2.080562785008e+03 
       2.696697156042e-02       2.075897974390e+03 
       2.711019938096e-02       2.071195031285e+03 
       2.725359686154e-02       2.066439584099e+03 
       2.739716774309e-02       2.061639421602e+03 
       2.754091586019e-02       2.056798703627e+03 
       2.768484514375e-02       2.051907918112e+03 
       2.782895962371e-02       2.046981667100e+03 
       2.797326343187e-02       2.042022510956e+03 
       2.811776080484e-02       2.037015599525e+03 
       2.826245608707e-02       2.031972923067e+03 
       2.840735373399e-02       2.026891109547e+03 
       2.855245831526e-02       2.021771520963e+03 
       2.869777451817e-02       2.016616253171e+03 
       2.884330715110e-02       2.011430538406e+03 
       2.898906114716e-02       2.006208433756e+03 
       2.913504156796e-02       2.000949811795e+03 
       2.928125360751e-02       1.995659067117e+03 
       2.942770259622e-02       1.990336945893e+03 
       2.957439400515e-02       1.984984014407e+03 
       2.972133345034e-02       1.979601495009e+03 
       2.986852669733e-02       1.974189596039e+03 
       3.001597966585e-02       1.968748973748e+03 
       3.016369843473e-02       1.963280616950e+03 
       3.031168924693e-02       1.957790624441e+03 
       3.045995851483e-02       1.952269451288e+03 
       3.060851282570e-02       1.946721619967e+03 
