# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.999999999990e+11       7.558503619522e-22       4.634894139599e-07       2.157545950274e+18       1.417428100835e+04       1.417428100835e-08       1.417428100835e+16       2.675958160318e-07       2.751560535470e+36       2.451390603497e+27       1.335180067264e+28       3.518813247345e-08       1.903443976270e+36       4.655004527543e+36       6.991309358151e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693036873e-22       4.667344910558e-07       2.127654531782e+18       1.417428100835e+04       1.427350097541e-08       1.407575075307e+16       2.694689867434e-07       2.675846458098e+36       2.400623788821e+27       1.307529296743e+28       3.518813247345e-08       1.851067333040e+36       4.526913806614e+36       9.753734719563e-08       1.433565615445e+02 
       9.861456399039e+11       7.772374309347e-22       4.700013960246e-07       2.098177239766e+18       1.417428100834e+04       1.437341548223e-08       1.397790541516e+16       2.713552696499e-07       2.602215788101e+36       2.350908324129e+27       1.280451156933e+28       3.518813247345e-08       1.800131926216e+36       4.402347729473e+36       1.950746943831e-07       7.167828077441e+01 
       9.792906056642e+11       7.881568396016e-22       4.732919478556e-07       2.069108336768e+18       1.417428100834e+04       1.447402939060e-08       1.388074023353e+16       2.732547565368e-07       2.530611196823e+36       2.302222436599e+27       1.253933788997e+28       3.518813247345e-08       1.750598097618e+36       4.281209309283e+36       2.926120415695e-07       4.778552051657e+01 
       9.724832231024e+11       7.992296550408e-22       4.766043275595e-07       2.040442164819e+18       1.417428100834e+04       1.457534759634e-08       1.378425048016e+16       2.751675398319e-07       2.460976933108e+36       2.254544804313e+27       1.227965579691e+28       3.518813247345e-08       1.702427280330e+36       4.163404227973e+36       3.901493887548e-07       3.583914038745e+01 
       9.657231609756e+11       8.104580324639e-22       4.799403541256e-07       2.012173144339e+18       1.417428100833e+04       1.467737502951e-08       1.368843145994e+16       2.770937126099e-07       2.393258779892e+36       2.207854546915e+27       1.202535156272e+28       3.518813247345e-08       1.655581968675e+36       4.048840762800e+36       4.876867359390e-07       2.867131230990e+01 
       9.590100903431e+11       8.218441573614e-22       4.833000275539e-07       1.984295773048e+18       1.417428100833e+04       1.478011665471e-08       1.359327851036e+16       2.790333685974e-07       2.327404011990e+36       2.162131216469e+27       1.177631381519e+28       3.518813247345e-08       1.610025689009e+36       3.937429714937e+36       5.852240831221e-07       2.389276025818e+01 
       9.523436845512e+11       8.333902459273e-22       4.866833478445e-07       1.956804624898e+18       1.417428100833e+04       1.488357747129e-08       1.349878700135e+16       2.809866021768e-07       2.263361355044e+36       2.117354788504e+27       1.153243348858e+28       3.518813247345e-08       1.565722971327e+36       3.829084340020e+36       6.827614303042e-07       2.047950879266e+01 
       9.457236192166e+11       8.450985454914e-22       4.900903149974e-07       1.929694349013e+18       1.417428100832e+04       1.498776251359e-08       1.340495233500e+16       2.829535083912e-07       2.201080945601e+36       2.073505653242e+27       1.129360377583e+28       3.518813247345e-08       1.522639321643e+36       3.723720280611e+36       7.802987774853e-07       1.791957019351e+01 
       9.391495722111e+11       8.569713349559e-22       4.935209290124e-07       1.902959668652e+18       1.417428100832e+04       1.509267685118e-08       1.331176994538e+16       2.849341829491e-07       2.140514292289e+36       2.030564607014e+27       1.105972008177e+28       3.518813247345e-08       1.480741195135e+36       3.621255500515e+36       8.778361246653e-07       1.592850683861e+01 
       9.326212236455e+11       8.690109252395e-22       4.969751898898e-07       1.876595380179e+18       1.417428100832e+04       1.519832558913e-08       1.321923529829e+16       2.869287222289e-07       2.081614238065e+36       1.988512843845e+27       1.083067997737e+28       3.518813247345e-08       1.439995970027e+36       3.521610220911e+36       9.753734718443e-07       1.433565615469e+01 
       9.261382558545e+11       8.812196597268e-22       5.004530976294e-07       1.850596352053e+18       1.417428100831e+04       1.530471386826e-08       1.312734389105e+16       2.889372232836e-07       2.024334923491e+36       1.947331947222e+27       1.060638315480e+28       3.518813247345e-08       1.400371922188e+36       3.424706858233e+36       1.072910819022e-06       1.303241468603e+01 
       9.197003533808e+11       8.935999147247e-22       5.039564712206e-07       1.824957523825e+18       1.417428100831e+04       1.541184686533e-08       1.303609125228e+16       2.909597838456e-07       1.968631751037e+36       1.907003882026e+27       1.038673138358e+28       3.518813247345e-08       1.361838200433e+36       3.330469963764e+36       1.170448166200e-06       1.194638012882e+01 
       9.133072029600e+11       9.061540999250e-22       5.074853106635e-07       1.799673905154e+18       1.417428100831e+04       1.551972979338e-08       1.294547294168e+16       2.929965023316e-07       1.914461350353e+36       1.867510986635e+27       1.017162846751e+28       3.518813247345e-08       1.324364802502e+36       3.238826164894e+36       1.267985513376e-06       1.102742781117e+01 
       9.069584935054e+11       9.188846588729e-22       5.110377969686e-07       1.774740574842e+18       1.417428100830e+04       1.562836790193e-08       1.285548454983e+16       2.950474778469e-07       1.861781544498e+36       1.828835965188e+27       9.960980202550e+27       3.518813247345e-08       1.287922551702e+36       3.149704107990e+36       1.365522860551e-06       1.023975439605e+01 
       9.006539160927e+11       9.317940694434e-22       5.146139301360e-07       1.750152679865e+18       1.417428100830e+04       1.573776647724e-08       1.276612169794e+16       2.971128101908e-07       1.810551317108e+36       1.790961880011e+27       9.754694335574e+27       3.518813247345e-08       1.252483074187e+36       3.063034402840e+36       1.463060207725e-06       9.557104102942e+00 
       8.943931639451e+11       9.448848443228e-22       5.182173481444e-07       1.725905434440e+18       1.417428100830e+04       1.584793084258e-08       1.267738003767e+16       2.991925998610e-07       1.760730780455e+36       1.753872144200e+27       9.552680523963e+27       3.518813247345e-08       1.218018776868e+36       2.978749568629e+36       1.560597554899e-06       8.959785096475e+00 
       8.881759324181e+11       9.581595314983e-22       5.218444130151e-07       1.701994119084e+18       1.417428100829e+04       1.595886635848e-08       1.258925525091e+16       3.012869480590e-07       1.712281144394e+36       1.717550514353e+27       9.354850296038e+27       3.518813247345e-08       1.184502825929e+36       2.896783981395e+36       1.658134902071e-06       8.432738914300e+00 
       8.820019189852e+11       9.716207147537e-22       5.254969437374e-07       1.678414079701e+18       1.417428100829e+04       1.607057842298e-08       1.250174304956e+16       3.033959566942e-07       1.665164686160e+36       1.681981083461e+27       9.161117012314e+27       3.518813247345e-08       1.151909125934e+36       2.817073822937e+36       1.755672249243e-06       7.964253419034e+00 
       8.758708232226e+11       9.852710141726e-22       5.291749403113e-07       1.655160726674e+18       1.417428100828e+04       1.618307247194e-08       1.241483917533e+16       3.055197283899e-07       1.619344720995e+36       1.647148273940e+27       8.971395827558e+27       3.518813247345e-08       1.120212299511e+36       2.739557031124e+36       1.853209596414e-06       7.545082186428e+00 
       8.697823467949e+11       9.991130866478e-22       5.328802217264e-07       1.632229533973e+18       1.417428100828e+04       1.629635397924e-08       1.232853939953e+16       3.076583664874e-07       1.574785573588e+36       1.613036830807e+27       8.785603653632e+27       3.518813247345e-08       1.089387667588e+36       2.664173251575e+36       1.950746943584e-06       7.167828077084e+00 
       8.637361934408e+11       1.013149626399e-21       5.366109689930e-07       1.609616038274e+18       1.417428100828e+04       1.641042845709e-08       1.224283952286e+16       3.098119750516e-07       1.531452550300e+36       1.579631815001e+27       8.603659123099e+27       3.518813247345e-08       1.059411230185e+36       2.590863790669e+36       2.048284290754e-06       6.826502930535e+00 
       8.577320689581e+11       1.027383365497e-21       5.403671821114e-07       1.587315838087e+18       1.417428100827e+04       1.652530145629e-08       1.215773537523e+16       3.119806588757e-07       1.489311912146e+36       1.546918596840e+27       8.425482553596e+27       3.518813247345e-08       1.030259647723e+36       2.519571569841e+36       2.145821637923e-06       6.516207342765e+00 
       8.517696811897e+11       1.041817074395e-21       5.441488610813e-07       1.565324592903e+18       1.417428100827e+04       1.664097856648e-08       1.207322281552e+16       3.141645234865e-07       1.448330848530e+36       1.514882849614e+27       8.250995912933e+27       3.518813247345e-08       1.001910222851e+36       2.450241081146e+36       2.243358985091e-06       6.232893980019e+00 
       8.458487400096e+11       1.056453562470e-21       5.479578248924e-07       1.543638022348e+18       1.417428100827e+04       1.675746541644e-08       1.198929773140e+16       3.163636751496e-07       1.408477451698e+36       1.483510543311e+27       8.080122784917e+27       3.518813247345e-08       9.743408827782e+35       2.382818344040e+36       2.340896332258e-06       5.973190064170e+00 
       8.399689573084e+11       1.071295678565e-21       5.517940735444e-07       1.522251905352e+18       1.417428100826e+04       1.687476767435e-08       1.190595603912e+16       3.185782208742e-07       1.369720691896e+36       1.452787938469e+27       7.912788335890e+27       3.518813247345e-08       9.475301620855e+35       2.317250863347e+36       2.438433679424e-06       5.734262461589e+00 
       8.341300469794e+11       1.086346311549e-21       5.556557880482e-07       1.501162079321e+18       1.417428100826e+04       1.699289104807e-08       1.182319368333e+16       3.208082684189e-07       1.332030393206e+36       1.422701580167e+27       7.748919281954e+27       3.518813247345e-08       9.214571860126e+35       2.253487588391e+36       2.535971026590e-06       5.513713905362e+00 
       8.283317249051e+11       1.101608390876e-21       5.595466063824e-07       1.480364439334e+18       1.417428100825e+04       1.711184128540e-08       1.174100663687e+16       3.230539262964e-07       1.295377210057e+36       1.393238292122e+27       7.588443856876e+27       3.518813247345e-08       8.961016542053e+35       2.191478873244e+36       2.633508373756e-06       5.309502279226e+00 
       8.225737089424e+11       1.117084887154e-21       5.634628905682e-07       1.459854937340e+18       1.417428100825e+04       1.723162417439e-08       1.165939090056e+16       3.253153037790e-07       1.259732604371e+36       1.364385170928e+27       7.431291780656e+27       3.518813247345e-08       8.714438249099e+35       2.131176438077e+36       2.731045720920e-06       5.119877197816e+00 
       8.168557189100e+11       1.132778812729e-21       5.674064595951e-07       1.439629581372e+18       1.417428100825e+04       1.735224554361e-08       1.157834250304e+16       3.275925109039e-07       1.225068823347e+36       1.336129580399e+27       7.277394228753e+27       3.518813247345e-08       8.474644996019e+35       2.072533331563e+36       2.828583068085e-06       4.943329708227e+00 
       8.111774765739e+11       1.148693222264e-21       5.713791324524e-07       1.419684434769e+18       1.417428100824e+04       1.747371126241e-08       1.149785750053e+16       3.298856584786e-07       1.191358877852e+36       1.308459146036e+27       7.126683801940e+27       3.518813247345e-08       8.241450080386e+35       2.015503894326e+36       2.926120415248e-06       4.778552051279e+00 
       8.055387056344e+11       1.164831213339e-21       5.753790901508e-07       1.400015615409e+18       1.417428100824e+04       1.759602724124e-08       1.141793197669e+16       3.321948580864e-07       1.158576521406e+36       1.281361749610e+27       6.979094496786e+27       3.518813247345e-08       8.014671937219e+35       1.960043723389e+36       3.023657762411e-06       4.624405210909e+00 
       7.999391317124e+11       1.181195927049e-21       5.794063326903e-07       1.380619294955e+18       1.417428100823e+04       1.771919943193e-08       1.133856204239e+16       3.345202220913e-07       1.126696229749e+36       1.254825523852e+27       6.834561676752e+27       3.518813247345e-08       7.794133997623e+35       1.906109637601e+36       3.121195109574e-06       4.479892548062e+00 
       7.943784823360e+11       1.197790548623e-21       5.834626790602e-07       1.361491698108e+18       1.417428100823e+04       1.784323382795e-08       1.125974383554e+16       3.368618636443e-07       1.095693180965e+36       1.228838847257e+27       6.693022043882e+27       3.518813247345e-08       7.579664551309e+35       1.853659644018e+36       3.218732456736e-06       4.344138228420e+00 
       7.888564869275e+11       1.214618308034e-21       5.875463102711e-07       1.342629101876e+18       1.417428100823e+04       1.796813646474e-08       1.118147352089e+16       3.392198966880e-07       1.065543236157e+36       1.203390338995e+27       6.554413611084e+27       3.518813247345e-08       7.371096612899e+35       1.802652905205e+36       3.316269803897e-06       4.216369456992e+00 
       7.833728767899e+11       1.231682480638e-21       5.916590453126e-07       1.324027834845e+18       1.417428100822e+04       1.809391341999e-08       1.110374728985e+16       3.415944359631e-07       1.036222920654e+36       1.178468853926e+27       6.418675674978e+27       3.518813247345e-08       7.168267791919e+35       1.753049707443e+36       3.413807151059e-06       4.095901758219e+00 
       7.779273850942e+11       1.248986387802e-21       5.958008841844e-07       1.305684276464e+18       1.417428100822e+04       1.822057081392e-08       1.102656136033e+16       3.439855970130e-07       1.007709405731e+36       1.154063477719e+27       6.285748789318e+27       3.518813247345e-08       6.971020166353e+35       1.704811429807e+36       3.511344498220e-06       3.982126709378e+00 
       7.725197468661e+11       1.266533397557e-21       5.999718268868e-07       1.287594856347e+18       1.417428100821e+04       1.834811480962e-08       1.094991197649e+16       3.463934961902e-07       9.799804908373e+35       1.130163522071e+27       6.155574738950e+27       3.518813247345e-08       6.779200159694e+35       1.657900514092e+36       3.608881845380e-06       3.874501663177e+00 
       7.671496989732e+11       1.284326925252e-21       6.041700544301e-07       1.269756053570e+18       1.417428100821e+04       1.847655161328e-08       1.087379540862e+16       3.488182506616e-07       9.530145863079e+35       1.106758520030e+27       6.028096514323e+27       3.518813247345e-08       6.592658421362e+35       1.612280435579e+36       3.706419192540e-06       3.772541093094e+00 
       7.618169801124e+11       1.302370434218e-21       6.084010237828e-07       1.252164395991e+18       1.417428100821e+04       1.860588747457e-08       1.079820795295e+16       3.512599784143e-07       9.267906965572e+35       1.083838221405e+27       5.903258286520e+27       3.518813247345e-08       6.411249710426e+35       1.567915674587e+36       3.803956539700e-06       3.675809270195e+00 
       7.565213307968e+11       1.320667436441e-21       6.126592779765e-07       1.234816459570e+18       1.417428100820e+04       1.873612868689e-08       1.072314593143e+16       3.537187982612e-07       9.012884037302e+35       1.061392588283e+27       5.781005382804e+27       3.518813247345e-08       6.234832782515e+35       1.524771688824e+36       3.901493886860e-06       3.583914038441e+00 
       7.512624933433e+11       1.339221493247e-21       6.169466360006e-07       1.217708867706e+18       1.417428100820e+04       1.886728158769e-08       1.064860569158e+16       3.561948298470e-07       8.764878518052e+35       1.039411790628e+27       5.661284262679e+27       3.518813247345e-08       6.063270279851e+35       1.482814886491e+36       3.999031234019e-06       3.496501500921e+00 
       7.460402118602e+11       1.358036215998e-21       6.212667358341e-07       1.200838290581e+18       1.417428100819e+04       1.899935255880e-08       1.057458360633e+16       3.586881936538e-07       8.523697311345e+35       1.017886201980e+27       5.544042494442e+27       3.518813247345e-08       5.896428624297e+35       1.442012600126e+36       4.096568581178e-06       3.413251465187e+00 
       7.408542322345e+11       1.377115266788e-21       6.256159394979e-07       1.184201444506e+18       1.417428100819e+04       1.913234802671e-08       1.050107607381e+16       3.611990110072e-07       8.289152634094e+35       9.968063952348e+26       5.429228732215e+27       3.518813247345e-08       5.734177913355e+35       1.402333061171e+36       4.194105928337e-06       3.333873524140e+00 
       7.357043021197e+11       1.396462359162e-21       6.299942469923e-07       1.167795091288e+18       1.417428100818e+04       1.926627446289e-08       1.042807951719e+16       3.637274040821e-07       8.061061870400e+35       9.761631385203e+26       5.316792693466e+27       3.518813247345e-08       5.576391819028e+35       1.363745375236e+36       4.291643275496e-06       3.258103671323e+00 
