# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450128296087e-10       4.706179206834e-15       3.805978000473e-13       0.000000000000e+00       8.645474490119e-09       4.767496407221e-10      -2.002350968786e-12 
    3       1.371282766831e-10       6.387479319397e-15       4.373434599981e-13       0.000000000000e+00       5.313631190412e-09       3.388214419652e-10      -1.569358956354e-12 
    4       1.296177500358e-10       5.875585778670e-15       4.173221510254e-13       0.000000000000e+00       3.700585371483e-09       2.569311754223e-10      -1.076298629086e-12 
    5       1.239366911043e-10       4.180773537272e-15       3.621510604618e-13       0.000000000000e+00       2.765525567455e-09       2.030666564483e-10      -6.438242747352e-13 
    6       1.199872394111e-10       2.465683564498e-15       2.965986772191e-13       0.000000000000e+00       2.162171313464e-09       1.652839640139e-10      -3.085913287196e-13 
    7       1.174281756747e-10       1.338490405565e-15       2.356462998252e-13       0.000000000000e+00       1.745444634492e-09       1.376086611458e-10      -7.849953177438e-14 
    8       1.158871981370e-10       8.125420483159e-16       1.864890829518e-13       0.000000000000e+00       1.442861228257e-09       1.166115901281e-10       5.518973402594e-14 
    9       1.151203398893e-10       6.271204212499e-16       1.515463604713e-13       0.000000000000e+00       1.214794706940e-09       1.002028693247e-10       1.109052725979e-13 
   10       1.149238152858e-10       5.449443271174e-16       1.302995436831e-13       0.000000000000e+00       1.038082420182e-09       8.713280707137e-11       1.116827372777e-13 
   11       1.151736620010e-10       4.671043150528e-16       1.205195265957e-13       0.000000000000e+00       8.759498776827e-10       7.690486781712e-11       8.099733109629e-14 
   12       1.158026330796e-10       3.967073578194e-16       1.192385154351e-13       0.000000000000e+00       7.655940417796e-10       6.813953507830e-11       3.866422736105e-14 
   13       1.166830899963e-10       3.594288459926e-16       1.234167931163e-13       0.000000000000e+00       6.749806558542e-10       6.089509730382e-11      -5.819331507892e-16 
   14       1.177308521876e-10       3.594327441703e-16       1.306035671011e-13       0.000000000000e+00       5.995666827219e-10       5.457423472374e-11      -2.855405359578e-14 
   15       1.189702597788e-10       3.820842079034e-16       1.391360213612e-13       0.000000000000e+00       5.360739702399e-10       4.925171957890e-11      -4.209315915085e-14 
   16       1.204067706933e-10       4.145715017926e-16       1.478990454761e-13       0.000000000000e+00       4.820786285116e-10       4.473629671766e-11      -4.272810118006e-14 
   17       1.219037688877e-10       4.568190958722e-16       1.564283920380e-13       0.000000000000e+00       4.357497354582e-10       4.083227557360e-11      -3.453473406432e-14 
   18       1.235108817324e-10       5.174859748471e-16       1.648189377721e-13       0.000000000000e+00       3.955299691767e-10       3.732296052239e-11      -2.271985579326e-14 
   19       1.252433038683e-10       6.013747546161e-16       1.733041147321e-13       0.000000000000e+00       3.607832726238e-10       3.420600459391e-11      -1.104645487721e-14 
   20       1.270272070328e-10       7.105072737029e-16       1.821394713236e-13       0.000000000000e+00       3.301743212454e-10       3.147999175554e-11      -3.006498817736e-15 
