# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.450133479072e-10       4.706436454473e-15       3.805977955898e-13       2.572475022810e-19       8.645474490119e-09       4.767496407221e-10      -2.002350968786e-12 
    3       1.371293107854e-10       6.387993875136e-15       4.373434401334e-13       5.145543910349e-19       5.313631190412e-09       3.388214419652e-10      -1.569358956354e-12 
    4       1.296194680634e-10       5.876443508834e-15       4.173220939473e-13       8.577235316332e-19       3.700585371483e-09       2.569311754223e-10      -1.076298629086e-12 
    5       1.239392580380e-10       4.182060396558e-15       3.621509304352e-13       1.286836546670e-18       2.765525567455e-09       2.030666564483e-10      -6.438242747352e-13 
    6       1.199908164607e-10       2.467485623948e-15       2.965984215516e-13       1.801997338136e-18       2.162171313464e-09       1.652839640139e-10      -3.085913287196e-13 
    7       1.174329197427e-10       1.340893883392e-15       2.356458461155e-13       2.403333034845e-18       1.745444634492e-09       1.376086611458e-10      -7.849953177438e-14 
    8       1.158932613892e-10       8.156333432039e-16       1.864883366512e-13       3.090994849637e-18       1.442861228257e-09       1.166115901281e-10       5.518973402594e-14 
    9       1.151278694382e-10       6.309861473157e-16       1.515452027844e-13       3.865158720503e-18       1.214794706940e-09       1.002028693247e-10       1.109052725979e-13 
   10       1.149329529927e-10       5.496713493257e-16       1.302978298240e-13       4.726025609227e-18       1.038082420182e-09       8.713280707137e-11       1.116827372777e-13 
   11       1.151845443933e-10       4.727797835157e-16       1.205170844049e-13       5.673821338065e-18       8.759498776827e-10       7.690486781712e-11       8.099733109629e-14 
   12       1.158153913824e-10       4.034187391220e-16       1.192351443534e-13       6.708795859271e-18       7.655940417796e-10       6.813953507830e-11       3.866422736105e-14 
   13       1.166978502670e-10       3.672639494863e-16       1.234122635030e-13       7.831221873408e-18       6.749806558542e-10       6.089509730382e-11      -5.819331507892e-16 
   14       1.177477355453e-10       3.684797410943e-16       1.305976198767e-13       9.041392739502e-18       5.995666827219e-10       5.457423472374e-11      -2.855405359578e-14 
   15       1.189893827109e-10       3.924316412354e-16       1.391283679472e-13       1.033961965194e-17       5.360739702399e-10       4.925171957890e-11      -4.209315915085e-14 
   16       1.204282454258e-10       4.263082849029e-16       1.478893680033e-13       1.172622809427e-17       4.820786285116e-10       4.473629671766e-11      -4.272810118006e-14 
   17       1.219277037982e-10       4.700344983599e-16       1.564163437889e-13       1.320155361697e-17       4.357497354582e-10       4.083227557360e-11      -3.453473406432e-14 
   18       1.235373817976e-10       5.322695954230e-16       1.648041438402e-13       1.476593742561e-17       3.955299691767e-10       3.732296052239e-11      -2.271985579326e-14 
   19       1.252724710737e-10       6.178164740074e-16       1.732861727802e-13       1.641971908073e-17       3.607832726238e-10       3.420600459391e-11      -1.104645487721e-14 
   20       1.270591408633e-10       7.286972038970e-16       1.821179526417e-13       1.816323516960e-17       3.301743212454e-10       3.147999175554e-11      -3.006498817736e-15 
   21       1.289122389230e-10       8.630945124993e-16       1.914757124432e-13       1.999680823709e-17       3.032242057402e-10       2.910696746632e-11       4.187627983382e-16 
   22       1.308401895499e-10       1.017515956152e-15       2.014367282406e-13       2.192074593416e-17       2.792895139167e-10       2.699389992468e-11      -5.298488186794e-16 
   23       1.328293082688e-10       1.192111585689e-15       2.117542838999e-13       2.393533123095e-17       2.580422787408e-10       2.509275418237e-11      -4.576037148845e-15 
   24       1.348416822834e-10       1.387836146222e-15       2.220119738669e-13       2.604082147110e-17       2.389925360791e-10       2.335127459664e-11      -9.794124118958e-15 
   25       1.368989871655e-10       1.604334117466e-15       2.318566858779e-13       2.823744087269e-17       2.219172619771e-10       2.177365756127e-11      -1.460735731397e-14 
   26       1.390219600954e-10       1.840884042378e-15       2.409235594956e-13       3.052537905514e-17       2.065084789066e-10       2.036361573269e-11      -1.755748909263e-14 
   27       1.411969775643e-10       2.098384150930e-15       2.489298074751e-13       3.290478677018e-17       1.925819526170e-10       1.909680084778e-11      -1.827869399408e-14 
   28       1.433916619072e-10       2.378378500761e-15       2.556475175100e-13       3.537577520301e-17       1.798981044933e-10       1.793244034239e-11      -1.690293001794e-14 
   29       1.456137624711e-10       2.682755455301e-15       2.610792551291e-13       3.793842148570e-17       1.683924797157e-10       1.686311529578e-11      -1.409187640580e-14 
   30       1.478725730146e-10       3.013703694677e-15       2.653385547420e-13       4.059275951918e-17       1.579418443503e-10       1.588209457767e-11      -1.088240123228e-14 
   31       1.501664360476e-10       3.373403736035e-15       2.685653656508e-13       4.333878229374e-17       1.483334260494e-10       1.497493815885e-11      -8.382774333336e-15 
   32       1.524974803020e-10       3.762983607712e-15       2.707974859943e-13       4.617646741992e-17       1.395178860316e-10       1.413934288747e-11      -6.901082212484e-15 
   33       1.548595827972e-10       4.183161266581e-15       2.720539437146e-13       4.910575635788e-17       1.314331777571e-10       1.337112960615e-11      -6.495115670654e-15 
   34       1.572404099250e-10       4.634569022541e-15       2.723417053798e-13       5.212655694082e-17       1.239665037736e-10       1.266135986879e-11      -7.123192735974e-15 
   35       1.596471585607e-10       5.117990545713e-15       2.715606932719e-13       5.523878428194e-17       1.170798286919e-10       1.200693382872e-11      -8.397462858927e-15 
   36       1.620881396934e-10       5.634192659332e-15       2.695635504739e-13       5.844233121639e-17       1.107180657128e-10       1.140273431380e-11      -9.730002867159e-15 
   37       1.645661205726e-10       6.183903052180e-15       2.661967913584e-13       6.173707509903e-17       1.047986073846e-10       1.084088191414e-11      -1.053510378601e-14 
   38       1.670814828924e-10       6.767970541589e-15       2.613625071952e-13       6.512294305744e-17       9.930626431367e-11       1.031943639001e-11      -1.073534209862e-14 
   39       1.696288436617e-10       7.387251036101e-15       2.549756208597e-13       6.859986764248e-17       9.422370461059e-11       9.835980871474e-12      -1.041940938115e-14 
   40       1.721952926688e-10       8.042561329149e-15       2.469469709332e-13       7.216776958215e-17       8.950257193345e-11       9.384944353279e-12      -9.709701411276e-15 
   41       1.747663567798e-10       8.734647433627e-15       2.372071998337e-13       7.582657830836e-17       8.508035543682e-11       8.959539235059e-12      -8.757939947474e-15 
   42       1.773479492132e-10       9.464083444553e-15       2.257884844652e-13       7.957630112374e-17       8.094411179878e-11       8.558985735713e-12      -7.724510482104e-15 
   43       1.799503603197e-10       1.023133537218e-14       2.127689119647e-13       8.341697686619e-17       7.708293063718e-11       8.183181908337e-12      -6.796468622272e-15 
   44       1.825819418762e-10       1.103678284637e-14       1.982519319634e-13       8.734865906936e-17       7.346881168167e-11       7.830579689635e-12      -6.195671609324e-15 
   45       1.852484406392e-10       1.188078351971e-14       1.823293743167e-13       9.137142322436e-17       7.006668223293e-11       7.498866491251e-12      -6.113706196254e-15 
   46       1.879513680388e-10       1.276390007285e-14       1.649541139674e-13       9.548538738821e-17       6.687122776942e-11       7.187535405775e-12      -6.488919269603e-15 
   47       1.906887051971e-10       1.368673325298e-14       1.460316506532e-13       9.969070045441e-17       6.387875731127e-11       6.895879511665e-12      -7.166015775811e-15 
   48       1.934549959466e-10       1.464985815612e-14       1.254543193615e-13       1.039875388980e-16       6.107609370308e-11       6.622185347787e-12      -7.955400309781e-15 
   49       1.962410658497e-10       1.565382360271e-14       1.031004417950e-13       1.083761086993e-16       5.843986801386e-11       6.363659213816e-12      -8.631250941473e-15 
   50       1.990376443948e-10       1.669907299785e-14       7.885963706757e-14       1.128566286887e-16       5.594356432546e-11       6.117261780267e-12      -8.991229539568e-15 
   51       2.018480425665e-10       1.778568303578e-14       5.271882181177e-14       1.174292707859e-16       5.358254542260e-11       5.882649976850e-12      -9.059188768373e-15 
   52       2.046784307657e-10       1.891355299038e-14       2.469808708552e-14       1.220942068645e-16       5.135460037052e-11       5.659906252183e-12      -8.934158104994e-15 
   53       2.075341413994e-10       2.008247281484e-14      -5.173047181485e-15       1.268516269391e-16       4.925245504528e-11       5.448669836126e-12      -8.734467602597e-15 
   54       2.104195715785e-10       2.129211882246e-14      -3.685524969906e-14       1.317017402150e-16       4.726343125786e-11       5.248105784163e-12      -8.598722258039e-15 
   55       2.133379868292e-10       2.254216373965e-14      -7.031381333043e-14       1.366447362722e-16       4.537331898249e-11       5.057208901677e-12      -8.651766554428e-15 
   56       2.162910980337e-10       2.383264877540e-14      -1.055670373028e-13       1.416806549237e-16       4.357990042383e-11       4.875874847596e-12      -8.890444677185e-15 
   57       2.192792089604e-10       2.516369641644e-14      -1.426491942175e-13       1.468094858663e-16       4.188218854743e-11       4.704040894701e-12      -9.271167364563e-15 
   58       2.223012070846e-10       2.653540428690e-14      -1.815969556905e-13       1.520312052197e-16       4.027633544672e-11       4.541356843924e-12      -9.742054113051e-15 
   59       2.253544624306e-10       2.794784528522e-14      -2.224495871882e-13       1.573457750236e-16       3.875545561396e-11       4.387167116011e-12      -1.024254352584e-14 
   60       2.284347264121e-10       2.940106772094e-14      -2.652491428636e-13       1.627531427338e-16       3.730944921121e-11       4.240492843172e-12      -1.070300366128e-14 
   61       2.315377745014e-10       3.089498013118e-14      -3.100284396910e-13       1.682532203308e-16       3.592780877964e-11       4.100308417088e-12      -1.105999294111e-14 
   62       2.346649939502e-10       3.242897520841e-14      -3.567713847675e-13       1.738458173049e-16       3.460917536633e-11       3.966484184089e-12      -1.130692724292e-14 
   63       2.378188764922e-10       3.400222131790e-14      -4.054440482623e-13       1.795306916670e-16       3.335362352566e-11       3.839024532331e-12      -1.145414589413e-14 
   64       2.410013402701e-10       3.561376691680e-14      -4.560059092307e-13       1.853075678810e-16       3.215978671642e-11       3.717783711440e-12      -1.151436947835e-14 
   65       2.442136840070e-10       3.726253703201e-14      -5.084096626969e-13       1.911761357142e-16       3.102477523509e-11       3.602457267045e-12      -1.150280676427e-14 
   66       2.474565411782e-10       3.894732973791e-14      -5.626010267362e-13       1.971360490862e-16       2.994409414903e-11       3.492573475312e-12      -1.143726163453e-14 
   67       2.507298341820e-10       4.066681263421e-14      -6.185185495576e-13       2.031869249186e-16       2.891156122972e-11       3.387484777475e-12      -1.133824001467e-14 
   68       2.540333038980e-10       4.241965878242e-14      -6.761049763477e-13       2.093284010518e-16       2.792095905863e-11       3.286540618269e-12      -1.122476813035e-14 
   69       2.573683254018e-10       4.420499437336e-14      -7.353444555809e-13       2.155603261932e-16       2.697156351923e-11       3.189665775459e-12      -1.110062432223e-14 
   70       2.607363795239e-10       4.602203585823e-14      -7.962325597603e-13       2.218826065677e-16       2.606359324168e-11       3.096884366143e-12      -1.096549670800e-14 
