# Matter power spectrum P(k) at redshift z=3
# for k=1.0421e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 614
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042102152150e-05       5.034327851535e+00 
       2.326555763243e-05       1.094801014997e+01 
       3.615501122171e-05       1.676962115756e+01 
       4.912386620918e-05       2.255718506750e+01 
       6.220717370241e-05       2.834440601659e+01 
       7.544086277972e-05       3.415695808702e+01 
       8.886206115716e-05       4.001706630744e+01 
       1.025094299823e-04       4.594539245950e+01 
       1.164235170299e-04       5.196200916639e+01 
       1.306471326088e-04       5.808699625694e+01 
       1.452257524954e-04       6.434086055234e+01 
       1.602079521527e-04       7.074486742025e+01 
       1.756458763257e-04       7.732132750556e+01 
       1.915957477441e-04       8.409386182192e+01 
       2.081184180315e-04       9.108765826739e+01 
       2.252799628821e-04       9.832972696293e+01 
       2.431523219552e-04       1.058491581608e+02 
       2.618139815540e-04       1.136773836549e+02 
       2.813506947223e-04       1.218484400045e+02 
       3.018562286028e-04       1.303992290546e+02 
       3.234331223764e-04       1.393697679127e+02 
       3.461934304598e-04       1.488034164971e+02 
       3.702594145012e-04       1.587470658426e+02 
       3.957641338254e-04       1.692512644578e+02 
       4.228518673465e-04       1.803702532431e+02 
       4.516782810659e-04       1.921618721024e+02 
       4.824102353688e-04       2.046872940840e+02 
       5.152251078363e-04       2.180105368380e+02 
       5.503094940853e-04       2.321976981694e+02 
       5.878571468512e-04       2.473158649750e+02 
       6.280660292452e-04       2.634316558512e+02 
       6.711343996017e-04       2.806093801799e+02 
       7.172559190570e-04       2.989088326813e+02 
       7.666138811576e-04       3.183827921960e+02 
       8.193747996696e-04       3.390743529732e+02 
       8.756817396081e-04       3.610142773111e+02 
       9.356479091041e-04       3.842186066756e+02 
       9.993511104816e-04       4.086867888181e+02 
       1.066829644293e-03       4.344005577169e+02 
       1.138080151350e-03       4.613237362886e+02 
       1.213057671939e-03       4.894030261129e+02 
       1.291677934086e-03       5.185697238447e+02 
       1.373821609718e-03       5.487421879550e+02 
       1.459340057464e-03       5.798287978568e+02 
       1.477104874446e-03       5.862449780501e+02 
       1.548061945675e-03       6.117311159771e+02 
       1.639800132871e-03       6.443469827625e+02 
       1.734358260354e-03       6.775733323927e+02 
       1.831536649519e-03       7.113085933141e+02 
       1.931137255592e-03       7.454546129330e+02 
       2.032967577964e-03       7.799170049484e+02 
       2.136843544782e-03       8.146084918076e+02 
       2.242591468925e-03       8.494490456927e+02 
       2.350049215819e-03       8.843645843296e+02 
       2.459066738250e-03       9.192879136666e+02 
       2.569506128263e-03       9.541585866689e+02 
       2.681241319609e-03       9.889226092100e+02 
       2.794157552347e-03       1.023532037660e+03 
       2.908150688546e-03       1.057944509266e+03 
       3.023126446953e-03       1.092122742272e+03 
       3.138999606478e-03       1.126034036928e+03 
       3.255693213559e-03       1.159649800953e+03 
       3.373137816917e-03       1.192945114236e+03 
       3.491270744476e-03       1.225898338973e+03 
       3.610035430799e-03       1.258490774282e+03 
       3.729380798792e-03       1.290706349722e+03 
       3.849260696346e-03       1.322531350337e+03 
       3.969633386433e-03       1.353954166482e+03 
       4.090461087955e-03       1.384965063852e+03 
       4.211709563843e-03       1.415555971719e+03 
       4.333347752587e-03       1.445720289395e+03 
       4.455347439282e-03       1.475452711795e+03 
       4.577682962354e-03       1.504749074791e+03 
       4.700330952322e-03       1.533606219877e+03 
       4.823270099198e-03       1.562021876459e+03 
       4.946480945409e-03       1.589994559105e+03 
       5.069945701410e-03       1.617523476811e+03 
       5.193648081432e-03       1.644608451792e+03 
       5.317573157093e-03       1.671249687675e+03 
       5.441707226813e-03       1.697448087021e+03 
       5.566037699252e-03       1.723204994301e+03 
       5.690552989151e-03       1.748522024875e+03 
       5.815242424168e-03       1.773401115672e+03 
       5.940096161447e-03       1.797844488276e+03 
       6.065105112841e-03       1.821854617972e+03 
       6.190260877787e-03       1.845434206610e+03 
       6.315555682994e-03       1.868586157605e+03 
       6.440982328187e-03       1.891313556022e+03 
       6.566534137227e-03       1.913619634974e+03 
       6.692204914037e-03       1.935507758497e+03 
       6.817988902798e-03       1.956981398935e+03 
       6.943880751968e-03       1.978044115786e+03 
       7.069875481708e-03       1.998699539116e+03 
       7.195968454367e-03       2.018951355591e+03 
       7.322155347697e-03       2.038803297635e+03 
       7.448432130524e-03       2.058259136007e+03 
       7.574795040622e-03       2.077322672728e+03 
       7.701240564565e-03       2.095997736334e+03 
       7.827765419362e-03       2.114288176572e+03 
       7.954366535701e-03       2.132197859154e+03 
       8.081041042642e-03       2.149730661201e+03 
       8.207786253614e-03       2.166890465527e+03 
       8.334599653602e-03       2.183681156376e+03 
       8.461478887407e-03       2.200106612399e+03 
       8.588421748870e-03       2.216170707267e+03 
       8.715426170987e-03       2.231877577370e+03 
       8.842490216820e-03       2.247231262895e+03 
       8.969612071137e-03       2.262235057743e+03 
       9.096790032720e-03       2.276892785726e+03 
       9.224022507271e-03       2.291208227790e+03 
       9.351308000877e-03       2.305185138343e+03 
       9.478645113973e-03       2.318827244384e+03 
       9.606032535774e-03       2.332138243915e+03 
       9.733469039116e-03       2.345121806197e+03 
       9.860953475702e-03       2.357781572574e+03 
       9.988484771685e-03       2.370121156552e+03 
       1.011606192359e-02       2.382144145309e+03 
       1.024368399452e-02       2.393854099634e+03 
       1.037135011067e-02       2.405254554814e+03 
       1.049905945805e-02       2.416349020044e+03 
       1.062681127947e-02       2.427140978386e+03 
       1.075460487174e-02       2.437633885101e+03 
       1.088243958305e-02       2.447831166295e+03 
       1.101031481059e-02       2.457736217182e+03 
       1.113822999823e-02       2.467352399974e+03 
       1.126618463451e-02       2.476683042578e+03 
       1.139417825061e-02       2.485731437377e+03 
       1.152221041861e-02       2.494500841157e+03 
       1.165028074976e-02       2.502994475664e+03 
       1.177838889293e-02       2.511215529468e+03 
       1.190653453317e-02       2.519167160233e+03 
       1.203471739032e-02       2.526852498553e+03 
       1.216293721777e-02       2.534274650463e+03 
       1.229119380129e-02       2.541436701183e+03 
       1.241948695792e-02       2.548341717959e+03 
       1.254781653500e-02       2.554992752150e+03 
       1.267618240919e-02       2.561392841277e+03 
       1.280458448561e-02       2.567545009753e+03 
       1.293302269704e-02       2.573452269007e+03 
       1.306149700318e-02       2.579117615938e+03 
       1.319000738994e-02       2.584544019914e+03 
       1.331855386880e-02       2.589734389058e+03 
       1.344713647627e-02       2.594691530644e+03 
       1.357575527327e-02       2.599418165204e+03 
       1.370441034470e-02       2.603917013803e+03 
       1.383310179896e-02       2.608190777038e+03 
       1.396182976753e-02       2.612242319277e+03 
       1.409059440462e-02       2.616074362830e+03 
       1.421939588679e-02       2.619689653340e+03 
       1.434823441270e-02       2.623090902750e+03 
       1.447711020276e-02       2.626280793688e+03 
