# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3100, i.e. number of multipoles equal to 3099
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.438906030760e-10       4.629041986555e-15       3.791168396302e-13       0.000000000000e+00       8.603642427871e-09       4.697591862181e-10      -1.989211546177e-12 
    3       1.362406452632e-10       6.283301027916e-15       4.345225506276e-13       0.000000000000e+00       5.318775329642e-09       3.342766019495e-10      -1.560517939674e-12 
    4       1.289021395521e-10       5.778369444186e-15       4.137552029067e-13       0.000000000000e+00       3.708562176074e-09       2.534768719999e-10      -1.071496549125e-12 
    5       1.233661216542e-10       4.103145975820e-15       3.578827999544e-13       0.000000000000e+00       2.771519891313e-09       2.003553400952e-10      -6.421762946732e-13 
    6       1.195036238818e-10       2.403920065856e-15       2.915189854759e-13       0.000000000000e+00       2.166276064027e-09       1.630455693832e-10      -3.088894703021e-13 
    7       1.169640663763e-10       1.284178663290e-15       2.296144577754e-13       0.000000000000e+00       1.747460722276e-09       1.356531028036e-10      -7.970714449300e-14 
    8       1.154771004786e-10       7.606991006070e-16       1.793646671786e-13       0.000000000000e+00       1.443136115862e-09       1.148897138895e-10       5.389960654689e-14 
    9       1.147275059239e-10       5.773333101397e-16       1.432871647707e-13       0.000000000000e+00       1.214264060408e-09       9.873818790895e-11       1.101094202737e-13 
   10       1.145427537866e-10       4.984394860638e-16       1.208900794240e-13       0.000000000000e+00       1.037600980602e-09       8.590767991589e-11       1.116866207077e-13 
   11       1.148088589930e-10       4.237398359023e-16       1.098944629612e-13       0.000000000000e+00       8.756555706046e-10       7.590142308549e-11       8.192450420057e-14 
   12       1.154229204745e-10       3.540367675121e-16       1.073421501055e-13       0.000000000000e+00       7.652022931986e-10       6.714488678114e-11       4.021586637154e-14 
   13       1.162729890492e-10       3.136000161104e-16       1.103450683680e-13       0.000000000000e+00       6.745120619823e-10       5.997400085893e-11       1.420583102291e-15 
   14       1.173484082688e-10       3.063552875796e-16       1.164992865353e-13       0.000000000000e+00       5.990590643324e-10       5.390690299310e-11      -2.611129092540e-14 
