# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2600, i.e. number of multipoles equal to 2599
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.438911282648e-10       4.629291532243e-15       3.791168357674e-13       2.495455171655e-19       8.603642427871e-09       4.697591862181e-10      -1.989211546177e-12 
    3       1.362416931534e-10       6.283800154689e-15       4.345225334065e-13       4.991250842608e-19       5.318775329642e-09       3.342766019495e-10      -1.560517939674e-12 
    4       1.289038805758e-10       5.779201405511e-15       4.137551533986e-13       8.319530101735e-19       3.708562176074e-09       2.534768719999e-10      -1.071496549125e-12 
    5       1.233687231132e-10       4.104394085042e-15       3.578826870978e-13       1.248080676104e-18       2.771519891313e-09       2.003553400952e-10      -6.421762946732e-13 
    6       1.195072493188e-10       2.405667721033e-15       2.915187633935e-13       1.747577088987e-18       2.166276064027e-09       1.630455693832e-10      -3.088894703021e-13 
    7       1.169688750422e-10       1.286509377214e-15       2.296140633033e-13       2.330531565811e-18       1.747460722276e-09       1.356531028036e-10      -7.970714449300e-14 
    8       1.154832469051e-10       7.636965357765e-16       1.793640176375e-13       2.997056486060e-18       1.443136115862e-09       1.148897138895e-10       5.389960654689e-14 
    9       1.147351396100e-10       5.810813178771e-16       1.432861559994e-13       3.747289897811e-18       1.214264060408e-09       9.873818790895e-11       1.101094202737e-13 
   10       1.145520190025e-10       5.030221484519e-16       1.208885840889e-13       4.581397758831e-18       1.037600980602e-09       8.590767991589e-11       1.116866207077e-13 
   11       1.148198947005e-10       4.292415087026e-16       1.098923291466e-13       5.499575601525e-18       8.756555706046e-10       7.590142308549e-11       8.192450420057e-14 
   12       1.154358603601e-10       3.605421218264e-16       1.073392001835e-13       6.502049429682e-18       7.652022931986e-10       6.714488678114e-11       4.021586637154e-14 
   13       1.162879616613e-10       3.211940762534e-16       1.103410981401e-13       7.589075684885e-18       6.745120619823e-10       5.997400085893e-11       1.420583102291e-15 
   14       1.173655372480e-10       3.151234624795e-16       1.164940646312e-13       8.760940160016e-18       5.990590643324e-10       5.390690299310e-11      -2.611129092540e-14 
   15       1.186223361568e-10       3.280397202235e-16       1.239913485361e-13       1.001795578469e-17       5.355450248888e-10       4.857821091354e-11      -3.966175013262e-14 
   16       1.199987334723e-10       3.474421481878e-16       1.317817976382e-13       1.136045926068e-17       4.815378396891e-10       4.406599640364e-11      -4.040008503435e-14 
   17       1.215055524140e-10       3.731385490771e-16       1.395144874506e-13       1.278880658203e-17       4.352055337777e-10       4.020048256320e-11      -3.235370079998e-14 
   18       1.231166611345e-10       4.135740772867e-16       1.471324363118e-13       1.430336816031e-17       3.949899809845e-10       3.678976877314e-11      -2.061381580058e-14 
   19       1.248317829646e-10       4.735387212886e-16       1.549117304382e-13       1.590451930138e-17       3.602532666731e-10       3.378127275974e-11      -8.958481548114e-15 
   20       1.266079590235e-10       5.551604519323e-16       1.632266158433e-13       1.759263988085e-17       3.296580219445e-10       3.108918889081e-11      -9.664854810799e-16 
   21       1.284565679001e-10       6.564706900040e-16       1.721803462710e-13       1.936809832798e-17       3.027241285263e-10       2.871368374655e-11       2.378920242578e-15 
   22       1.303734343600e-10       7.737935968971e-16       1.817294309032e-13       2.123125207194e-17       2.788072756777e-10       2.663666606859e-11       1.351259466775e-15 
   23       1.323551521127e-10       9.073085962138e-16       1.917017253233e-13       2.318243245131e-17       2.575789580741e-10       2.479216353122e-11      -2.729025864573e-15 
   24       1.343780724440e-10       1.058084264688e-15       2.018085002151e-13       2.522194506168e-17       2.385487971003e-10       2.308423772141e-11      -7.893078704326e-15 
   25       1.364489362630e-10       1.225716560559e-15       2.116696116313e-13       2.735005677680e-17       2.214930245953e-10       2.153001499523e-11      -1.257222483853e-14 
   26       1.385676196579e-10       1.409344519774e-15       2.208541948828e-13       2.956699574271e-17       2.061029860942e-10       2.015979368744e-11      -1.535345658447e-14 
