# Matter power spectrum P(k) at redshift z=0
# for k=1.04766e-05 to 1.4771 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047655867215e-05                     -nan 
       2.356547392858e-05                     -nan 
       3.670152234396e-05                     -nan 
       4.992119963795e-05                     -nan 
       6.326162108298e-05                     -nan 
       7.676086318001e-05                     -nan 
       9.045831655018e-05                     -nan 
       1.043950548779e-04                     -nan 
       1.186142247773e-04                     -nan 
       1.331614614877e-04                     -nan 
       1.480853353048e-04                     -nan 
       1.634378335719e-04                     -nan 
       1.792748828284e-04                     -nan 
       1.956569152539e-04                     -nan 
       2.126494827316e-04                     -nan 
       2.303239205323e-04                     -nan 
       2.487580605783e-04                     -nan 
       2.680369912169e-04                     -nan 
       2.882538560903e-04                     -nan 
       3.095106786261e-04                     -nan 
       3.319191904464e-04                     -nan 
       3.556016311239e-04                     -nan 
       3.806914727996e-04                     -nan 
       4.073340059809e-04                     -nan 
       4.356867025456e-04                     -nan 
       4.659192494613e-04                     -nan 
       4.982131239984e-04                     -nan 
       5.327605618219e-04                     -nan 
       5.697627588287e-04                     -nan 
       6.094271535237e-04                     -nan 
       6.519636681570e-04                     -nan 
       6.975798526483e-04                     -nan 
       7.464749812007e-04                     -nan 
       7.988332956818e-04                     -nan 
       8.548167587426e-04                     -nan 
       9.145578454197e-04                     -nan 
       9.781530248543e-04                     -nan 
       1.045657621011e-03                     -nan 
       1.117082661768e-03                     -nan 
       1.192394125229e-03                     -nan 
       1.271514701278e-03                     -nan 
       1.354327865680e-03                     -nan 
       1.440683784863e-03                     -nan 
       1.477104874446e-03                     -nan 
       1.530406390281e-03                     -nan 
       1.623300908896e-03                     -nan 
       1.719161201608e-03                     -nan 
       1.817776408357e-03                     -nan 
       1.918936580814e-03                     -nan 
       2.022437159827e-03                     -nan 
       2.128082298132e-03                     -nan 
       2.235687127771e-03                     -nan 
       2.345079127377e-03                     -nan 
       2.456098765054e-03                     -nan 
       2.568599588656e-03                     -nan 
