# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)n_ncdm[1]          16:(.)rho_ncdm[1]        17:(.)p_ncdm[1]          18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_dcdm           22:(.)rho_dr             23:gr.fac. D             24:gr.fac. f          
       9.999999999990e+11       7.558504521719e-22       4.634894139599e-07       2.157545692745e+18       1.409914190929e+04       1.409914190929e-08       1.409914190929e+16       2.675958479725e-07       2.751560535470e+36       2.451390603497e+27       1.112650056054e+26       2.009121583218e+23       6.331470950076e+35       2.110490316692e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.270295769850e+36       4.655003416284e+36       1.339406832177e+28       1.403521537741e-32       6.892374104885e-18       2.000000000000e+12 
       9.930486593833e+11       7.664693951745e-22       4.667344910558e-07       2.127654277822e+18       1.409914190929e+04       1.419783590266e-08       1.400113397149e+16       2.694690189077e-07       2.675846458098e+36       2.400623788821e+27       1.089607747286e+26       1.967513892084e+23       6.157249276516e+35       2.052416425505e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.235341324558e+36       4.526912725934e+36       1.311668527915e+28       1.391730506781e-32       9.615707897213e-08       1.433565615445e+02 
       9.861456399039e+11       7.772375237072e-22       4.700013960246e-07       2.098176989324e+18       1.409914190929e+04       1.429722075397e-08       1.390380732024e+16       2.713553020394e-07       2.602215788101e+36       2.350908324129e+27       1.067042630777e+26       1.926767871034e+23       5.987821621877e+35       1.995940540626e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.201348712939e+36       4.402346678530e+36       1.284504667134e+28       1.380077426983e-32       1.923141579362e-07       7.167828077440e+01 
       9.792906056642e+11       7.881569336775e-22       4.732919478556e-07       2.069108089796e+18       1.409914190928e+04       1.439730129925e-08       1.380715721970e+16       2.732547891530e-07       2.530611196823e+36       2.302222436599e+27       1.044944824165e+26       1.886865675401e+23       5.823056070211e+35       1.941018690070e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.168291468430e+36       4.281208287260e+36       1.257903353457e+28       1.368559798800e-32       2.884712368992e-07       4.778552051656e+01 
       9.724832231024e+11       7.992297504383e-22       4.766043275595e-07       2.040441921269e+18       1.409914190928e+04       1.449808240834e-08       1.371117896693e+16       2.751675726763e-07       2.460976933108e+36       2.254544804313e+27       1.023304649743e+26       1.847789830072e+23       5.662824335471e+35       1.887608111824e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.136143852743e+36       4.163403234074e+36       1.231852936876e+28       1.357175182453e-32       3.846283158611e-07       3.583914038744e+01 
       9.657231609756e+11       8.104581292017e-22       4.799403541256e-07       2.012172904164e+18       1.409914190928e+04       1.459956898520e-08       1.361586789169e+16       2.770937456843e-07       2.393258779892e+36       2.207854546915e+27       1.002112630227e+26       1.809523221833e+23       5.507001661628e+35       1.835667220543e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.104880835825e+36       4.048839796251e+36       1.206342008643e+28       1.345921196350e-32       4.807853948219e-07       2.867131230989e+01 
       9.590100903431e+11       8.218442554582e-22       4.833000275539e-07       1.984295536201e+18       1.409914190927e+04       1.470176596809e-08       1.352121935619e+16       2.790334019034e-07       2.327404011990e+36       2.162131216469e+27       9.813594845994e+25       1.772049091874e+23       5.355466725535e+35       1.785155575178e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.074478076368e+36       3.937428774986e+36       1.181359396284e+28       1.334795515544e-32       5.769424737817e-07       2.389276025817e+01 
       9.523436845512e+11       8.333903454023e-22       4.866833478445e-07       1.956804391331e+18       1.409914190927e+04       1.480467832986e-08       1.342722875490e+16       2.809866357159e-07       2.263361355044e+36       2.117354788504e+27       9.610361240486e+25       1.735351028450e+23       5.208101542472e+35       1.736033847491e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.044911902860e+36       3.829083425934e+36       1.156894158695e+28       1.323795870239e-32       6.730995527404e-07       2.047950879265e+01 
       9.457236192166e+11       8.450986463639e-22       4.900903149974e-07       1.929694118683e+18       1.409914190927e+04       1.490831107817e-08       1.333389151430e+16       2.829535421651e-07       2.201080945601e+36       2.073505653242e+27       9.411336479857e+25       1.699412959693e+23       5.064791374273e+35       1.688263791424e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       1.016159295153e+36       3.723719391678e+36       1.132935581359e+28       1.312920044331e-32       7.692566316981e-07       1.791957019350e+01 
       9.391495722111e+11       8.569714372455e-22       4.935209290124e-07       1.902959441513e+18       1.409914190926e+04       1.501266925571e-08       1.324120309264e+16       2.849342169594e-07       2.140514292289e+36       2.030564607014e+27       9.216433401478e+25       1.664219146573e+23       4.925424639999e+35       1.641808213333e+35       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       3.496354284261e-08       9.881978665367e+35       3.621254636044e+36       1.109473171649e+28       1.302165873995e-32       8.654137106548e-07       1.592850683860e+01 
